; Candidate 12294
; ADRP+ADD at VM 0xfffffff009085478 (fileoff 0x2081478): page=0x1fe3d4000 add_imm=0xe24

0xfffffff0090853f8: 6b290291  add	x11, x11, #0x8a
0xfffffff0090853fc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009085400: eb0300f9  str	x11, [sp]
0xfffffff009085404: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085408: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908540c: 0547cb97  bl	#0xfffffff008357020
0xfffffff009085410: d4088052  mov	w20, #0x46
0xfffffff009085414: 0e000014  b	#0xfffffff00908544c
0xfffffff009085418: a8024039  ldrb	w8, [x21]
0xfffffff00908541c: 1fa10071  cmp	w8, #0x28
0xfffffff009085420: 28010054  b.hi	#0xfffffff009085444
0xfffffff009085424: a81effb0  adrp	x8, #0xfffffff00745a000
0xfffffff009085428: 08912b91  add	x8, x8, #0xae4
0xfffffff00908542c: a91eff90  adrp	x9, #0xfffffff007459000
0xfffffff009085430: 292d3f91  add	x9, x9, #0xfcb
0xfffffff009085434: e92300a9  stp	x9, x8, [sp]
0xfffffff009085438: a01effb0  adrp	x0, #0xfffffff00745a000
0xfffffff00908543c: 00582c91  add	x0, x0, #0xb16
0xfffffff009085440: f846cb97  bl	#0xfffffff008357020
0xfffffff009085444: 13008052  mov	w19, #0
0xfffffff009085448: 54018052  mov	w20, #0xa
0xfffffff00908544c: a8024039  ldrb	w8, [x21]
0xfffffff009085450: 9f02086b  cmp	w20, w8
0xfffffff009085454: 83010054  b.lo	#0xfffffff009085484
0xfffffff009085458: e80313aa  mov	x8, x19
0xfffffff00908545c: 087d4093  sxtw	x8, w8
0xfffffff009085460: a91effb0  adrp	x9, #0xfffffff00745a000
0xfffffff009085464: 29912b91  add	x9, x9, #0xae4
0xfffffff009085468: aa1eff90  adrp	x10, #0xfffffff007459000
0xfffffff00908546c: 4a2d3f91  add	x10, x10, #0xfcb
0xfffffff009085470: ea2700a9  stp	x10, x9, [sp]
0xfffffff009085474: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009085478: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff00908547c: 00903891  add	x0, x0, #0xe24
0xfffffff009085480: e846cb97  bl	#0xfffffff008357020
0xfffffff009085484: e00313aa  mov	x0, x19
0xfffffff009085488: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00908548c: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff009085490: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff009085494: ff830391  add	sp, sp, #0xe0
0xfffffff009085498: ff0f5fd6  retab	
0xfffffff00908549c: 697a45b9  ldr	w9, [x19, #0x578]
0xfffffff0090854a0: 3f010071  cmp	w9, #0
0xfffffff0090854a4: e9179f1a  cset	w9, eq
0xfffffff0090854a8: 69921539  strb	w9, [x19, #0x564]
0xfffffff0090854ac: 08050031  adds	w8, w8, #1
0xfffffff0090854b0: 08319f5a  csinv	w8, w8, wzr, lo
0xfffffff0090854b4: 686e05b9  str	w8, [x19, #0x56c]
0xfffffff0090854b8: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff0090854bc: 54018052  mov	w20, #0xa
0xfffffff0090854c0: 41018052  mov	w1, #0xa
0xfffffff0090854c4: ce7a0094  bl	#0xfffffff0090a3ffc
0xfffffff0090854c8: e00313aa  mov	x0, x19
0xfffffff0090854cc: 01008052  mov	w1, #0
0xfffffff0090854d0: 1c000094  bl	#0xfffffff009085540
0xfffffff0090854d4: f30300aa  mov	x19, x0
0xfffffff0090854d8: a0fbff34  cbz	w0, #0xfffffff00908544c
0xfffffff0090854dc: 687e4093  sxtw	x8, w19
0xfffffff0090854e0: 89968052  mov	w9, #0x4b4
0xfffffff0090854e4: bfffff17  b	#0xfffffff0090853e0
0xfffffff0090854e8: 08918052  mov	w8, #0x488
0xfffffff0090854ec: a91eff90  adrp	x9, #0xfffffff007459000
0xfffffff0090854f0: 29493f91  add	x9, x9, #0xfd2
0xfffffff0090854f4: e9a301a9  stp	x9, x8, [sp, #0x18]
