; Candidate 4358
; ADRP+ADD at VM 0xfffffff0087a4440 (fileoff 0x17a0440): page=0x1fe98d000 add_imm=0xd90

0xfffffff0087a43c0: 14210091  add	x20, x8, #8
0xfffffff0087a43c4: 08410091  add	x8, x8, #0x10
0xfffffff0087a43c8: 491540b9  ldr	w9, [x10, #0x14]
0xfffffff0087a43cc: ea1b40f9  ldr	x10, [sp, #0x30]
0xfffffff0087a43d0: 4901098b  add	x9, x10, x9
0xfffffff0087a43d4: 080140f9  ldr	x8, [x8]
0xfffffff0087a43d8: 3a0108cb  sub	x26, x9, x8
0xfffffff0087a43dc: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff0087a43e0: 58ff60d3  lsr	x24, x26, #0x20
0xfffffff0087a43e4: b80100b4  cbz	x24, #0xfffffff0087a4418
0xfffffff0087a43e8: 89898052  mov	w9, #0x44c
0xfffffff0087a43ec: 484dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a43f0: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a43f4: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a43f8: 604cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a43fc: 00403691  add	x0, x0, #0xd90
0xfffffff0087a4400: c192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a4404: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a4408: 02008052  mov	w2, #0
0xfffffff0087a440c: 234dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a4410: 63802591  add	x3, x3, #0x960
0xfffffff0087a4414: 473bee97  bl	#0xfffffff008333130
0xfffffff0087a4418: 68423aab  adds	x8, x19, w26, uxtw
0xfffffff0087a441c: 42090054  b.hs	#0xfffffff0087a4544
0xfffffff0087a4420: 08a560d3  ubfx	x8, x8, #0x20, #0xa
0xfffffff0087a4424: c8260079  strh	w8, [x22, #0x12]
0xfffffff0087a4428: 930a40f9  ldr	x19, [x20, #0x10]
0xfffffff0087a442c: b80100b4  cbz	x24, #0xfffffff0087a4460
0xfffffff0087a4430: a9898052  mov	w9, #0x44d
0xfffffff0087a4434: 484dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a4438: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a443c: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a4440: 604cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a4444: 00403691  add	x0, x0, #0xd90
0xfffffff0087a4448: c192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a444c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a4450: 02008052  mov	w2, #0
0xfffffff0087a4454: 234dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a4458: 63502691  add	x3, x3, #0x994
0xfffffff0087a445c: 353bee97  bl	#0xfffffff008333130
0xfffffff0087a4460: 487f4092  and	x8, x26, #0xffffffff
0xfffffff0087a4464: 680208ab  adds	x8, x19, x8
0xfffffff0087a4468: e2060054  b.hs	#0xfffffff0087a4544
0xfffffff0087a446c: 8903178b  add	x9, x28, x23
0xfffffff0087a4470: 2a1140b9  ldr	w10, [x9, #0x10]
0xfffffff0087a4474: c8aa0229  stp	w8, w10, [x22, #0x14]
0xfffffff0087a4478: 28294029  ldp	w8, w10, [x9]
0xfffffff0087a447c: 0b1d0011  add	w11, w8, #7
0xfffffff0087a4480: 1f010071  cmp	w8, #0
0xfffffff0087a4484: 6bb1881a  csel	w11, w11, w8, lt
0xfffffff0087a4488: 6b491353  lsl	w11, w11, #0xd
0xfffffff0087a448c: 6b3d1012  and	w11, w11, #0xffff0000
0xfffffff0087a4490: 2c254129  ldp	w12, w9, [x9, #8]
0xfffffff0087a4494: 8d1d0011  add	w13, w12, #7
0xfffffff0087a4498: 9f010071  cmp	w12, #0
0xfffffff0087a449c: adb18c1a  csel	w13, w13, w12, lt
0xfffffff0087a44a0: 6b0d8d2a  orr	w11, w11, w13, asr #3
0xfffffff0087a44a4: 4d050051  sub	w13, w10, #1
0xfffffff0087a44a8: 4a190011  add	w10, w10, #6
0xfffffff0087a44ac: bf010071  cmp	w13, #0
0xfffffff0087a44b0: 4ab18d1a  csel	w10, w10, w13, lt
0xfffffff0087a44b4: 2d050051  sub	w13, w9, #1
0xfffffff0087a44b8: 29190011  add	w9, w9, #6
0xfffffff0087a44bc: bf010071  cmp	w13, #0
