; Candidate 5200
; ADRP+ADD at VM 0xfffffff0087df114 (fileoff 0x17db114): page=0x1fea0a000 add_imm=0xe80

0xfffffff0087df094: 18020034  cbz	w24, #0xfffffff0087df0d4
0xfffffff0087df098: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087df09c: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087df0a0: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087df0a4: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df0a8: 08993591  add	x8, x8, #0xd66
0xfffffff0087df0ac: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087df0b0: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df0b4: 081d0291  add	x8, x8, #0x87
0xfffffff0087df0b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087df0bc: 280a8052  mov	w8, #0x51
0xfffffff0087df0c0: 8051fff0  adrp	x0, #0xfffffff007212000
0xfffffff0087df0c4: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087df0c8: f72300a9  stp	x23, x8, [sp]
0xfffffff0087df0cc: e560d797  bl	#0xfffffff007db7460
0xfffffff0087df0d0: 19000014  b	#0xfffffff0087df134
0xfffffff0087df0d4: 36540394  bl	#0xfffffff0088b41ac
0xfffffff0087df0d8: f70300aa  mov	x23, x0
0xfffffff0087df0dc: e0008052  mov	w0, #7
0xfffffff0087df0e0: dc710294  bl	#0xfffffff00887b850
0xfffffff0087df0e4: e80316aa  mov	x8, x22
0xfffffff0087df0e8: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087df0ec: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087df0f0: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087df0f4: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df0f8: 08993591  add	x8, x8, #0xd66
0xfffffff0087df0fc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087df100: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df104: 081d0291  add	x8, x8, #0x87
0xfffffff0087df108: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087df10c: 280a8052  mov	w8, #0x51
0xfffffff0087df110: f72300a9  stp	x23, x8, [sp]
0xfffffff0087df114: 4050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087df118: 00003a91  add	x0, x0, #0xe80
0xfffffff0087df11c: 4191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087df120: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087df124: e352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087df128: 63781491  add	x3, x3, #0x51e
0xfffffff0087df12c: 02008052  mov	w2, #0
0xfffffff0087df130: 0050ed97  bl	#0xfffffff008333130
0xfffffff0087df134: e00316aa  mov	x0, x22
0xfffffff0087df138: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087df13c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087df140: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087df144: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087df148: ff830291  add	sp, sp, #0xa0
0xfffffff0087df14c: ff0f5fd6  retab	
0xfffffff0087df150: 7f2303d5  pacibsp	
0xfffffff0087df154: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087df158: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087df15c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087df160: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087df164: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087df168: fd030291  add	x29, sp, #0x80
0xfffffff0087df16c: f50302aa  mov	x21, x2
0xfffffff0087df170: f40301aa  mov	x20, x1
0xfffffff0087df174: f30300aa  mov	x19, x0
0xfffffff0087df178: 200a8052  mov	w0, #0x51
0xfffffff0087df17c: 01018052  mov	w1, #8
0xfffffff0087df180: 94710294  bl	#0xfffffff00887b7d0
0xfffffff0087df184: 60050034  cbz	w0, #0xfffffff0087df230
0xfffffff0087df188: 200a8052  mov	w0, #0x51
0xfffffff0087df18c: a3710294  bl	#0xfffffff00887b818
0xfffffff0087df190: f70300aa  mov	x23, x0
