; Candidate 1399
; ADRP+ADD at VM 0xfffffff008399854 (fileoff 0x1395854): page=0x1ff5e5000 add_imm=0xdb0

0xfffffff0083997d4: 085946f9  ldr	x8, [x8, #0xcb0]
0xfffffff0083997d8: 080208cb  sub	x8, x16, x8
0xfffffff0083997dc: f043c1da  xpaci	x16
0xfffffff0083997e0: 1f0209eb  cmp	x16, x9
0xfffffff0083997e4: 00324afa  ccmp	x16, x10, #0, lo
0xfffffff0083997e8: 16219f9a  csel	x22, x8, xzr, hs
0xfffffff0083997ec: 0a000014  b	#0xfffffff008399814
0xfffffff0083997f0: 160080d2  mov	x22, #0
0xfffffff0083997f4: f643c1da  xpaci	x22
0xfffffff0083997f8: 8804c0d2  mov	x8, #0x2400000000
0xfffffff0083997fc: c802088b  add	x8, x22, x8
0xfffffff008399800: 08fd65d3  lsr	x8, x8, #0x25
0xfffffff008399804: 880000b5  cbnz	x8, #0xfffffff008399814
0xfffffff008399808: a8aeffb0  adrp	x8, #0xfffffff00796e000
0xfffffff00839980c: 084540f9  ldr	x8, [x8, #0x88]
0xfffffff008399810: 1601168b  add	x22, x8, x22
0xfffffff008399814: f72740f9  ldr	x23, [sp, #0x48]
0xfffffff008399818: 08408052  mov	w8, #0x200
0xfffffff00839981c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008399820: 7f03086b  cmp	w27, w8
0xfffffff008399824: a10d0054  b.ne	#0xfffffff0083999d8
0xfffffff008399828: 3b68ffd0  adrp	x27, #0xfffffff00709f000
0xfffffff00839982c: 7b3b1b91  add	x27, x27, #0x6ce
0xfffffff008399830: f76f01a9  stp	x23, x27, [sp, #0x10]
0xfffffff008399834: fa5b00a9  stp	x26, x22, [sp]
0xfffffff008399838: 2068ffd0  adrp	x0, #0xfffffff00709f000
0xfffffff00839983c: 00a01091  add	x0, x0, #0x428
0xfffffff008399840: f8f5fe97  bl	#0xfffffff008357020
0xfffffff008399844: 28afffb0  adrp	x8, #0xfffffff00797e000
0xfffffff008399848: 08dd4db9  ldr	w8, [x8, #0xddc]
0xfffffff00839984c: 1f491b72  tst	w8, #0xffffe0
0xfffffff008399850: c0000054  b.eq	#0xfffffff008399868
0xfffffff008399854: 20afffb0  adrp	x0, #0xfffffff00797e000
0xfffffff008399858: 00c03691  add	x0, x0, #0xdb0
0xfffffff00839985c: 81008052  mov	w1, #4
0xfffffff008399860: 5834e897  bl	#0xfffffff007da69c0
0xfffffff008399864: 08000014  b	#0xfffffff008399884
0xfffffff008399868: a0acff90  adrp	x0, #0xfffffff00792d000
0xfffffff00839986c: 00c01c91  add	x0, x0, #0x730
0xfffffff008399870: 01048052  mov	w1, #0x20
0xfffffff008399874: 82008252  mov	w2, #0x1004
0xfffffff008399878: 8200a072  movk	w2, #4, lsl #16
0xfffffff00839987c: 030080d2  mov	x3, #0
0xfffffff008399880: 2033e897  bl	#0xfffffff007da6500
0xfffffff008399884: e20300aa  mov	x2, x0
0xfffffff008399888: 08f400b0  adrp	x8, #0xfffffff00a21a000
0xfffffff00839988c: 08c10191  add	x8, x8, #0x70
0xfffffff008399890: 09048052  mov	w9, #0x20
0xfffffff008399894: 080129f8  ldadd	x9, x8, [x8]
0xfffffff008399898: 28008052  mov	w8, #1
0xfffffff00839989c: 080800b9  str	w8, [x0, #8]
0xfffffff0083998a0: b0acfff0  adrp	x16, #0xfffffff007930000
0xfffffff0083998a4: 10622691  add	x16, x16, #0x998
0xfffffff0083998a8: 10420091  add	x16, x16, #0x10
0xfffffff0083998ac: f10300aa  mov	x17, x0
0xfffffff0083998b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083998b4: 300ac1da  pacda	x16, x17
0xfffffff0083998b8: 100000f9  str	x16, [x0]
0xfffffff0083998bc: e9f300f0  adrp	x9, #0xfffffff00a218000
0xfffffff0083998c0: 29413591  add	x9, x9, #0xd50
0xfffffff0083998c4: 2a910091  add	x10, x9, #0x24
0xfffffff0083998c8: 4a0128b8  ldadd	w8, w10, [x10]
0xfffffff0083998cc: 6a000035  cbnz	w10, #0xfffffff0083998d8
0xfffffff0083998d0: 290940f9  ldr	x9, [x9, #0x10]
