; Candidate 13719
; ADRP+ADD at VM 0xfffffff00955dcb4 (fileoff 0x2559cb4): page=0x1fdffc000 add_imm=0xecd

0xfffffff00955dc34: fd830091  add	x29, sp, #0x20
0xfffffff00955dc38: 085043f9  ldr	x8, [x0, #0x6a0]
0xfffffff00955dc3c: 091c40f9  ldr	x9, [x0, #0x38]
0xfffffff00955dc40: 1f0109eb  cmp	x8, x9
0xfffffff00955dc44: e1030054  b.ne	#0xfffffff00955dcc0
0xfffffff00955dc48: f30300aa  mov	x19, x0
0xfffffff00955dc4c: e803012a  mov	w8, w1
0xfffffff00955dc50: 087d029b  mul	x8, x8, x2
0xfffffff00955dc54: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff00955dc58: 29ae87d2  mov	x9, #0x3d71
0xfffffff00955dc5c: 49e1baf2  movk	x9, #0xd70a, lsl #16
0xfffffff00955dc60: 6914cef2  movk	x9, #0x70a3, lsl #32
0xfffffff00955dc64: a947e1f2  movk	x9, #0xa3d, lsl #48
0xfffffff00955dc68: 087dc99b  umulh	x8, x8, x9
0xfffffff00955dc6c: 08210953  lsl	w8, w8, #0x17
0xfffffff00955dc70: 08016011  add	w8, w8, #0x800, lsl #12
0xfffffff00955dc74: 0900a452  mov	w9, #0x20000000
0xfffffff00955dc78: 1f0109eb  cmp	x8, x9
0xfffffff00955dc7c: 0831899a  csel	x8, x8, x9, lo
0xfffffff00955dc80: 092843b9  ldr	w9, [x0, #0x328]
0xfffffff00955dc84: 1f0109eb  cmp	x8, x9
0xfffffff00955dc88: 0181899a  csel	x1, x8, x9, hi
0xfffffff00955dc8c: 08ac46b9  ldr	w8, [x0, #0x6ac]
0xfffffff00955dc90: 3f0008eb  cmp	x1, x8
0xfffffff00955dc94: 69010054  b.ls	#0xfffffff00955dcc0
0xfffffff00955dc98: e00313aa  mov	x0, x19
0xfffffff00955dc9c: 42008052  mov	w2, #2
0xfffffff00955dca0: 0d000094  bl	#0xfffffff00955dcd4
0xfffffff00955dca4: 00010035  cbnz	w0, #0xfffffff00955dcc4
0xfffffff00955dca8: 68720d91  add	x8, x19, #0x35c
0xfffffff00955dcac: 69ae46b9  ldr	w9, [x19, #0x6ac]
0xfffffff00955dcb0: e92300a9  stp	x9, x8, [sp]
0xfffffff00955dcb4: e0fffe90  adrp	x0, #0xfffffff007559000
0xfffffff00955dcb8: 00343b91  add	x0, x0, #0xecd
0xfffffff00955dcbc: e965a197  bl	#0xfffffff007db7460
0xfffffff00955dcc0: 00008052  mov	w0, #0
0xfffffff00955dcc4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00955dcc8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00955dccc: ffc30091  add	sp, sp, #0x30
0xfffffff00955dcd0: ff0f5fd6  retab	
0xfffffff00955dcd4: 7f2303d5  pacibsp	
0xfffffff00955dcd8: ffc306d1  sub	sp, sp, #0x1b0
0xfffffff00955dcdc: fc6f15a9  stp	x28, x27, [sp, #0x150]
0xfffffff00955dce0: fa6716a9  stp	x26, x25, [sp, #0x160]
0xfffffff00955dce4: f85f17a9  stp	x24, x23, [sp, #0x170]
0xfffffff00955dce8: f65718a9  stp	x22, x21, [sp, #0x180]
0xfffffff00955dcec: f44f19a9  stp	x20, x19, [sp, #0x190]
0xfffffff00955dcf0: fd7b1aa9  stp	x29, x30, [sp, #0x1a0]
0xfffffff00955dcf4: fd830691  add	x29, sp, #0x1a0
0xfffffff00955dcf8: f60303aa  mov	x22, x3
0xfffffff00955dcfc: f30300aa  mov	x19, x0
0xfffffff00955dd00: f5430291  add	x21, sp, #0x90
0xfffffff00955dd04: 5f040071  cmp	w2, #1
0xfffffff00955dd08: f4179f1a  cset	w20, eq
0xfffffff00955dd0c: bf7f37a9  stp	xzr, xzr, [x29, #-0x90]
0xfffffff00955dd10: bf0318f8  stur	xzr, [x29, #-0x80]
0xfffffff00955dd14: ff8300f9  str	xzr, [sp, #0x100]
0xfffffff00955dd18: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00955dd1c: a08202ad  stp	q0, q0, [x21, #0x50]
0xfffffff00955dd20: a08201ad  stp	q0, q0, [x21, #0x30]
0xfffffff00955dd24: a08200ad  stp	q0, q0, [x21, #0x10]
0xfffffff00955dd28: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff00955dd2c: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff00955dd30: e00302ad  stp	q0, q0, [sp, #0x40]
