; Candidate 2646
; ADRP+ADD at VM 0xfffffff0086d67fc (fileoff 0x16d27fc): page=0x1fea5b000 add_imm=0xd90

0xfffffff0086d677c: c1feff54  b.ne	#0xfffffff0086d6754
0xfffffff0086d6780: 395340f9  ldr	x25, [x25, #0xa0]
0xfffffff0086d6784: b9fcffb5  cbnz	x25, #0xfffffff0086d6718
0xfffffff0086d6788: f80300f9  str	x24, [sp]
0xfffffff0086d678c: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d6790: 00403691  add	x0, x0, #0xd90
0xfffffff0086d6794: 2199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d6798: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d679c: e352ff90  adrp	x3, #0xfffffff007132000
0xfffffff0086d67a0: 63ac3891  add	x3, x3, #0xe2b
0xfffffff0086d67a4: 02008052  mov	w2, #0
0xfffffff0086d67a8: 6272f197  bl	#0xfffffff008333130
0xfffffff0086d67ac: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0086d67b0: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0086d67b4: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0086d67b8: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0086d67bc: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0086d67c0: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0086d67c4: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0086d67c8: ff830291  add	sp, sp, #0xa0
0xfffffff0086d67cc: ff2303d5  autibsp	
0xfffffff0086d67d0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086d67d4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086d67dc
0xfffffff0086d67d8: 208e38d4  brk	#0xc471
0xfffffff0086d67dc: d857db17  b	#0xfffffff007dac73c
0xfffffff0086d67e0: 7f2303d5  pacibsp	
0xfffffff0086d67e4: ff8300d1  sub	sp, sp, #0x20
0xfffffff0086d67e8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086d67ec: fd430091  add	x29, sp, #0x10
0xfffffff0086d67f0: c853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d67f4: 08d50391  add	x8, x8, #0xf5
0xfffffff0086d67f8: e80300f9  str	x8, [sp]
0xfffffff0086d67fc: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d6800: 00403691  add	x0, x0, #0xd90
0xfffffff0086d6804: 2199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d6808: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d680c: e352ff90  adrp	x3, #0xfffffff007132000
0xfffffff0086d6810: 63f43991  add	x3, x3, #0xe7d
0xfffffff0086d6814: 02008052  mov	w2, #0
0xfffffff0086d6818: 4672f197  bl	#0xfffffff008333130
0xfffffff0086d681c: 000080d2  mov	x0, #0
0xfffffff0086d6820: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086d6824: ff830091  add	sp, sp, #0x20
0xfffffff0086d6828: ff0f5fd6  retab	
0xfffffff0086d682c: 7f2303d5  pacibsp	
0xfffffff0086d6830: ffc300d1  sub	sp, sp, #0x30
0xfffffff0086d6834: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086d6838: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086d683c: fd830091  add	x29, sp, #0x20
0xfffffff0086d6840: f30300aa  mov	x19, x0
0xfffffff0086d6844: 98700294  bl	#0xfffffff008772aa4
0xfffffff0086d6848: 3099fff0  adrp	x16, #0xfffffff0079fd000
0xfffffff0086d684c: 10c21091  add	x16, x16, #0x430
0xfffffff0086d6850: 10420091  add	x16, x16, #0x10
0xfffffff0086d6854: f10300aa  mov	x17, x0
0xfffffff0086d6858: d1b3e2f2  movk	x17, #0x159e, lsl #48
0xfffffff0086d685c: 300ac1da  pacda	x16, x17
0xfffffff0086d6860: 100000f9  str	x16, [x0]
0xfffffff0086d6864: c853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d6868: 08310491  add	x8, x8, #0x10c
0xfffffff0086d686c: e80300f9  str	x8, [sp]
0xfffffff0086d6870: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d6874: 00403691  add	x0, x0, #0xd90
0xfffffff0086d6878: 2199fff0  adrp	x1, #0xfffffff0079fd000
