; Candidate 16198
; ADRP+ADD at VM 0xfffffff009e2fda0 (fileoff 0x2e2bda0): page=0x1fd874000 add_imm=0xe00

0xfffffff009e2fd20: f60318aa  mov	x22, x24
0xfffffff009e2fd24: f50317aa  mov	x21, x23
0xfffffff009e2fd28: 02000014  b	#0xfffffff009e2fd30
0xfffffff009e2fd2c: 170080d2  mov	x23, #0
0xfffffff009e2fd30: 9fbf0071  cmp	w28, #0x2f
0xfffffff009e2fd34: 61000054  b.ne	#0xfffffff009e2fd40
0xfffffff009e2fd38: 04008052  mov	w4, #0
0xfffffff009e2fd3c: 06000014  b	#0xfffffff009e2fd54
0xfffffff009e2fd40: 04018052  mov	w4, #8
0xfffffff009e2fd44: 04000014  b	#0xfffffff009e2fd54
0xfffffff009e2fd48: 170080d2  mov	x23, #0
0xfffffff009e2fd4c: 04008052  mov	w4, #0
0xfffffff009e2fd50: 36008052  mov	w22, #1
0xfffffff009e2fd54: e0e30091  add	x0, sp, #0x38
0xfffffff009e2fd58: e10313aa  mov	x1, x19
0xfffffff009e2fd5c: e20315aa  mov	x2, x21
0xfffffff009e2fd60: e30316aa  mov	x3, x22
0xfffffff009e2fd64: 9dd7ff97  bl	#0xfffffff009e25bd8
0xfffffff009e2fd68: f50300aa  mov	x21, x0
0xfffffff009e2fd6c: c0000035  cbnz	w0, #0xfffffff009e2fd84
0xfffffff009e2fd70: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff009e2fd74: e10313aa  mov	x1, x19
0xfffffff009e2fd78: e20314aa  mov	x2, x20
0xfffffff009e2fd7c: 42d8ff97  bl	#0xfffffff009e25e84
0xfffffff009e2fd80: f50300aa  mov	x21, x0
0xfffffff009e2fd84: e0e30091  add	x0, sp, #0x38
0xfffffff009e2fd88: e10313aa  mov	x1, x19
0xfffffff009e2fd8c: 6cd4ff97  bl	#0xfffffff009e24f3c
0xfffffff009e2fd90: e00317aa  mov	x0, x23
0xfffffff009e2fd94: fb93ff97  bl	#0xfffffff009e14d80
0xfffffff009e2fd98: 17000014  b	#0xfffffff009e2fdf4
0xfffffff009e2fd9c: f90300f9  str	x25, [sp]
0xfffffff009e2fda0: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2fda4: 00003891  add	x0, x0, #0xe00
0xfffffff009e2fda8: c1f7fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2fdac: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2fdb0: 83cffed0  adrp	x3, #0xfffffff007821000
0xfffffff009e2fdb4: 63281291  add	x3, x3, #0x48a
0xfffffff009e2fdb8: 02028052  mov	w2, #0x10
0xfffffff009e2fdbc: dd0c9497  bl	#0xfffffff008333130
0xfffffff009e2fdc0: 0c000014  b	#0xfffffff009e2fdf0
0xfffffff009e2fdc4: f90300f9  str	x25, [sp]
0xfffffff009e2fdc8: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2fdcc: 00003891  add	x0, x0, #0xe00
0xfffffff009e2fdd0: c1f7fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2fdd4: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2fdd8: 83cffed0  adrp	x3, #0xfffffff007821000
0xfffffff009e2fddc: 637c1391  add	x3, x3, #0x4df
0xfffffff009e2fde0: 02028052  mov	w2, #0x10
0xfffffff009e2fde4: d30c9497  bl	#0xfffffff008333130
0xfffffff009e2fde8: e00317aa  mov	x0, x23
0xfffffff009e2fdec: c0ccff97  bl	#0xfffffff009e230ec
0xfffffff009e2fdf0: d5028052  mov	w21, #0x16
0xfffffff009e2fdf4: e00315aa  mov	x0, x21
0xfffffff009e2fdf8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009e2fdfc: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009e2fe00: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009e2fe04: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009e2fe08: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff009e2fe0c: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff009e2fe10: ff830291  add	sp, sp, #0xa0
0xfffffff009e2fe14: ff0f5fd6  retab	
0xfffffff009e2fe18: a0c3fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2fe1c: 00003891  add	x0, x0, #0xe00
