; Candidate 4306
; ADRP+ADD at VM 0xfffffff00879def8 (fileoff 0x1799ef8): page=0x1fe994000 add_imm=0xd90

0xfffffff00879de78: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00879de7c: 0993ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff00879de80: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff00879de84: 290140f9  ldr	x9, [x9]
0xfffffff00879de88: 3f0108eb  cmp	x9, x8
0xfffffff00879de8c: a1bb0054  b.ne	#0xfffffff00879f600
0xfffffff00879de90: ff830991  add	sp, sp, #0x260
0xfffffff00879de94: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00879de98: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00879de9c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00879dea0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00879dea4: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00879dea8: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff00879deac: ff0f5fd6  retab	
0xfffffff00879deb0: 7fa210f9  str	xzr, [x19, #0x2140]
0xfffffff00879deb4: e80319aa  mov	x8, x25
0xfffffff00879deb8: a94dff90  adrp	x9, #0xfffffff007151000
0xfffffff00879debc: 29491591  add	x9, x9, #0x552
0xfffffff00879dec0: e92300a9  stp	x9, x8, [sp]
0xfffffff00879dec4: a04cff90  adrp	x0, #0xfffffff007131000
0xfffffff00879dec8: 00403691  add	x0, x0, #0xd90
0xfffffff00879decc: 0193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879ded0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879ded4: 634dff90  adrp	x3, #0xfffffff007149000
0xfffffff00879ded8: 63f03491  add	x3, x3, #0xd3c
0xfffffff00879dedc: 02008052  mov	w2, #0
0xfffffff00879dee0: 9454ee97  bl	#0xfffffff008333130
0xfffffff00879dee4: 0d000014  b	#0xfffffff00879df18
0xfffffff00879dee8: e80319aa  mov	x8, x25
0xfffffff00879deec: a94dff90  adrp	x9, #0xfffffff007151000
0xfffffff00879def0: 29491591  add	x9, x9, #0x552
0xfffffff00879def4: e92300a9  stp	x9, x8, [sp]
0xfffffff00879def8: a04cff90  adrp	x0, #0xfffffff007131000
0xfffffff00879defc: 00403691  add	x0, x0, #0xd90
0xfffffff00879df00: 0193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879df04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879df08: 634dff90  adrp	x3, #0xfffffff007149000
0xfffffff00879df0c: 634c3691  add	x3, x3, #0xd93
0xfffffff00879df10: 02008052  mov	w2, #0
0xfffffff00879df14: 8754ee97  bl	#0xfffffff008333130
0xfffffff00879df18: 689250f9  ldr	x8, [x19, #0x2120]
0xfffffff00879df1c: 08f14139  ldrb	w8, [x8, #0x7c]
0xfffffff00879df20: 68420cb9  str	w8, [x19, #0xc40]
0xfffffff00879df24: 69264039  ldrb	w9, [x19, #9]
0xfffffff00879df28: 689a50f9  ldr	x8, [x19, #0x2130]
0xfffffff00879df2c: 69000034  cbz	w9, #0xfffffff00879df38
0xfffffff00879df30: 880200b5  cbnz	x8, #0xfffffff00879df80
0xfffffff00879df34: 11000014  b	#0xfffffff00879df78
0xfffffff00879df38: 080200b4  cbz	x8, #0xfffffff00879df78
0xfffffff00879df3c: 017540b9  ldr	w1, [x8, #0x74]
0xfffffff00879df40: 700240f9  ldr	x16, [x19]
0xfffffff00879df44: b01ac1da  autda	x16, x21
0xfffffff00879df48: 113280d2  mov	x17, #0x190
0xfffffff00879df4c: 1002118b  add	x16, x16, x17
0xfffffff00879df50: 080240f9  ldr	x8, [x16]
0xfffffff00879df54: e90310aa  mov	x9, x16
0xfffffff00879df58: e00313aa  mov	x0, x19
0xfffffff00879df5c: f10309aa  mov	x17, x9
0xfffffff00879df60: 9153fcf2  movk	x17, #0xe29c, lsl #48
0xfffffff00879df64: 11093fd7  blraa	x8, x17
0xfffffff00879df68: 603e0cb9  str	w0, [x19, #0xc3c]
0xfffffff00879df6c: 689a50f9  ldr	x8, [x19, #0x2130]
0xfffffff00879df70: 880000b5  cbnz	x8, #0xfffffff00879df80
0xfffffff00879df74: 02000014  b	#0xfffffff00879df7c
