; Candidate 3656
; ADRP+ADD at VM 0xfffffff00874c10c (fileoff 0x174810c): page=0x1fe9e5000 add_imm=0xd90

0xfffffff00874c08c: 0900add2  mov	x9, #0x68000000
0xfffffff00874c090: 4900c0f2  movk	x9, #2, lsl #32
0xfffffff00874c094: 04000014  b	#0xfffffff00874c0a4
0xfffffff00874c098: 882641a9  ldp	x8, x9, [x20, #0x10]
0xfffffff00874c09c: ea9f68b2  mov	x10, #-0x1000000
0xfffffff00874c0a0: 29010a8b  add	x9, x9, x10
0xfffffff00874c0a4: 280108cb  sub	x8, x9, x8
0xfffffff00874c0a8: 887e03a9  stp	x8, xzr, [x20, #0x30]
0xfffffff00874c0ac: 8895ffb0  adrp	x8, #0xfffffff0079fd000
0xfffffff00874c0b0: 08a141f9  ldr	x8, [x8, #0x340]
0xfffffff00874c0b4: 010140f9  ldr	x1, [x8]
0xfffffff00874c0b8: e00315aa  mov	x0, x21
0xfffffff00874c0bc: 0e5fee97  bl	#0xfffffff0082e3cf4
0xfffffff00874c0c0: 803a00f9  str	x0, [x20, #0x70]
0xfffffff00874c0c4: 400100b4  cbz	x0, #0xfffffff00874c0ec
0xfffffff00874c0c8: 100040f9  ldr	x16, [x0]
0xfffffff00874c0cc: f10300aa  mov	x17, x0
0xfffffff00874c0d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00874c0d4: 301ac1da  autda	x16, x17
0xfffffff00874c0d8: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff00874c0dc: e90310aa  mov	x9, x16
0xfffffff00874c0e0: f10309aa  mov	x17, x9
0xfffffff00874c0e4: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff00874c0e8: 11093fd7  blraa	x8, x17
0xfffffff00874c0ec: 2150ff90  adrp	x1, #0xfffffff007150000
0xfffffff00874c0f0: 21fc2a91  add	x1, x1, #0xabf
0xfffffff00874c0f4: e00315aa  mov	x0, x21
0xfffffff00874c0f8: c6e4fc97  bl	#0xfffffff008685410
0xfffffff00874c0fc: 801e00f9  str	x0, [x20, #0x38]
0xfffffff00874c100: 7750ff90  adrp	x23, #0xfffffff007158000
0xfffffff00874c104: f7a62591  add	x23, x23, #0x969
0xfffffff00874c108: f70300a9  stp	x23, x0, [sp]
0xfffffff00874c10c: 204fffb0  adrp	x0, #0xfffffff007131000
0xfffffff00874c110: 00403691  add	x0, x0, #0xd90
0xfffffff00874c114: 8195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874c118: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874c11c: a34fff90  adrp	x3, #0xfffffff007140000
0xfffffff00874c120: 63a40691  add	x3, x3, #0x1a9
0xfffffff00874c124: 02008052  mov	w2, #0
0xfffffff00874c128: 029cef97  bl	#0xfffffff008333130
0xfffffff00874c12c: f60314aa  mov	x22, x20
0xfffffff00874c130: df8e04f8  str	xzr, [x22, #0x48]!
0xfffffff00874c134: df821ff8  stur	xzr, [x22, #-8]
0xfffffff00874c138: df920039  strb	wzr, [x22, #0x24]
0xfffffff00874c13c: df0e00f9  str	xzr, [x22, #0x18]
0xfffffff00874c140: 08008012  mov	w8, #-1
0xfffffff00874c144: c82200b9  str	w8, [x22, #0x20]
0xfffffff00874c148: 2150ff90  adrp	x1, #0xfffffff007150000
0xfffffff00874c14c: 21482b91  add	x1, x1, #0xad2
0xfffffff00874c150: e00315aa  mov	x0, x21
0xfffffff00874c154: c7e2fc97  bl	#0xfffffff008684c70
0xfffffff00874c158: c0821ff8  stur	x0, [x22, #-8]
0xfffffff00874c15c: 600300b4  cbz	x0, #0xfffffff00874c1c8
0xfffffff00874c160: c850fff0  adrp	x8, #0xfffffff007167000
0xfffffff00874c164: 003547fd  ldr	d0, [x8, #0xe68]
0xfffffff00874c168: e20314aa  mov	x2, x20
0xfffffff00874c16c: 400c05fc  str	d0, [x2, #0x50]!
0xfffffff00874c170: 550400f9  str	x21, [x2, #8]
0xfffffff00874c174: 100040f9  ldr	x16, [x0]
0xfffffff00874c178: f10300aa  mov	x17, x0
0xfffffff00874c17c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00874c180: 301ac1da  autda	x16, x17
0xfffffff00874c184: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff00874c188: e90310aa  mov	x9, x16
