; Candidate 2816
; ADRP+ADD at VM 0xfffffff0086eb428 (fileoff 0x16e7428): page=0x1fea46000 add_imm=0xd90

0xfffffff0086eb3a8: f40b0034  cbz	w20, #0xfffffff0086eb524
0xfffffff0086eb3ac: 9f820071  cmp	w20, #0x20
0xfffffff0086eb3b0: 08050054  b.hi	#0xfffffff0086eb450
0xfffffff0086eb3b4: 35008052  mov	w21, #1
0xfffffff0086eb3b8: 9500a072  movk	w21, #4, lsl #16
0xfffffff0086eb3bc: 692a4529  ldp	w9, w10, [x19, #0x28]
0xfffffff0086eb3c0: 97020a6b  subs	w23, w20, w10
0xfffffff0086eb3c4: c9070054  b.ls	#0xfffffff0086eb4bc
0xfffffff0086eb3c8: 08008052  mov	w8, #0
0xfffffff0086eb3cc: 16008052  mov	w22, #0
0xfffffff0086eb3d0: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086eb3d4: 8b008052  mov	w11, #4
0xfffffff0086eb3d8: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086eb3dc: d65e1853  lsl	w22, w22, #8
0xfffffff0086eb3e0: bf010ceb  cmp	x13, x12
0xfffffff0086eb3e4: 02010054  b.hs	#0xfffffff0086eb404
0xfffffff0086eb3e8: 08210011  add	w8, w8, #8
0xfffffff0086eb3ec: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086eb3f0: ae050091  add	x14, x13, #1
0xfffffff0086eb3f4: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086eb3f8: ad014039  ldrb	w13, [x13]
0xfffffff0086eb3fc: d6020d2a  orr	w22, w22, w13
0xfffffff0086eb400: ed030eaa  mov	x13, x14
0xfffffff0086eb404: 6b050071  subs	w11, w11, #1
0xfffffff0086eb408: a1feff54  b.ne	#0xfffffff0086eb3dc
0xfffffff0086eb40c: ea030a4b  neg	w10, w10
0xfffffff0086eb410: 2925ca1a  lsr	w9, w9, w10
0xfffffff0086eb414: 3821d71a  lsl	w24, w9, w23
0xfffffff0086eb418: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb41c: 3f01156a  tst	w9, w21
0xfffffff0086eb420: 60050054  b.eq	#0xfffffff0086eb4cc
0xfffffff0086eb424: f62300a9  stp	x22, x8, [sp]
0xfffffff0086eb428: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb42c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb430: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb434: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb438: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb43c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086eb440: 02008052  mov	w2, #0
0xfffffff0086eb444: 3b1ff197  bl	#0xfffffff008333130
0xfffffff0086eb448: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb44c: 20000014  b	#0xfffffff0086eb4cc
0xfffffff0086eb450: 68ce5eb9  ldr	w8, [x19, #0x1ecc]
0xfffffff0086eb454: 29008052  mov	w9, #1
0xfffffff0086eb458: 8900a072  movk	w9, #4, lsl #16
0xfffffff0086eb45c: 1f01096a  tst	w8, w9
0xfffffff0086eb460: e0010054  b.eq	#0xfffffff0086eb49c
0xfffffff0086eb464: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb468: f4a300a9  stp	x20, x8, [sp, #8]
0xfffffff0086eb46c: 2853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086eb470: 08b52a91  add	x8, x8, #0xaad
0xfffffff0086eb474: e80300f9  str	x8, [sp]
0xfffffff0086eb478: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb47c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb480: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb484: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb488: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb48c: 63243291  add	x3, x3, #0xc89
0xfffffff0086eb490: 02008052  mov	w2, #0
0xfffffff0086eb494: 271ff197  bl	#0xfffffff008333130
0xfffffff0086eb498: 744640b9  ldr	w20, [x19, #0x44]
0xfffffff0086eb49c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb4a0: 8802084b  sub	w8, w20, w8
0xfffffff0086eb4a4: 087d0353  lsr	w8, w8, #3
