; Candidate 5070
; ADRP+ADD at VM 0xfffffff0087d658c (fileoff 0x17d258c): page=0x1fea13000 add_imm=0xe80

0xfffffff0087d650c: 00a83591  add	x0, x0, #0xd6a
0xfffffff0087d6510: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d6514: d383d797  bl	#0xfffffff007db7460
0xfffffff0087d6518: 25000014  b	#0xfffffff0087d65ac
0xfffffff0087d651c: 9f010b6b  cmp	w12, w11
0xfffffff0087d6520: eda79f1a  cset	w13, lt
0xfffffff0087d6524: 5f010b6b  cmp	w10, w11
0xfffffff0087d6528: ead79f1a  cset	w10, gt
0xfffffff0087d652c: 80a14b7a  ccmp	w12, w11, #0, ge
0xfffffff0087d6530: 8d000054  b.le	#0xfffffff0087d6540
0xfffffff0087d6534: aa010a2a  orr	w10, w13, w10
0xfffffff0087d6538: 08e4002f  movi	d8, #0000000000000000
0xfffffff0087d653c: 8afb0737  tbnz	w10, #0, #0xfffffff0087d64ac
0xfffffff0087d6540: 2801080b  add	w8, w9, w8
0xfffffff0087d6544: 0001221e  scvtf	s0, w8
0xfffffff0087d6548: 01102c1e  fmov	s1, #0.50000000
0xfffffff0087d654c: 0008211e  fmul	s0, s0, s1
0xfffffff0087d6550: d1ffff17  b	#0xfffffff0087d6494
0xfffffff0087d6554: 16770394  bl	#0xfffffff0088b41ac
0xfffffff0087d6558: f60300aa  mov	x22, x0
0xfffffff0087d655c: e0008052  mov	w0, #7
0xfffffff0087d6560: bc940294  bl	#0xfffffff00887b850
0xfffffff0087d6564: a87a78b8  ldr	w8, [x21, x24, lsl #2]
0xfffffff0087d6568: a97a79b8  ldr	w9, [x21, x25, lsl #2]
0xfffffff0087d656c: aa7a7ab8  ldr	w10, [x21, x26, lsl #2]
0xfffffff0087d6570: ab7a7bb8  ldr	w11, [x21, x27, lsl #2]
0xfffffff0087d6574: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff0087d6578: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0087d657c: f47302a9  stp	x20, x28, [sp, #0x20]
0xfffffff0087d6580: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff0087d6584: 680f8052  mov	w8, #0x7b
0xfffffff0087d6588: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d658c: 8050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d6590: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d6594: 8191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d6598: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d659c: 2353ffb0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d65a0: 63642091  add	x3, x3, #0x819
0xfffffff0087d65a4: 02008052  mov	w2, #0
0xfffffff0087d65a8: e272ed97  bl	#0xfffffff008333130
0xfffffff0087d65ac: 0001381e  fcvtzs	w0, s8
0xfffffff0087d65b0: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0087d65b4: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0087d65b8: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0087d65bc: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0087d65c0: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0087d65c4: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff0087d65c8: e923456d  ldp	d9, d8, [sp, #0x50]
0xfffffff0087d65cc: ff030391  add	sp, sp, #0xc0
0xfffffff0087d65d0: ff0f5fd6  retab	
0xfffffff0087d65d4: 5f2403d5  bti	c
0xfffffff0087d65d8: 01103c1e  fmov	s1, #-0.50000000
0xfffffff0087d65dc: 0108211e  fmul	s1, s0, s1
0xfffffff0087d65e0: 0800261e  fmov	w8, s0
0xfffffff0087d65e4: c9508b52  mov	w9, #0x5a86
0xfffffff0087d65e8: e9e6ab72  movk	w9, #0x5f37, lsl #16
0xfffffff0087d65ec: 2805884b  sub	w8, w9, w8, asr #1
0xfffffff0087d65f0: 0001271e  fmov	s0, w8
0xfffffff0087d65f4: 2208201e  fmul	s2, s1, s0
0xfffffff0087d65f8: 03102f1e  fmov	s3, #1.50000000
0xfffffff0087d65fc: 420c001f  fmadd	s2, s2, s0, s3
0xfffffff0087d6600: 4008201e  fmul	s0, s2, s0
0xfffffff0087d6604: 2208201e  fmul	s2, s1, s0
0xfffffff0087d6608: 420c001f  fmadd	s2, s2, s0, s3
