; Candidate 8537
; ADRP+ADD at VM 0xfffffff0088b06e8 (fileoff 0x18ac6e8): page=0x1fe939000 add_imm=0xe80

0xfffffff0088b0668: 6c2cff97  bl	#0xfffffff00887b818
0xfffffff0088b066c: f90300aa  mov	x25, x0
0xfffffff0088b0670: cf0e0094  bl	#0xfffffff0088b41ac
0xfffffff0088b0674: f80300aa  mov	x24, x0
0xfffffff0088b0678: e0008052  mov	w0, #7
0xfffffff0088b067c: 752cff97  bl	#0xfffffff00887b850
0xfffffff0088b0680: b9010034  cbz	w25, #0xfffffff0088b06b4
0xfffffff0088b0684: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0088b0688: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff0088b068c: 284cff90  adrp	x8, #0xfffffff007234000
0xfffffff0088b0690: 08751191  add	x8, x8, #0x45d
0xfffffff0088b0694: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b0698: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088b069c: c80f8052  mov	w8, #0x7e
0xfffffff0088b06a0: 004cfff0  adrp	x0, #0xfffffff007233000
0xfffffff0088b06a4: 00181791  add	x0, x0, #0x5c6
0xfffffff0088b06a8: f82300a9  stp	x24, x8, [sp]
0xfffffff0088b06ac: 6d1bd497  bl	#0xfffffff007db7460
0xfffffff0088b06b0: 16000014  b	#0xfffffff0088b0708
0xfffffff0088b06b4: be0e0094  bl	#0xfffffff0088b41ac
0xfffffff0088b06b8: f80300aa  mov	x24, x0
0xfffffff0088b06bc: e0008052  mov	w0, #7
0xfffffff0088b06c0: 642cff97  bl	#0xfffffff00887b850
0xfffffff0088b06c4: e80317aa  mov	x8, x23
0xfffffff0088b06c8: f5a303a9  stp	x21, x8, [sp, #0x38]
0xfffffff0088b06cc: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff0088b06d0: 284cff90  adrp	x8, #0xfffffff007234000
0xfffffff0088b06d4: 08751191  add	x8, x8, #0x45d
0xfffffff0088b06d8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b06dc: c80f8052  mov	w8, #0x7e
0xfffffff0088b06e0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b06e4: f80300f9  str	x24, [sp]
0xfffffff0088b06e8: c049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b06ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b06f0: c18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088b06f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b06f8: a34dff90  adrp	x3, #0xfffffff007264000
0xfffffff0088b06fc: 63e81691  add	x3, x3, #0x5ba
0xfffffff0088b0700: 02008052  mov	w2, #0
0xfffffff0088b0704: 8b0aea97  bl	#0xfffffff008333130
0xfffffff0088b0708: e00317aa  mov	x0, x23
0xfffffff0088b070c: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0088b0710: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0088b0714: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0088b0718: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0088b071c: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0088b0720: ffc30291  add	sp, sp, #0xb0
0xfffffff0088b0724: ff0f5fd6  retab	
0xfffffff0088b0728: a10e0094  bl	#0xfffffff0088b41ac
0xfffffff0088b072c: f70300aa  mov	x23, x0
0xfffffff0088b0730: 80008052  mov	w0, #4
0xfffffff0088b0734: 472cff97  bl	#0xfffffff00887b850
0xfffffff0088b0738: 680240b9  ldr	w8, [x19]
0xfffffff0088b073c: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088b0740: ab1640b9  ldr	w11, [x21, #0x14]
0xfffffff0088b0744: ea0316aa  mov	x10, x22
0xfffffff0088b0748: eaaf04a9  stp	x10, x11, [sp, #0x48]
0xfffffff0088b074c: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0088b0750: e84affd0  adrp	x8, #0xfffffff00720e000
0xfffffff0088b0754: 08691291  add	x8, x8, #0x49a
0xfffffff0088b0758: 49088152  mov	w9, #0x842
0xfffffff0088b075c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088b0760: 284cff90  adrp	x8, #0xfffffff007234000
0xfffffff0088b0764: 08751191  add	x8, x8, #0x45d
