; Candidate 10909
; ADRP+ADD at VM 0xfffffff008dec690 (fileoff 0x1de8690): page=0x1fe5d8000 add_imm=0xe15

0xfffffff008dec610: e00313aa  mov	x0, x19
0xfffffff008dec614: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008dec618: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008dec61c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008dec620: ff830191  add	sp, sp, #0x60
0xfffffff008dec624: ff0f5fd6  retab	
0xfffffff008dec628: c8208152  mov	w8, #0x906
0xfffffff008dec62c: a92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008dec630: 29e92e91  add	x9, x9, #0xbba
0xfffffff008dec634: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008dec638: c82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008dec63c: 08493991  add	x8, x8, #0xe52
0xfffffff008dec640: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008dec644: 4a713091  add	x10, x10, #0xc1c
0xfffffff008dec648: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008dec64c: ea0300f9  str	x10, [sp]
0xfffffff008dec650: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008dec654: 00543891  add	x0, x0, #0xe15
0xfffffff008dec658: 72aad597  bl	#0xfffffff008357020
0xfffffff008dec65c: 93008012  mov	w19, #-5
0xfffffff008dec660: ecffff17  b	#0xfffffff008dec610
0xfffffff008dec664: 687e4093  sxtw	x8, w19
0xfffffff008dec668: 29218152  mov	w9, #0x909
0xfffffff008dec66c: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008dec670: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008dec674: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008dec678: c92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008dec67c: 29493991  add	x9, x9, #0xe52
0xfffffff008dec680: cb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008dec684: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008dec688: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008dec68c: eb0300f9  str	x11, [sp]
0xfffffff008dec690: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008dec694: 00543891  add	x0, x0, #0xe15
0xfffffff008dec698: 62aad597  bl	#0xfffffff008357020
0xfffffff008dec69c: ddffff17  b	#0xfffffff008dec610
0xfffffff008dec6a0: 7f2303d5  pacibsp	
0xfffffff008dec6a4: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008dec6a8: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff008dec6ac: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008dec6b0: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008dec6b4: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008dec6b8: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008dec6bc: fd430291  add	x29, sp, #0x90
0xfffffff008dec6c0: a1c31bb8  stur	w1, [x29, #-0x44]
0xfffffff008dec6c4: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff008dec6c8: 200600b4  cbz	x0, #0xfffffff008dec78c
0xfffffff008dec6cc: 21070034  cbz	w1, #0xfffffff008dec7b0
0xfffffff008dec6d0: f40306aa  mov	x20, x6
0xfffffff008dec6d4: 060800b4  cbz	x6, #0xfffffff008dec7d4
0xfffffff008dec6d8: f30307aa  mov	x19, x7
0xfffffff008dec6dc: e70800b4  cbz	x7, #0xfffffff008dec7f8
0xfffffff008dec6e0: f50305aa  mov	x21, x5
0xfffffff008dec6e4: f60304aa  mov	x22, x4
0xfffffff008dec6e8: f80303aa  mov	x24, x3
0xfffffff008dec6ec: f90302aa  mov	x25, x2
0xfffffff008dec6f0: fa0300aa  mov	x26, x0
0xfffffff008dec6f4: e3030191  add	x3, sp, #0x40
0xfffffff008dec6f8: e00318aa  mov	x0, x24
0xfffffff008dec6fc: e10304aa  mov	x1, x4
0xfffffff008dec700: e20305aa  mov	x2, x5
0xfffffff008dec704: aeffff97  bl	#0xfffffff008dec5bc
0xfffffff008dec708: a0080035  cbnz	w0, #0xfffffff008dec81c
0xfffffff008dec70c: 680240f9  ldr	x8, [x19]
