; Candidate 6519
; ADRP+ADD at VM 0xfffffff0088319a4 (fileoff 0x182d9a4): page=0x1fe9b8000 add_imm=0xe80

0xfffffff008831924: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008831928: 080b8052  mov	w8, #0x58
0xfffffff00883192c: f42300a9  stp	x20, x8, [sp]
0xfffffff008831930: c04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008831934: 00003a91  add	x0, x0, #0xe80
0xfffffff008831938: a18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff00883193c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008831940: e350ff90  adrp	x3, #0xfffffff00724d000
0xfffffff008831944: 638c0e91  add	x3, x3, #0x3a3
0xfffffff008831948: 02008052  mov	w2, #0
0xfffffff00883194c: f905ec97  bl	#0xfffffff008333130
0xfffffff008831950: 547e8012  mov	w20, #-0x3f3
0xfffffff008831954: 48000014  b	#0xfffffff008831a74
0xfffffff008831958: 150a0294  bl	#0xfffffff0088b41ac
0xfffffff00883195c: f50300aa  mov	x21, x0
0xfffffff008831960: e0008052  mov	w0, #7
0xfffffff008831964: bb270194  bl	#0xfffffff00887b850
0xfffffff008831968: f60300aa  mov	x22, x0
0xfffffff00883196c: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff008831970: 171d40b9  ldr	w23, [x8, #0x1c]
0xfffffff008831974: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008831978: 01008052  mov	w1, #0
0xfffffff00883197c: e20317aa  mov	x2, x23
0xfffffff008831980: e24d0194  bl	#0xfffffff008885108
0xfffffff008831984: f40303a9  stp	x20, x0, [sp, #0x30]
0xfffffff008831988: c81e8052  mov	w8, #0xf6
0xfffffff00883198c: e85f02a9  stp	x8, x23, [sp, #0x20]
0xfffffff008831990: 884fffb0  adrp	x8, #0xfffffff007222000
0xfffffff008831994: 088d3291  add	x8, x8, #0xca3
0xfffffff008831998: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff00883199c: 080b8052  mov	w8, #0x58
0xfffffff0088319a0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088319a4: c04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088319a8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088319ac: a18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088319b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088319b4: e350ff90  adrp	x3, #0xfffffff00724d000
0xfffffff0088319b8: 635c0f91  add	x3, x3, #0x3d7
0xfffffff0088319bc: 02008052  mov	w2, #0
0xfffffff0088319c0: dc05ec97  bl	#0xfffffff008333130
0xfffffff0088319c4: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0088319c8: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff0088319cc: 021940b9  ldr	w2, [x8, #0x18]
0xfffffff0088319d0: 01008052  mov	w1, #0
0xfffffff0088319d4: cd4d0194  bl	#0xfffffff008885108
0xfffffff0088319d8: 15000032  orr	w21, w0, #1
0xfffffff0088319dc: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0088319e0: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff0088319e4: 021940b9  ldr	w2, [x8, #0x18]
0xfffffff0088319e8: 01008052  mov	w1, #0
0xfffffff0088319ec: e30315aa  mov	x3, x21
0xfffffff0088319f0: e04d0194  bl	#0xfffffff008885170
0xfffffff0088319f4: 000b8052  mov	w0, #0x58
0xfffffff0088319f8: e1008052  mov	w1, #7
0xfffffff0088319fc: 75270194  bl	#0xfffffff00887b7d0
0xfffffff008831a00: 14008052  mov	w20, #0
0xfffffff008831a04: 80030034  cbz	w0, #0xfffffff008831a74
0xfffffff008831a08: 000b8052  mov	w0, #0x58
0xfffffff008831a0c: 83270194  bl	#0xfffffff00887b818
0xfffffff008831a10: f80300aa  mov	x24, x0
0xfffffff008831a14: e6090294  bl	#0xfffffff0088b41ac
0xfffffff008831a18: f40300aa  mov	x20, x0
0xfffffff008831a1c: e0008052  mov	w0, #7
0xfffffff008831a20: 8c270194  bl	#0xfffffff00887b850
