; Candidate 10931
; ADRP+ADD at VM 0xfffffff008ded480 (fileoff 0x1de9480): page=0x1fe5d7000 add_imm=0xe15

0xfffffff008ded400: a30100b4  cbz	x3, #0xfffffff008ded434
0xfffffff008ded404: 840100b4  cbz	x4, #0xfffffff008ded434
0xfffffff008ded408: 810200b4  cbz	x1, #0xfffffff008ded458
0xfffffff008ded40c: e80300aa  mov	x8, x0
0xfffffff008ded410: 00008052  mov	w0, #0
0xfffffff008ded414: 09154038  ldrb	w9, [x8], #1
0xfffffff008ded418: 89000039  strb	w9, [x4]
0xfffffff008ded41c: 480000f9  str	x8, [x2]
0xfffffff008ded420: 280400d1  sub	x8, x1, #1
0xfffffff008ded424: 680000f9  str	x8, [x3]
0xfffffff008ded428: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008ded42c: ff030191  add	sp, sp, #0x40
0xfffffff008ded430: ff0f5fd6  retab	
0xfffffff008ded434: 28498152  mov	w8, #0xa49
0xfffffff008ded438: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded43c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded440: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded444: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded448: 08493991  add	x8, x8, #0xe52
0xfffffff008ded44c: aa2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008ded450: 4a792391  add	x10, x10, #0x8de
0xfffffff008ded454: 09000014  b	#0xfffffff008ded478
0xfffffff008ded458: 88498152  mov	w8, #0xa4c
0xfffffff008ded45c: a92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008ded460: 29e92e91  add	x9, x9, #0xbba
0xfffffff008ded464: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ded468: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ded46c: 08493991  add	x8, x8, #0xe52
0xfffffff008ded470: aa2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008ded474: 4a752491  add	x10, x10, #0x91d
0xfffffff008ded478: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008ded47c: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008ded480: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ded484: 00543891  add	x0, x0, #0xe15
0xfffffff008ded488: e6a6d597  bl	#0xfffffff008357020
0xfffffff008ded48c: 40008012  mov	w0, #-3
0xfffffff008ded490: e6ffff17  b	#0xfffffff008ded428
0xfffffff008ded494: 7f2303d5  pacibsp	
0xfffffff008ded498: ff8301d1  sub	sp, sp, #0x60
0xfffffff008ded49c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008ded4a0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008ded4a4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008ded4a8: fd430191  add	x29, sp, #0x50
0xfffffff008ded4ac: bfc31db8  stur	wzr, [x29, #-0x24]
0xfffffff008ded4b0: 830200b4  cbz	x3, #0xfffffff008ded500
0xfffffff008ded4b4: f40303aa  mov	x20, x3
0xfffffff008ded4b8: e80302aa  mov	x8, x2
0xfffffff008ded4bc: f50300aa  mov	x21, x0
0xfffffff008ded4c0: a29300d1  sub	x2, x29, #0x24
0xfffffff008ded4c4: e00301aa  mov	x0, x1
0xfffffff008ded4c8: e10308aa  mov	x1, x8
0xfffffff008ded4cc: a1e6ff97  bl	#0xfffffff008de6f50
0xfffffff008ded4d0: f30300aa  mov	x19, x0
0xfffffff008ded4d4: 40030035  cbnz	w0, #0xfffffff008ded53c
0xfffffff008ded4d8: a8c35db8  ldur	w8, [x29, #-0x24]
0xfffffff008ded4dc: a802088b  add	x8, x21, x8
0xfffffff008ded4e0: 08610091  add	x8, x8, #0x18
0xfffffff008ded4e4: 880200f9  str	x8, [x20]
0xfffffff008ded4e8: e00313aa  mov	x0, x19
0xfffffff008ded4ec: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008ded4f0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008ded4f4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008ded4f8: ff830191  add	sp, sp, #0x60
0xfffffff008ded4fc: ff0f5fd6  retab	
