; Candidate 11566
; ADRP+ADD at VM 0xfffffff008f94658 (fileoff 0x1f90658): page=0x1fe493000 add_imm=0xd76

0xfffffff008f945d8: f66300a9  stp	x22, x24, [sp]
0xfffffff008f945dc: a04302d1  sub	x0, x29, #0x90
0xfffffff008f945e0: 01048052  mov	w1, #0x20
0xfffffff008f945e4: a224ff90  adrp	x2, #0xfffffff007428000
0xfffffff008f945e8: 422c0391  add	x2, x2, #0xcb
0xfffffff008f945ec: dc99c997  bl	#0xfffffff0081fad5c
0xfffffff008f945f0: a0b25bf9  ldr	x0, [x21, #0x3760]
0xfffffff008f945f4: a24302d1  sub	x2, x29, #0x90
0xfffffff008f945f8: e10314aa  mov	x1, x20
0xfffffff008f945fc: cef3d197  bl	#0xfffffff008411534
0xfffffff008f94600: f86b40f9  ldr	x24, [sp, #0xd0]
0xfffffff008f94604: 18070091  add	x24, x24, #1
0xfffffff008f94608: e87340f9  ldr	x8, [sp, #0xe0]
0xfffffff008f9460c: 09f160b9  ldr	w9, [x8, #0x20f0]
0xfffffff008f94610: 1f0309eb  cmp	x24, x9
0xfffffff008f94614: fb7b40f9  ldr	x27, [sp, #0xf0]
0xfffffff008f94618: 836dff54  b.lo	#0xfffffff008f933c8
0xfffffff008f9461c: 2a000014  b	#0xfffffff008f946c4
0xfffffff008f94620: f37b40f9  ldr	x19, [sp, #0xf0]
0xfffffff008f94624: 69fa40b9  ldr	w9, [x19, #0xf8]
0xfffffff008f94628: a9030036  tbz	w9, #0, #0xfffffff008f9469c
0xfffffff008f9462c: 6afa40f9  ldr	x10, [x19, #0x1f0]
0xfffffff008f94630: 5f0113eb  cmp	x10, x19
0xfffffff008f94634: a0010054  b.eq	#0xfffffff008f94668
0xfffffff008f94638: f56f40f9  ldr	x21, [sp, #0xd8]
0xfffffff008f9463c: 69027836  tbz	w9, #0xf, #0xfffffff008f94688
0xfffffff008f94640: 17e6bc97  bl	#0xfffffff007ecde9c
0xfffffff008f94644: 487740f9  ldr	x8, [x26, #0xe8]
0xfffffff008f94648: 085940b9  ldr	w8, [x8, #0x58]
0xfffffff008f9464c: e0010034  cbz	w0, #0xfffffff008f94688
0xfffffff008f94650: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff008f94654: f50300f9  str	x21, [sp]
0xfffffff008f94658: 8024fff0  adrp	x0, #0xfffffff007427000
0xfffffff008f9465c: 00d83591  add	x0, x0, #0xd76
0xfffffff008f94660: 700acf97  bl	#0xfffffff008357020
0xfffffff008f94664: 0e000014  b	#0xfffffff008f9469c
0xfffffff008f94668: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff008f9466c: e86f40f9  ldr	x8, [sp, #0xd8]
0xfffffff008f94670: e80300f9  str	x8, [sp]
0xfffffff008f94674: e00313aa  mov	x0, x19
0xfffffff008f94678: 8124fff0  adrp	x1, #0xfffffff007427000
0xfffffff008f9467c: 21d83591  add	x1, x1, #0xd76
0xfffffff008f94680: 3cd8ff97  bl	#0xfffffff008f8a770
0xfffffff008f94684: 06000014  b	#0xfffffff008f9469c
0xfffffff008f94688: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff008f9468c: f50300f9  str	x21, [sp]
0xfffffff008f94690: 8024fff0  adrp	x0, #0xfffffff007427000
0xfffffff008f94694: 00d83591  add	x0, x0, #0xd76
0xfffffff008f94698: ae6bd397  bl	#0xfffffff00846f550
0xfffffff008f9469c: 487740f9  ldr	x8, [x26, #0xe8]
0xfffffff008f946a0: 085940b9  ldr	w8, [x8, #0x58]
0xfffffff008f946a4: 69fe6eb9  ldr	w9, [x19, #0x2efc]
0xfffffff008f946a8: 1f01096b  cmp	w8, w9
0xfffffff008f946ac: a2faff54  b.hs	#0xfffffff008f94600
0xfffffff008f946b0: e97b40f9  ldr	x9, [sp, #0xf0]
0xfffffff008f946b4: 298157f9  ldr	x9, [x9, #0x2f00]
0xfffffff008f946b8: 08f57ed3  lsl	x8, x8, #2
0xfffffff008f946bc: 34692878  strh	w20, [x9, x8]
0xfffffff008f946c0: d0ffff17  b	#0xfffffff008f94600
0xfffffff008f946c4: e87740f9  ldr	x8, [sp, #0xe8]
0xfffffff008f946c8: 080140b9  ldr	w8, [x8]
0xfffffff008f946cc: f35340f9  ldr	x19, [sp, #0xa0]
0xfffffff008f946d0: f66740f9  ldr	x22, [sp, #0xc8]
0xfffffff008f946d4: f7060091  add	x23, x23, #1
