; Candidate 4321
; ADRP+ADD at VM 0xfffffff00879f080 (fileoff 0x179b080): page=0x1fe992000 add_imm=0xd90

0xfffffff00879f000: 63d43d91  add	x3, x3, #0xf75
0xfffffff00879f004: 02008052  mov	w2, #0
0xfffffff00879f008: 4a50ee97  bl	#0xfffffff008333130
0xfffffff00879f00c: 08008052  mov	w8, #0
0xfffffff00879f010: 5e000014  b	#0xfffffff00879f188
0xfffffff00879f014: 2b050051  sub	w11, w9, #1
0xfffffff00879f018: 4b000b2b  adds	w11, w2, w11
0xfffffff00879f01c: e30b0054  b.lo	#0xfffffff00879f198
0xfffffff00879f020: 0c008052  mov	w12, #0
0xfffffff00879f024: 0d008052  mov	w13, #0
0xfffffff00879f028: 4e008052  mov	w14, #2
0xfffffff00879f02c: 58010014  b	#0xfffffff00879f58c
0xfffffff00879f030: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f034: 08491591  add	x8, x8, #0x552
0xfffffff00879f038: e80300f9  str	x8, [sp]
0xfffffff00879f03c: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f040: 00403691  add	x0, x0, #0xd90
0xfffffff00879f044: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f048: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f04c: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f050: 63680391  add	x3, x3, #0xda
0xfffffff00879f054: 02008052  mov	w2, #0
0xfffffff00879f058: 3650ee97  bl	#0xfffffff008333130
0xfffffff00879f05c: 20338052  mov	w0, #0x199
0xfffffff00879f060: 86fbff17  b	#0xfffffff00879de78
0xfffffff00879f064: 687e50f9  ldr	x8, [x19, #0x20f8]
0xfffffff00879f068: 6a7e4cb9  ldr	w10, [x19, #0xc7c]
0xfffffff00879f06c: 0b0f8052  mov	w11, #0x78
0xfffffff00879f070: 48210b9b  madd	x8, x10, x11, x8
0xfffffff00879f074: 082d40b9  ldr	w8, [x8, #0x2c]
0xfffffff00879f078: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00879f07c: ef0300f9  str	x15, [sp]
0xfffffff00879f080: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f084: 00403691  add	x0, x0, #0xd90
0xfffffff00879f088: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f08c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f090: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f094: 63940591  add	x3, x3, #0x165
0xfffffff00879f098: 02008052  mov	w2, #0
0xfffffff00879f09c: 2550ee97  bl	#0xfffffff008333130
0xfffffff00879f0a0: 08008052  mov	w8, #0
0xfffffff00879f0a4: 3fffff17  b	#0xfffffff00879eda0
0xfffffff00879f0a8: e80300f9  str	x8, [sp]
0xfffffff00879f0ac: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f0b0: 00403691  add	x0, x0, #0xd90
0xfffffff00879f0b4: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f0b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f0bc: 434dffd0  adrp	x3, #0xfffffff007149000
0xfffffff00879f0c0: 63003a91  add	x3, x3, #0xe80
0xfffffff00879f0c4: 02008052  mov	w2, #0
0xfffffff00879f0c8: 1a50ee97  bl	#0xfffffff008333130
0xfffffff00879f0cc: 08008052  mov	w8, #0
0xfffffff00879f0d0: 34ffff17  b	#0xfffffff00879eda0
0xfffffff00879f0d4: 08008052  mov	w8, #0
0xfffffff00879f0d8: 15ffff17  b	#0xfffffff00879ed2c
0xfffffff00879f0dc: f40300aa  mov	x20, x0
0xfffffff00879f0e0: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f0e4: 08491591  add	x8, x8, #0x552
0xfffffff00879f0e8: e85300a9  stp	x8, x20, [sp]
0xfffffff00879f0ec: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f0f0: 00403691  add	x0, x0, #0xd90
0xfffffff00879f0f4: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f0f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f0fc: 434dfff0  adrp	x3, #0xfffffff00714a000
