; Candidate 7138
; ADRP+ADD at VM 0xfffffff00885a128 (fileoff 0x1856128): page=0x1fe98f000 add_imm=0xe80

0xfffffff00885a0a8: 37020034  cbz	w23, #0xfffffff00885a0ec
0xfffffff00885a0ac: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885a0b0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00885a0b4: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00885a0b8: 684effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885a0bc: 09f10291  add	x9, x8, #0xbc
0xfffffff00885a0c0: 684effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885a0c4: 08811191  add	x8, x8, #0x460
0xfffffff00885a0c8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885a0cc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885a0d0: 880c8052  mov	w8, #0x64
0xfffffff00885a0d4: c04dff90  adrp	x0, #0xfffffff007212000
0xfffffff00885a0d8: 000c2191  add	x0, x0, #0x843
0xfffffff00885a0dc: f62300a9  stp	x22, x8, [sp]
0xfffffff00885a0e0: e074d597  bl	#0xfffffff007db7460
0xfffffff00885a0e4: 540300b5  cbnz	x20, #0xfffffff00885a14c
0xfffffff00885a0e8: 40000014  b	#0xfffffff00885a1e8
0xfffffff00885a0ec: 30680194  bl	#0xfffffff0088b41ac
0xfffffff00885a0f0: f60300aa  mov	x22, x0
0xfffffff00885a0f4: e0008052  mov	w0, #7
0xfffffff00885a0f8: d6850094  bl	#0xfffffff00887b850
0xfffffff00885a0fc: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885a100: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00885a104: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00885a108: 684effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885a10c: 09f10291  add	x9, x8, #0xbc
0xfffffff00885a110: 684effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885a114: 08811191  add	x8, x8, #0x460
0xfffffff00885a118: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885a11c: 880c8052  mov	w8, #0x64
0xfffffff00885a120: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885a124: f60300f9  str	x22, [sp]
0xfffffff00885a128: 604cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885a12c: 00003a91  add	x0, x0, #0xe80
0xfffffff00885a130: 618dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885a134: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885a138: c34fffd0  adrp	x3, #0xfffffff007254000
0xfffffff00885a13c: 63842791  add	x3, x3, #0x9e1
0xfffffff00885a140: 02008052  mov	w2, #0
0xfffffff00885a144: fb63eb97  bl	#0xfffffff008333130
0xfffffff00885a148: 140500b4  cbz	x20, #0xfffffff00885a1e8
0xfffffff00885a14c: f50400b4  cbz	x21, #0xfffffff00885a1e8
0xfffffff00885a150: 990a40f9  ldr	x25, [x20, #0x10]
0xfffffff00885a154: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff00885a158: 1f0d0071  cmp	w8, #3
0xfffffff00885a15c: 41080054  b.ne	#0xfffffff00885a264
0xfffffff00885a160: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff00885a164: 29008052  mov	w9, #1
0xfffffff00885a168: 2821c81a  lsl	w8, w9, w8
0xfffffff00885a16c: 0a208152  mov	w10, #0x900
0xfffffff00885a170: 1f010a6a  tst	w8, w10
0xfffffff00885a174: 2915899a  cinc	x9, x9, eq
0xfffffff00885a178: 0a5f8e52  mov	w10, #0x72f8
0xfffffff00885a17c: 6a00a072  movk	w10, #3, lsl #16
0xfffffff00885a180: 1f010a6a  tst	w8, w10
0xfffffff00885a184: 28019f9a  csel	x8, x9, xzr, eq
0xfffffff00885a188: 880a088b  add	x8, x20, x8, lsl #2
0xfffffff00885a18c: 098d40b9  ldr	w9, [x8, #0x8c]
0xfffffff00885a190: 087d40b9  ldr	w8, [x8, #0x7c]
0xfffffff00885a194: 3f01086b  cmp	w9, w8
0xfffffff00885a198: aa0a0054  b.ge	#0xfffffff00885a2ec
0xfffffff00885a19c: 882640b9  ldr	w8, [x20, #0x24]
0xfffffff00885a1a0: 1f090071  cmp	w8, #2
0xfffffff00885a1a4: 210e0054  b.ne	#0xfffffff00885a368
