; Candidate 9428
; ADRP+ADD at VM 0xfffffff008a497f8 (fileoff 0x1a457f8): page=0x1ff014000 add_imm=0xd58

0xfffffff008a49778: 10a23c91  add	x16, x16, #0xf28
0xfffffff008a4977c: 10420091  add	x16, x16, #0x10
0xfffffff008a49780: f10300aa  mov	x17, x0
0xfffffff008a49784: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a49788: 300ac1da  pacda	x16, x17
0xfffffff008a4978c: 100000f9  str	x16, [x0]
0xfffffff008a49790: 004840f9  ldr	x0, [x0, #0x90]
0xfffffff008a49794: 400100b4  cbz	x0, #0xfffffff008a497bc
0xfffffff008a49798: 100040f9  ldr	x16, [x0]
0xfffffff008a4979c: f10300aa  mov	x17, x0
0xfffffff008a497a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a497a4: 301ac1da  autda	x16, x17
0xfffffff008a497a8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a497ac: e90310aa  mov	x9, x16
0xfffffff008a497b0: f10309aa  mov	x17, x9
0xfffffff008a497b4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a497b8: 11093fd7  blraa	x8, x17
0xfffffff008a497bc: 7f4a00f9  str	xzr, [x19, #0x90]
0xfffffff008a497c0: e00313aa  mov	x0, x19
0xfffffff008a497c4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a497c8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a497cc: ff2303d5  autibsp	
0xfffffff008a497d0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008a497d4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008a497dc
0xfffffff008a497d8: 208e38d4  brk	#0xc471
0xfffffff008a497dc: d9e9e417  b	#0xfffffff008383f40
0xfffffff008a497e0: 7f2303d5  pacibsp	
0xfffffff008a497e4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a497e8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a497ec: fd430091  add	x29, sp, #0x10
0xfffffff008a497f0: f30300aa  mov	x19, x0
0xfffffff008a497f4: dbffff97  bl	#0xfffffff008a49760
0xfffffff008a497f8: a080ff90  adrp	x0, #0xfffffff007a5d000
0xfffffff008a497fc: 00603591  add	x0, x0, #0xd58
0xfffffff008a49800: e10313aa  mov	x1, x19
0xfffffff008a49804: 02158052  mov	w2, #0xa8
0xfffffff008a49808: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a4980c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a49810: ff2303d5  autibsp	
0xfffffff008a49814: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008a49818: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008a49820
0xfffffff008a4981c: 208e38d4  brk	#0xc471
0xfffffff008a49820: 9f77e217  b	#0xfffffff0082e769c
0xfffffff008a49824: 5f2403d5  bti	c
0xfffffff008a49828: e20301aa  mov	x2, x1
0xfffffff008a4982c: e10300aa  mov	x1, x0
0xfffffff008a49830: a080ff90  adrp	x0, #0xfffffff007a5d000
0xfffffff008a49834: 00603591  add	x0, x0, #0xd58
0xfffffff008a49838: 9977e217  b	#0xfffffff0082e769c
0xfffffff008a4983c: 5f2403d5  bti	c
0xfffffff008a49840: a0c400d0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a49844: 00600891  add	x0, x0, #0x218
0xfffffff008a49848: c0035fd6  ret	
0xfffffff008a4984c: 7f2303d5  pacibsp	
0xfffffff008a49850: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a49854: fd030091  mov	x29, sp
0xfffffff008a49858: e142ff90  adrp	x1, #0xfffffff0072a5000
0xfffffff008a4985c: 21a00691  add	x1, x1, #0x1a8
0xfffffff008a49860: 8280fff0  adrp	x2, #0xfffffff007a5c000
0xfffffff008a49864: 424047f9  ldr	x2, [x2, #0xe80]
0xfffffff008a49868: 03158052  mov	w3, #0xa8
0xfffffff008a4986c: b368e297  bl	#0xfffffff0082e3b38
0xfffffff008a49870: b080ff90  adrp	x16, #0xfffffff007a5d000
0xfffffff008a49874: 10021291  add	x16, x16, #0x480
