; Candidate 8749
; ADRP+ADD at VM 0xfffffff0088c2f38 (fileoff 0x18bef38): page=0x1fe927000 add_imm=0xe80

0xfffffff0088c2eb8: 771c0034  cbz	w23, #0xfffffff0088c3244
0xfffffff0088c2ebc: e80314aa  mov	x8, x20
0xfffffff0088c2ec0: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff0088c2ec4: 684bffd0  adrp	x8, #0xfffffff007230000
0xfffffff0088c2ec8: 08991e91  add	x8, x8, #0x7a6
0xfffffff0088c2ecc: e90313aa  mov	x9, x19
0xfffffff0088c2ed0: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088c2ed4: 48cc8152  mov	w8, #0xe62
0xfffffff0088c2ed8: a94bff90  adrp	x9, #0xfffffff007236000
0xfffffff0088c2edc: 297d3191  add	x9, x9, #0xc5f
0xfffffff0088c2ee0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c2ee4: a84bff90  adrp	x8, #0xfffffff007236000
0xfffffff0088c2ee8: 083d3791  add	x8, x8, #0xdcf
0xfffffff0088c2eec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c2ef0: 08098052  mov	w8, #0x48
0xfffffff0088c2ef4: a04bff90  adrp	x0, #0xfffffff007236000
0xfffffff0088c2ef8: 00c83191  add	x0, x0, #0xc72
0xfffffff0088c2efc: f62300a9  stp	x22, x8, [sp]
0xfffffff0088c2f00: 58d1d397  bl	#0xfffffff007db7460
0xfffffff0088c2f04: eb000014  b	#0xfffffff0088c32b0
0xfffffff0088c2f08: a9c4ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c2f0c: f70300aa  mov	x23, x0
0xfffffff0088c2f10: 00018052  mov	w0, #8
0xfffffff0088c2f14: 4fe2fe97  bl	#0xfffffff00887b850
0xfffffff0088c2f18: a80240b9  ldr	w8, [x21]
0xfffffff0088c2f1c: a98a40b9  ldr	w9, [x21, #0x88]
0xfffffff0088c2f20: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088c2f24: a8cc8152  mov	w8, #0xe65
0xfffffff0088c2f28: f62302a9  stp	x22, x8, [sp, #0x20]
0xfffffff0088c2f2c: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff0088c2f30: 08098052  mov	w8, #0x48
0xfffffff0088c2f34: f72300a9  stp	x23, x8, [sp]
0xfffffff0088c2f38: 2049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c2f3c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c2f40: 218affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c2f44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c2f48: 234dff90  adrp	x3, #0xfffffff007266000
0xfffffff0088c2f4c: 63c43e91  add	x3, x3, #0xfb1
0xfffffff0088c2f50: 02008052  mov	w2, #0
0xfffffff0088c2f54: 77c0e997  bl	#0xfffffff008333130
0xfffffff0088c2f58: 3103138b  add	x17, x25, x19
0xfffffff0088c2f5c: ab0240b9  ldr	w11, [x21]
0xfffffff0088c2f60: 7f050071  cmp	w11, #1
0xfffffff0088c2f64: b9831af8  stur	x25, [x29, #-0x58]
0xfffffff0088c2f68: f13300f9  str	x17, [sp, #0x60]
0xfffffff0088c2f6c: eb060054  b.lt	#0xfffffff0088c3048
0xfffffff0088c2f70: 130080d2  mov	x19, #0
0xfffffff0088c2f74: b7820091  add	x23, x21, #0x20
0xfffffff0088c2f78: 18098052  mov	w24, #0x48
0xfffffff0088c2f7c: 79cd8152  mov	w25, #0xe6b
0xfffffff0088c2f80: 3a4dff90  adrp	x26, #0xfffffff007266000
0xfffffff0088c2f84: 5a5f3f91  add	x26, x26, #0xfd7
0xfffffff0088c2f88: 00098052  mov	w0, #0x48
0xfffffff0088c2f8c: 01018052  mov	w1, #8
0xfffffff0088c2f90: 10e2fe97  bl	#0xfffffff00887b7d0
0xfffffff0088c2f94: c0040034  cbz	w0, #0xfffffff0088c302c
0xfffffff0088c2f98: 00098052  mov	w0, #0x48
0xfffffff0088c2f9c: 1fe2fe97  bl	#0xfffffff00887b818
0xfffffff0088c2fa0: fc0300aa  mov	x28, x0
0xfffffff0088c2fa4: 82c4ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c2fa8: fb0300aa  mov	x27, x0
0xfffffff0088c2fac: 00018052  mov	w0, #8
0xfffffff0088c2fb0: 28e2fe97  bl	#0xfffffff00887b850
0xfffffff0088c2fb4: 9c010034  cbz	w28, #0xfffffff0088c2fe4
