; Candidate 9314
; ADRP+ADD at VM 0xfffffff008a2573c (fileoff 0x1a2173c): page=0x1fe874000 add_imm=0xe40

0xfffffff008a256bc: b743fff0  adrp	x23, #0xfffffff00729c000
0xfffffff008a256c0: f73a3091  add	x23, x23, #0xc0e
0xfffffff008a256c4: 75072037  tbnz	w21, #4, #0xfffffff008a257b0
0xfffffff008a256c8: 700240f9  ldr	x16, [x19]
0xfffffff008a256cc: f10313aa  mov	x17, x19
0xfffffff008a256d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a256d4: 301ac1da  autda	x16, x17
0xfffffff008a256d8: 113d80d2  mov	x17, #0x1e8
0xfffffff008a256dc: 1002118b  add	x16, x16, x17
0xfffffff008a256e0: 080240f9  ldr	x8, [x16]
0xfffffff008a256e4: e90310aa  mov	x9, x16
0xfffffff008a256e8: e00313aa  mov	x0, x19
0xfffffff008a256ec: 010080d2  mov	x1, #0
0xfffffff008a256f0: f10309aa  mov	x17, x9
0xfffffff008a256f4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a256f8: 11093fd7  blraa	x8, x17
0xfffffff008a256fc: 700240f9  ldr	x16, [x19]
0xfffffff008a25700: f10313aa  mov	x17, x19
0xfffffff008a25704: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a25708: 301ac1da  autda	x16, x17
0xfffffff008a2570c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a25710: 1002118b  add	x16, x16, x17
0xfffffff008a25714: 080240f9  ldr	x8, [x16]
0xfffffff008a25718: e90310aa  mov	x9, x16
0xfffffff008a2571c: e00313aa  mov	x0, x19
0xfffffff008a25720: 010080d2  mov	x1, #0
0xfffffff008a25724: f10309aa  mov	x17, x9
0xfffffff008a25728: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a2572c: 11093fd7  blraa	x8, x17
0xfffffff008a25730: f8358052  mov	w24, #0x1af
0xfffffff008a25734: f7e300a9  stp	x23, x24, [sp, #8]
0xfffffff008a25738: e00300f9  str	x0, [sp]
0xfffffff008a2573c: a043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a25740: 00003991  add	x0, x0, #0xe40
0xfffffff008a25744: 2181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a25748: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a2574c: c343fff0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a25750: 63f40791  add	x3, x3, #0x1fd
0xfffffff008a25754: 02028052  mov	w2, #0x10
0xfffffff008a25758: 7636e497  bl	#0xfffffff008333130
0xfffffff008a2575c: 700240f9  ldr	x16, [x19]
0xfffffff008a25760: f10313aa  mov	x17, x19
0xfffffff008a25764: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a25768: 301ac1da  autda	x16, x17
0xfffffff008a2576c: f10310aa  mov	x17, x16
0xfffffff008a25770: f147c1da  xpacd	x17
0xfffffff008a25774: 1f0211eb  cmp	x16, x17
0xfffffff008a25778: 40000054  b.eq	#0xfffffff008a25780
0xfffffff008a2577c: 408e38d4  brk	#0xc472
0xfffffff008a25780: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a25784: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a25788: e00313aa  mov	x0, x19
0xfffffff008a2578c: 010080d2  mov	x1, #0
0xfffffff008a25790: f10308aa  mov	x17, x8
0xfffffff008a25794: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a25798: 31093fd7  blraa	x9, x17
0xfffffff008a2579c: f7e300a9  stp	x23, x24, [sp, #8]
0xfffffff008a257a0: e00300f9  str	x0, [sp]
0xfffffff008a257a4: a043fff0  adrp	x0, #0xfffffff00729c000
0xfffffff008a257a8: 00a03091  add	x0, x0, #0xc28
0xfffffff008a257ac: 1dc6e497  bl	#0xfffffff008357020
0xfffffff008a257b0: 75073837  tbnz	w21, #7, #0xfffffff008a2589c
0xfffffff008a257b4: 700240f9  ldr	x16, [x19]
0xfffffff008a257b8: f10313aa  mov	x17, x19
