; Candidate 6591
; ADRP+ADD at VM 0xfffffff008834774 (fileoff 0x1830774): page=0x1fe9b5000 add_imm=0xe80

0xfffffff0088346f4: 092f8052  mov	w9, #0x178
0xfffffff0088346f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088346fc: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008834700: 08950291  add	x8, x8, #0xa5
0xfffffff008834704: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008834708: 280f8052  mov	w8, #0x79
0xfffffff00883470c: f42300a9  stp	x20, x8, [sp]
0xfffffff008834710: a04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008834714: 00003a91  add	x0, x0, #0xe80
0xfffffff008834718: a18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00883471c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008834720: c350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff008834724: 63b43291  add	x3, x3, #0xcad
0xfffffff008834728: 02008052  mov	w2, #0
0xfffffff00883472c: 81faeb97  bl	#0xfffffff008333130
0xfffffff008834730: 36008052  mov	w22, #1
0xfffffff008834734: 547e8012  mov	w20, #-0x3f3
0xfffffff008834738: 72000014  b	#0xfffffff008834900
0xfffffff00883473c: 9cfe0194  bl	#0xfffffff0088b41ac
0xfffffff008834740: f40300aa  mov	x20, x0
0xfffffff008834744: 80008052  mov	w0, #4
0xfffffff008834748: 421c0194  bl	#0xfffffff00887b850
0xfffffff00883474c: 684fffd0  adrp	x8, #0xfffffff007222000
0xfffffff008834750: 08313d91  add	x8, x8, #0xf4c
0xfffffff008834754: 892e8052  mov	w9, #0x174
0xfffffff008834758: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff00883475c: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008834760: 08950291  add	x8, x8, #0xa5
0xfffffff008834764: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008834768: 280f8052  mov	w8, #0x79
0xfffffff00883476c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008834770: f40300f9  str	x20, [sp]
0xfffffff008834774: a04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008834778: 00003a91  add	x0, x0, #0xe80
0xfffffff00883477c: a18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008834780: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008834784: c350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff008834788: 63f83191  add	x3, x3, #0xc7e
0xfffffff00883478c: 02008052  mov	w2, #0
0xfffffff008834790: 68faeb97  bl	#0xfffffff008333130
0xfffffff008834794: 36008052  mov	w22, #1
0xfffffff008834798: 147d8012  mov	w20, #-0x3e9
0xfffffff00883479c: 59000014  b	#0xfffffff008834900
0xfffffff0088347a0: 36008052  mov	w22, #1
0xfffffff0088347a4: 98008052  mov	w24, #4
0xfffffff0088347a8: 093940b9  ldr	w9, [x8, #0x38]
0xfffffff0088347ac: df02096b  cmp	w22, w9
0xfffffff0088347b0: 4c000054  b.gt	#0xfffffff0088347b8
0xfffffff0088347b4: 163940b9  ldr	w22, [x8, #0x38]
0xfffffff0088347b8: 093d40b9  ldr	w9, [x8, #0x3c]
0xfffffff0088347bc: df02096b  cmp	w22, w9
0xfffffff0088347c0: 4b000054  b.lt	#0xfffffff0088347c8
0xfffffff0088347c4: 163d40b9  ldr	w22, [x8, #0x3c]
0xfffffff0088347c8: 610a40b9  ldr	w1, [x19, #8]
0xfffffff0088347cc: 093940b9  ldr	w9, [x8, #0x38]
0xfffffff0088347d0: 083d40b9  ldr	w8, [x8, #0x3c]
0xfffffff0088347d4: 0821092a  orr	w8, w8, w9, lsl #8
0xfffffff0088347d8: 027d4093  sxtw	x2, w8
0xfffffff0088347dc: c37e4093  sxtw	x3, w22
0xfffffff0088347e0: e403182a  mov	w4, w24
0xfffffff0088347e4: 00978052  mov	w0, #0x4b8
0xfffffff0088347e8: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0088347ec: 050080d2  mov	x5, #0
0xfffffff0088347f0: c525e597  bl	#0xfffffff00817df04
