; Candidate 15945
; ADRP+ADD at VM 0xfffffff009def440 (fileoff 0x2deb440): page=0x5cf000 add_imm=0xda8

0xfffffff009def3c0: ffc300d1  sub	sp, sp, #0x30
0xfffffff009def3c4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009def3c8: fd830091  add	x29, sp, #0x20
0xfffffff009def3cc: a8068052  mov	w8, #0x35
0xfffffff009def3d0: 69c5fe90  adrp	x9, #0xfffffff00769b000
0xfffffff009def3d4: 29110691  add	x9, x9, #0x184
0xfffffff009def3d8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009def3dc: e00300f9  str	x0, [sp]
0xfffffff009def3e0: 60c5fe90  adrp	x0, #0xfffffff00769b000
0xfffffff009def3e4: 00e00591  add	x0, x0, #0x178
0xfffffff009def3e8: 49949a97  bl	#0xfffffff00849450c
0xfffffff009def3ec: 7f2303d5  pacibsp	
0xfffffff009def3f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009def3f4: fd030091  mov	x29, sp
0xfffffff009def3f8: 602e00f0  adrp	x0, #0xfffffff00a3be000
0xfffffff009def3fc: 00a03691  add	x0, x0, #0xda8
0xfffffff009def400: 81c5fed0  adrp	x1, #0xfffffff0076a1000
0xfffffff009def404: 21b81191  add	x1, x1, #0x46e
0xfffffff009def408: 62f9fed0  adrp	x2, #0xfffffff007d1d000
0xfffffff009def40c: 427843f9  ldr	x2, [x2, #0x6f0]
0xfffffff009def410: 03128052  mov	w3, #0x90
0xfffffff009def414: c9d19397  bl	#0xfffffff0082e3b38
0xfffffff009def418: b0f9fed0  adrp	x16, #0xfffffff007d25000
0xfffffff009def41c: 10220c91  add	x16, x16, #0x308
0xfffffff009def420: 10420091  add	x16, x16, #0x10
0xfffffff009def424: f10300aa  mov	x17, x0
0xfffffff009def428: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009def42c: 300ac1da  pacda	x16, x17
0xfffffff009def430: 100000f9  str	x16, [x0]
0xfffffff009def434: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009def438: ff0f5fd6  retab	
0xfffffff009def43c: 5f2403d5  bti	c
0xfffffff009def440: 602e00f0  adrp	x0, #0xfffffff00a3be000
0xfffffff009def444: 00a03691  add	x0, x0, #0xda8
0xfffffff009def448: abd49317  b	#0xfffffff0082e46f4
0xfffffff009def44c: e00300f9  str	x0, [sp]
0xfffffff009def450: e00308aa  mov	x0, x8
0xfffffff009def454: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009def458: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009def460
0xfffffff009def45c: 208e38d4  brk	#0xc471
0xfffffff009def460: 2b949a17  b	#0xfffffff00849450c
0xfffffff009def464: 7f2303d5  pacibsp	
0xfffffff009def468: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009def46c: fd030091  mov	x29, sp
0xfffffff009def470: 81c5fed0  adrp	x1, #0xfffffff0076a1000
0xfffffff009def474: 21002c91  add	x1, x1, #0xb00
0xfffffff009def478: 62f9fed0  adrp	x2, #0xfffffff007d1d000
0xfffffff009def47c: 427843f9  ldr	x2, [x2, #0x6f0]
0xfffffff009def480: 03028052  mov	w3, #0x10
0xfffffff009def484: add19397  bl	#0xfffffff0082e3b38
0xfffffff009def488: b0f9fed0  adrp	x16, #0xfffffff007d25000
0xfffffff009def48c: 10421591  add	x16, x16, #0x550
0xfffffff009def490: 10420091  add	x16, x16, #0x10
0xfffffff009def494: f10300aa  mov	x17, x0
0xfffffff009def498: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009def49c: 300ac1da  pacda	x16, x17
0xfffffff009def4a0: 100000f9  str	x16, [x0]
0xfffffff009def4a4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009def4a8: ff0f5fd6  retab	
0xfffffff009def4ac: 5f2403d5  bti	c
0xfffffff009def4b0: 91d49317  b	#0xfffffff0082e46f4
0xfffffff009def4b4: 7f2303d5  pacibsp	
0xfffffff009def4b8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009def4bc: fd030091  mov	x29, sp
