; Candidate 12531
; ADRP+ADD at VM 0xfffffff0090af3a4 (fileoff 0x20ab3a4): page=0x1fe3aa000 add_imm=0xe24

0xfffffff0090af324: e80740f9  ldr	x8, [sp, #8]
0xfffffff0090af328: 699b86d2  mov	x9, #0x34db
0xfffffff0090af32c: c9f6baf2  movk	x9, #0xd7b6, lsl #16
0xfffffff0090af330: 49d0dbf2  movk	x9, #0xde82, lsl #32
0xfffffff0090af334: 6963e8f2  movk	x9, #0x431b, lsl #48
0xfffffff0090af338: 087dc99b  umulh	x8, x8, x9
0xfffffff0090af33c: 00fd52d3  lsr	x0, x8, #0x12
0xfffffff0090af340: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090af344: ff830091  add	sp, sp, #0x20
0xfffffff0090af348: ff0f5fd6  retab	
0xfffffff0090af34c: 7f2303d5  pacibsp	
0xfffffff0090af350: ff4301d1  sub	sp, sp, #0x50
0xfffffff0090af354: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0090af358: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0090af35c: fd030191  add	x29, sp, #0x40
0xfffffff0090af360: 200300b4  cbz	x0, #0xfffffff0090af3c4
0xfffffff0090af364: 210400b4  cbz	x1, #0xfffffff0090af3e8
0xfffffff0090af368: 880bb897  bl	#0xfffffff007eb2188
0xfffffff0090af36c: 13008052  mov	w19, #0
0xfffffff0090af370: 48018052  mov	w8, #0xa
0xfffffff0090af374: 09930090  adrp	x9, #0xfffffff00a30f000
0xfffffff0090af378: 29410c91  add	x9, x9, #0x310
0xfffffff0090af37c: 29014039  ldrb	w9, [x9]
0xfffffff0090af380: 1f01096b  cmp	w8, w9
0xfffffff0090af384: 63010054  b.lo	#0xfffffff0090af3b0
0xfffffff0090af388: 687e4093  sxtw	x8, w19
0xfffffff0090af38c: a91dfff0  adrp	x9, #0xfffffff007466000
0xfffffff0090af390: 29bd1591  add	x9, x9, #0x56f
0xfffffff0090af394: 6a1dffd0  adrp	x10, #0xfffffff00745d000
0xfffffff0090af398: 4a413c91  add	x10, x10, #0xf10
0xfffffff0090af39c: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090af3a0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090af3a4: 401dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090af3a8: 00903891  add	x0, x0, #0xe24
0xfffffff0090af3ac: 1d9fca97  bl	#0xfffffff008357020
0xfffffff0090af3b0: e00313aa  mov	x0, x19
0xfffffff0090af3b4: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0090af3b8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0090af3bc: ff430191  add	sp, sp, #0x50
0xfffffff0090af3c0: ff0f5fd6  retab	
0xfffffff0090af3c4: a8078052  mov	w8, #0x3d
0xfffffff0090af3c8: a91dfff0  adrp	x9, #0xfffffff007466000
0xfffffff0090af3cc: 296d1491  add	x9, x9, #0x51b
0xfffffff0090af3d0: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090af3d4: 481dffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090af3d8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090af3dc: 6a1dfff0  adrp	x10, #0xfffffff00745e000
0xfffffff0090af3e0: 4a6d2191  add	x10, x10, #0x85b
0xfffffff0090af3e4: 09000014  b	#0xfffffff0090af408
0xfffffff0090af3e8: c8078052  mov	w8, #0x3e
0xfffffff0090af3ec: a91dfff0  adrp	x9, #0xfffffff007466000
0xfffffff0090af3f0: 296d1491  add	x9, x9, #0x51b
0xfffffff0090af3f4: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090af3f8: 481dffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090af3fc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090af400: aa1dfff0  adrp	x10, #0xfffffff007466000
0xfffffff0090af404: 4aa91591  add	x10, x10, #0x56a
0xfffffff0090af408: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0090af40c: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff0090af410: 401dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090af414: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090af418: 029fca97  bl	#0xfffffff008357020
0xfffffff0090af41c: 53008012  mov	w19, #-3
0xfffffff0090af420: c8088052  mov	w8, #0x46
