; Candidate 10343
; ADRP+ADD at VM 0xfffffff008d0e910 (fileoff 0x1d0a910): page=0x1fe66b000 add_imm=0xcf0

0xfffffff008d0e890: 71acf0f2  movk	x17, #0x8563, lsl #48
0xfffffff008d0e894: 31093fd7  blraa	x9, x17
0xfffffff008d0e898: e00313aa  mov	x0, x19
0xfffffff008d0e89c: c2010094  bl	#0xfffffff008d0efa4
0xfffffff008d0e8a0: 700240f9  ldr	x16, [x19]
0xfffffff008d0e8a4: f10313aa  mov	x17, x19
0xfffffff008d0e8a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d0e8ac: 301ac1da  autda	x16, x17
0xfffffff008d0e8b0: 115480d2  mov	x17, #0x2a0
0xfffffff008d0e8b4: 1002118b  add	x16, x16, x17
0xfffffff008d0e8b8: 080240f9  ldr	x8, [x16]
0xfffffff008d0e8bc: e90310aa  mov	x9, x16
0xfffffff008d0e8c0: e00313aa  mov	x0, x19
0xfffffff008d0e8c4: 01008052  mov	w1, #0
0xfffffff008d0e8c8: f10309aa  mov	x17, x9
0xfffffff008d0e8cc: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff008d0e8d0: 11093fd7  blraa	x8, x17
0xfffffff008d0e8d4: 68031cab  adds	x8, x27, x28
0xfffffff008d0e8d8: ea379f1a  cset	w10, hs
0xfffffff008d0e8dc: 49014093  sbfx	x9, x10, #0, #1
0xfffffff008d0e8e0: 2a010aca  eor	x10, x9, x10
0xfffffff008d0e8e4: 6a0f00b5  cbnz	x10, #0xfffffff008d0ead0
0xfffffff008d0e8e8: 490ff8b7  tbnz	x9, #0x3f, #0xfffffff008d0ead0
0xfffffff008d0e8ec: 60ae40f9  ldr	x0, [x19, #0x158]
0xfffffff008d0e8f0: 020140f9  ldr	x2, [x8]
0xfffffff008d0e8f4: e10315aa  mov	x1, x21
0xfffffff008d0e8f8: 38640094  bl	#0xfffffff008d279d8
0xfffffff008d0e8fc: 5c33fff0  adrp	x28, #0xfffffff007379000
0xfffffff008d0e900: 9c172891  add	x28, x28, #0xa05
0xfffffff008d0e904: 60010034  cbz	w0, #0xfffffff008d0e930
0xfffffff008d0e908: f58300a9  stp	x21, x0, [sp, #8]
0xfffffff008d0e90c: fc0300f9  str	x28, [sp]
0xfffffff008d0e910: 4033fff0  adrp	x0, #0xfffffff007379000
0xfffffff008d0e914: 00c03391  add	x0, x0, #0xcf0
0xfffffff008d0e918: b9860094  bl	#0xfffffff008d303fc
0xfffffff008d0e91c: bafdff17  b	#0xfffffff008d0e004
0xfffffff008d0e920: 16008052  mov	w22, #0
0xfffffff008d0e924: 5c33fff0  adrp	x28, #0xfffffff007379000
0xfffffff008d0e928: 9c172891  add	x28, x28, #0xa05
0xfffffff008d0e92c: b7fdff17  b	#0xfffffff008d0e008
0xfffffff008d0e930: 36008052  mov	w22, #1
0xfffffff008d0e934: b5fdff17  b	#0xfffffff008d0e008
0xfffffff008d0e938: 5c33fff0  adrp	x28, #0xfffffff007379000
0xfffffff008d0e93c: 9c172891  add	x28, x28, #0xa05
0xfffffff008d0e940: fc0300f9  str	x28, [sp]
0xfffffff008d0e944: 4033fff0  adrp	x0, #0xfffffff007379000
0xfffffff008d0e948: 00042b91  add	x0, x0, #0xac1
0xfffffff008d0e94c: a9fdff17  b	#0xfffffff008d0dff0
0xfffffff008d0e950: 086eff90  adrp	x8, #0xfffffff007ace000
0xfffffff008d0e954: 08013491  add	x8, x8, #0xd00
0xfffffff008d0e958: 39ffff17  b	#0xfffffff008d0e63c
0xfffffff008d0e95c: e80300f9  str	x8, [sp]
0xfffffff008d0e960: 4033fff0  adrp	x0, #0xfffffff007379000
0xfffffff008d0e964: 00603091  add	x0, x0, #0xc18
0xfffffff008d0e968: a5860094  bl	#0xfffffff008d303fc
0xfffffff008d0e96c: 50ffff17  b	#0xfffffff008d0e6ac
0xfffffff008d0e970: 68020391  add	x8, x19, #0xc0
0xfffffff008d0e974: 68220ca9  stp	x8, x8, [x19, #0xc0]
0xfffffff008d0e978: ff2b00b9  str	wzr, [sp, #0x28]
0xfffffff008d0e97c: 7f520d78  sturh	wzr, [x19, #0xd5]
0xfffffff008d0e980: 7f5e0339  strb	wzr, [x19, #0xd7]
0xfffffff008d0e984: 000080d2  mov	x0, #0
0xfffffff008d0e988: 1282dd97  bl	#0xfffffff00846f1d0
0xfffffff008d0e98c: 60030034  cbz	w0, #0xfffffff008d0e9f8
