; Candidate 12140
; ADRP+ADD at VM 0xfffffff00901d8c8 (fileoff 0x20198c8): page=0x1feb1f000 add_imm=0xe00

0xfffffff00901d848: 29c10091  add	x9, x9, #0x30
0xfffffff00901d84c: 4ac10091  add	x10, x10, #0x30
0xfffffff00901d850: 5f0108eb  cmp	x10, x8
0xfffffff00901d854: 01ffff54  b.ne	#0xfffffff00901d834
0xfffffff00901d858: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00901d85c: ff0f5fd6  retab	
0xfffffff00901d860: 5f2403d5  bti	c
0xfffffff00901d864: e6ffff17  b	#0xfffffff00901d7fc
0xfffffff00901d868: 5f2403d5  bti	c
0xfffffff00901d86c: 3827cb17  b	#0xfffffff0082e754c
0xfffffff00901d870: 5f2403d5  bti	c
0xfffffff00901d874: 3627cb17  b	#0xfffffff0082e754c
0xfffffff00901d878: 7f2303d5  pacibsp	
0xfffffff00901d87c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00901d880: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00901d884: fd430091  add	x29, sp, #0x10
0xfffffff00901d888: f30300aa  mov	x19, x0
0xfffffff00901d88c: 3027cb97  bl	#0xfffffff0082e754c
0xfffffff00901d890: e058fff0  adrp	x0, #0xfffffff007b3c000
0xfffffff00901d894: 00003891  add	x0, x0, #0xe00
0xfffffff00901d898: e10313aa  mov	x1, x19
0xfffffff00901d89c: 027b8052  mov	w2, #0x3d8
0xfffffff00901d8a0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00901d8a4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00901d8a8: ff2303d5  autibsp	
0xfffffff00901d8ac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00901d8b0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00901d8b8
0xfffffff00901d8b4: 208e38d4  brk	#0xc471
0xfffffff00901d8b8: 7927cb17  b	#0xfffffff0082e769c
0xfffffff00901d8bc: 5f2403d5  bti	c
0xfffffff00901d8c0: e20301aa  mov	x2, x1
0xfffffff00901d8c4: e10300aa  mov	x1, x0
0xfffffff00901d8c8: e058fff0  adrp	x0, #0xfffffff007b3c000
0xfffffff00901d8cc: 00003891  add	x0, x0, #0xe00
0xfffffff00901d8d0: 7327cb17  b	#0xfffffff0082e769c
0xfffffff00901d8d4: 5f2403d5  bti	c
0xfffffff00901d8d8: 80970090  adrp	x0, #0xfffffff00a30d000
0xfffffff00901d8dc: 00203c91  add	x0, x0, #0xf08
0xfffffff00901d8e0: c0035fd6  ret	
0xfffffff00901d8e4: 7f2303d5  pacibsp	
0xfffffff00901d8e8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00901d8ec: fd030091  mov	x29, sp
0xfffffff00901d8f0: 2121ffb0  adrp	x1, #0xfffffff007442000
0xfffffff00901d8f4: 21481991  add	x1, x1, #0x652
0xfffffff00901d8f8: c258ffb0  adrp	x2, #0xfffffff007b36000
0xfffffff00901d8fc: 42a844f9  ldr	x2, [x2, #0x950]
0xfffffff00901d900: 037b8052  mov	w3, #0x3d8
0xfffffff00901d904: 8d18cb97  bl	#0xfffffff0082e3b38
0xfffffff00901d908: f058fff0  adrp	x16, #0xfffffff007b3c000
0xfffffff00901d90c: 10420191  add	x16, x16, #0x50
0xfffffff00901d910: 10420091  add	x16, x16, #0x10
0xfffffff00901d914: f10300aa  mov	x17, x0
0xfffffff00901d918: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00901d91c: 300ac1da  pacda	x16, x17
0xfffffff00901d920: 100000f9  str	x16, [x0]
0xfffffff00901d924: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00901d928: ff0f5fd6  retab	
0xfffffff00901d92c: 7f2303d5  pacibsp	
0xfffffff00901d930: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00901d934: fd030091  mov	x29, sp
0xfffffff00901d938: e058fff0  adrp	x0, #0xfffffff007b3c000
0xfffffff00901d93c: 00003891  add	x0, x0, #0xe00
0xfffffff00901d940: 017b8052  mov	w1, #0x3d8
0xfffffff00901d944: 3d27cb97  bl	#0xfffffff0082e7638
