; Candidate 11240
; ADRP+ADD at VM 0xfffffff008ec8214 (fileoff 0x1ec4214): page=0x1fe518000 add_imm=0xdf4

0xfffffff008ec8194: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008ec8198: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008ec819c: ff0f5fd6  retab	
0xfffffff008ec81a0: 5f2403d5  bti	c
0xfffffff008ec81a4: 610000b4  cbz	x1, #0xfffffff008ec81b0
0xfffffff008ec81a8: 08b45db9  ldr	w8, [x0, #0x1db4]
0xfffffff008ec81ac: 280000b9  str	w8, [x1]
0xfffffff008ec81b0: 620000b4  cbz	x2, #0xfffffff008ec81bc
0xfffffff008ec81b4: 08b85db9  ldr	w8, [x0, #0x1db8]
0xfffffff008ec81b8: 480000b9  str	w8, [x2]
0xfffffff008ec81bc: 08b45db9  ldr	w8, [x0, #0x1db4]
0xfffffff008ec81c0: 09b85db9  ldr	w9, [x0, #0x1db8]
0xfffffff008ec81c4: 1f01096b  cmp	w8, w9
0xfffffff008ec81c8: e0079f1a  cset	w0, ne
0xfffffff008ec81cc: c0035fd6  ret	
0xfffffff008ec81d0: 7f2303d5  pacibsp	
0xfffffff008ec81d4: ffc301d1  sub	sp, sp, #0x70
0xfffffff008ec81d8: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008ec81dc: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008ec81e0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008ec81e4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008ec81e8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008ec81ec: fd830191  add	x29, sp, #0x60
0xfffffff008ec81f0: f30302aa  mov	x19, x2
0xfffffff008ec81f4: f40301aa  mov	x20, x1
0xfffffff008ec81f8: f50300aa  mov	x21, x0
0xfffffff008ec81fc: 36448052  mov	w22, #0x221
0xfffffff008ec8200: 1630a672  movk	w22, #0x3180, lsl #16
0xfffffff008ec8204: d828ff90  adrp	x24, #0xfffffff0073e0000
0xfffffff008ec8208: 18a73891  add	x24, x24, #0xe29
0xfffffff008ec820c: f4cf00a9  stp	x20, x19, [sp, #8]
0xfffffff008ec8210: f80300f9  str	x24, [sp]
0xfffffff008ec8214: c028ff90  adrp	x0, #0xfffffff0073e0000
0xfffffff008ec8218: 00d03791  add	x0, x0, #0xdf4
0xfffffff008ec821c: 813bd297  bl	#0xfffffff008357020
0xfffffff008ec8220: b761ffb0  adrp	x23, #0xfffffff007afd000
0xfffffff008ec8224: f7fa46f9  ldr	x23, [x23, #0xdf0]
0xfffffff008ec8228: e80240b9  ldr	w8, [x23]
0xfffffff008ec822c: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008ec8230: 20010054  b.eq	#0xfffffff008ec8254
0xfffffff008ec8234: e103142a  mov	w1, w20
0xfffffff008ec8238: e203132a  mov	w2, w19
0xfffffff008ec823c: 20448052  mov	w0, #0x221
0xfffffff008ec8240: 0030a672  movk	w0, #0x3180, lsl #16
0xfffffff008ec8244: 030080d2  mov	x3, #0
0xfffffff008ec8248: 040080d2  mov	x4, #0
0xfffffff008ec824c: 050080d2  mov	x5, #0
0xfffffff008ec8250: 2dd7ca97  bl	#0xfffffff00817df04
0xfffffff008ec8254: 08228452  mov	w8, #0x2110
0xfffffff008ec8258: b902088b  add	x25, x21, x8
0xfffffff008ec825c: 23034039  ldrb	w3, [x25]
0xfffffff008ec8260: e00315aa  mov	x0, x21
0xfffffff008ec8264: e10314aa  mov	x1, x20
0xfffffff008ec8268: e20313aa  mov	x2, x19
0xfffffff008ec826c: 1a000094  bl	#0xfffffff008ec82d4
0xfffffff008ec8270: f50300aa  mov	x21, x0
0xfffffff008ec8274: a0000034  cbz	w0, #0xfffffff008ec8288
0xfffffff008ec8278: f85700a9  stp	x24, x21, [sp]
0xfffffff008ec827c: c028ff90  adrp	x0, #0xfffffff0073e0000
0xfffffff008ec8280: 00f83891  add	x0, x0, #0xe3e
0xfffffff008ec8284: 673bd297  bl	#0xfffffff008357020
0xfffffff008ec8288: 3f030039  strb	wzr, [x25]
0xfffffff008ec828c: e80240b9  ldr	w8, [x23]
0xfffffff008ec8290: 1f791c72  tst	w8, #0xfffffff7
