; Candidate 9677
; ADRP+ADD at VM 0xfffffff008ab4bf4 (fileoff 0x1ab0bf4): page=0x1fe806000 add_imm=0xcdd

0xfffffff008ab4b74: 881d8052  mov	w8, #0xec
0xfffffff008ab4b78: 04000014  b	#0xfffffff008ab4b88
0xfffffff008ab4b7c: 681e8052  mov	w8, #0xf3
0xfffffff008ab4b80: 02000014  b	#0xfffffff008ab4b88
0xfffffff008ab4b84: 881f8052  mov	w8, #0xfc
0xfffffff008ab4b88: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008ab4b8c: 2840ffd0  adrp	x8, #0xfffffff0072ba000
0xfffffff008ab4b90: 08992c91  add	x8, x8, #0xb26
0xfffffff008ab4b94: e9830091  add	x9, sp, #0x20
0xfffffff008ab4b98: e92300a9  stp	x9, x8, [sp]
0xfffffff008ab4b9c: 2040ffd0  adrp	x0, #0xfffffff0072ba000
0xfffffff008ab4ba0: 00c42e91  add	x0, x0, #0xbb1
0xfffffff008ab4ba4: 5a7ee797  bl	#0xfffffff00849450c
0xfffffff008ab4ba8: 68208052  mov	w8, #0x103
0xfffffff008ab4bac: 2940ffd0  adrp	x9, #0xfffffff0072ba000
0xfffffff008ab4bb0: 29992c91  add	x9, x9, #0xb26
0xfffffff008ab4bb4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008ab4bb8: f70300f9  str	x23, [sp]
0xfffffff008ab4bbc: 2040ffd0  adrp	x0, #0xfffffff0072ba000
0xfffffff008ab4bc0: 009c3291  add	x0, x0, #0xca7
0xfffffff008ab4bc4: 527ee797  bl	#0xfffffff00849450c
0xfffffff008ab4bc8: 900340f9  ldr	x16, [x28]
0xfffffff008ab4bcc: f1031caa  mov	x17, x28
0xfffffff008ab4bd0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ab4bd4: 301ac1da  autda	x16, x17
0xfffffff008ab4bd8: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008ab4bdc: e90310aa  mov	x9, x16
0xfffffff008ab4be0: e0031caa  mov	x0, x28
0xfffffff008ab4be4: f10309aa  mov	x17, x9
0xfffffff008ab4be8: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff008ab4bec: 11093fd7  blraa	x8, x17
0xfffffff008ab4bf0: f60300a9  stp	x22, x0, [sp]
0xfffffff008ab4bf4: 2040ffd0  adrp	x0, #0xfffffff0072ba000
0xfffffff008ab4bf8: 00743391  add	x0, x0, #0xcdd
0xfffffff008ab4bfc: 04000014  b	#0xfffffff008ab4c0c
0xfffffff008ab4c00: f65f00a9  stp	x22, x23, [sp]
0xfffffff008ab4c04: 2040ffd0  adrp	x0, #0xfffffff0072ba000
0xfffffff008ab4c08: 00903491  add	x0, x0, #0xd24
0xfffffff008ab4c0c: 0589e297  bl	#0xfffffff008357020
0xfffffff008ab4c10: 00008052  mov	w0, #0
0xfffffff008ab4c14: caffff17  b	#0xfffffff008ab4b3c
0xfffffff008ab4c18: 72280094  bl	#0xfffffff008abede0
0xfffffff008ab4c1c: 8ca4ca97  bl	#0xfffffff007d5de4c
0xfffffff008ab4c20: 5f2403d5  bti	c
0xfffffff008ab4c24: 1f3801b9  str	wzr, [x0, #0x138]
0xfffffff008ab4c28: 1f3401b9  str	wzr, [x0, #0x134]
0xfffffff008ab4c2c: 1fa000f9  str	xzr, [x0, #0x140]
0xfffffff008ab4c30: 08200591  add	x8, x0, #0x148
0xfffffff008ab4c34: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008ab4c38: 000100ad  stp	q0, q0, [x8]
0xfffffff008ab4c3c: 000101ad  stp	q0, q0, [x8, #0x20]
0xfffffff008ab4c40: c0035fd6  ret	
0xfffffff008ab4c44: 7f2303d5  pacibsp	
0xfffffff008ab4c48: ffc300d1  sub	sp, sp, #0x30
0xfffffff008ab4c4c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008ab4c50: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008ab4c54: fd830091  add	x29, sp, #0x20
0xfffffff008ab4c58: f30300aa  mov	x19, x0
0xfffffff008ab4c5c: 41208052  mov	w1, #0x102
0xfffffff008ab4c60: 020080d2  mov	x2, #0
0xfffffff008ab4c64: 0677e597  bl	#0xfffffff00841287c
0xfffffff008ab4c68: 60c600f9  str	x0, [x19, #0x188]
0xfffffff008ab4c6c: 600200b4  cbz	x0, #0xfffffff008ab4cb8
0xfffffff008ab4c70: 618eaed2  mov	x1, #0x74730000
