; Candidate 3299
; ADRP+ADD at VM 0xfffffff008729010 (fileoff 0x1725010): page=0x1fea08000 add_imm=0xd90

0xfffffff008728f90: f7060091  add	x23, x23, #1
0xfffffff008728f94: 3f0108eb  cmp	x9, x8
0xfffffff008728f98: 0bfeff54  b.lt	#0xfffffff008728f58
0xfffffff008728f9c: c5ffff17  b	#0xfffffff008728eb0
0xfffffff008728fa0: e8008052  mov	w8, #7
0xfffffff008728fa4: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728fa8: 292d1991  add	x9, x9, #0x64b
0xfffffff008728fac: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008728fb0: e96301a9  stp	x9, x24, [sp, #0x10]
0xfffffff008728fb4: e8058252  mov	w8, #0x102f
0xfffffff008728fb8: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728fbc: 29b91891  add	x9, x9, #0x62e
0xfffffff008728fc0: e92300a9  stp	x9, x8, [sp]
0xfffffff008728fc4: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728fc8: 00403691  add	x0, x0, #0xd90
0xfffffff008728fcc: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728fd0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728fd4: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728fd8: 638c2191  add	x3, x3, #0x863
0xfffffff008728fdc: 02008052  mov	w2, #0
0xfffffff008728fe0: 5428f097  bl	#0xfffffff008333130
0xfffffff008728fe4: 16008052  mov	w22, #0
0xfffffff008728fe8: 13000014  b	#0xfffffff008729034
0xfffffff008728fec: e8008052  mov	w8, #7
0xfffffff008728ff0: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728ff4: 29951991  add	x9, x9, #0x665
0xfffffff008728ff8: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008728ffc: e96301a9  stp	x9, x24, [sp, #0x10]
0xfffffff008729000: 28078252  mov	w8, #0x1039
0xfffffff008729004: 6951ffb0  adrp	x9, #0xfffffff007156000
0xfffffff008729008: 29b91891  add	x9, x9, #0x62e
0xfffffff00872900c: e92300a9  stp	x9, x8, [sp]
0xfffffff008729010: 4050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008729014: 00403691  add	x0, x0, #0xd90
0xfffffff008729018: a196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00872901c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008729020: 8350ffb0  adrp	x3, #0xfffffff00713a000
0xfffffff008729024: 63b42291  add	x3, x3, #0x8ad
0xfffffff008729028: 02008052  mov	w2, #0
0xfffffff00872902c: 4128f097  bl	#0xfffffff008333130
0xfffffff008729030: 16008052  mov	w22, #0
0xfffffff008729034: e00316aa  mov	x0, x22
0xfffffff008729038: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00872903c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008729040: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008729044: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008729048: ffc30191  add	sp, sp, #0x70
0xfffffff00872904c: ff0f5fd6  retab	
0xfffffff008729050: 7f2303d5  pacibsp	
0xfffffff008729054: ff0302d1  sub	sp, sp, #0x80
0xfffffff008729058: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff00872905c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008729060: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008729064: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008729068: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00872906c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008729070: fdc30191  add	x29, sp, #0x70
0xfffffff008729074: e31300b9  str	w3, [sp, #0x10]
0xfffffff008729078: f30302aa  mov	x19, x2
0xfffffff00872907c: f40300aa  mov	x20, x0
0xfffffff008729080: 48278b52  mov	w8, #0x593a
0xfffffff008729084: 28686838  ldrb	w8, [x1, x8]
0xfffffff008729088: 48010034  cbz	w8, #0xfffffff0087290b0
0xfffffff00872908c: 28344eb9  ldr	w8, [x1, #0xe34]
