; Candidate 6019
; ADRP+ADD at VM 0xfffffff00880f360 (fileoff 0x180b360): page=0x1fea04000 add_imm=0xe0f

0xfffffff00880f2e0: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00880f2e4: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00880f2e8: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00880f2ec: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00880f2f0: ff830291  add	sp, sp, #0xa0
0xfffffff00880f2f4: ff0f5fd6  retab	
0xfffffff00880f2f8: d53ad597  bl	#0xfffffff007d5de4c
0xfffffff00880f2fc: 7f2303d5  pacibsp	
0xfffffff00880f300: ff8301d1  sub	sp, sp, #0x60
0xfffffff00880f304: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00880f308: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00880f30c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00880f310: fd430191  add	x29, sp, #0x50
0xfffffff00880f314: f30300aa  mov	x19, x0
0xfffffff00880f318: 800e8052  mov	w0, #0x74
0xfffffff00880f31c: e1008052  mov	w1, #7
0xfffffff00880f320: 2cb10194  bl	#0xfffffff00887b7d0
0xfffffff00880f324: a0040034  cbz	w0, #0xfffffff00880f3b8
0xfffffff00880f328: 800e8052  mov	w0, #0x74
0xfffffff00880f32c: 3bb10194  bl	#0xfffffff00887b818
0xfffffff00880f330: f50300aa  mov	x21, x0
0xfffffff00880f334: 9e930294  bl	#0xfffffff0088b41ac
0xfffffff00880f338: f40300aa  mov	x20, x0
0xfffffff00880f33c: e0008052  mov	w0, #7
0xfffffff00880f340: 44b10194  bl	#0xfffffff00887b850
0xfffffff00880f344: 75010034  cbz	w21, #0xfffffff00880f370
0xfffffff00880f348: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880f34c: 08850891  add	x8, x8, #0x221
0xfffffff00880f350: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00880f354: 880e8052  mov	w8, #0x74
0xfffffff00880f358: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880f35c: f40300f9  str	x20, [sp]
0xfffffff00880f360: 2050ff90  adrp	x0, #0xfffffff007213000
0xfffffff00880f364: 003c3891  add	x0, x0, #0xe0f
0xfffffff00880f368: 3ea0d697  bl	#0xfffffff007db7460
0xfffffff00880f36c: 13000014  b	#0xfffffff00880f3b8
0xfffffff00880f370: 8f930294  bl	#0xfffffff0088b41ac
0xfffffff00880f374: f40300aa  mov	x20, x0
0xfffffff00880f378: e0008052  mov	w0, #7
0xfffffff00880f37c: 35b10194  bl	#0xfffffff00887b850
0xfffffff00880f380: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880f384: 08850891  add	x8, x8, #0x221
0xfffffff00880f388: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00880f38c: 880e8052  mov	w8, #0x74
0xfffffff00880f390: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880f394: f40300f9  str	x20, [sp]
0xfffffff00880f398: c04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880f39c: 00003a91  add	x0, x0, #0xe80
0xfffffff00880f3a0: c18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880f3a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880f3a8: c351ff90  adrp	x3, #0xfffffff007247000
0xfffffff00880f3ac: 631c0f91  add	x3, x3, #0x3c7
0xfffffff00880f3b0: 02008052  mov	w2, #0
0xfffffff00880f3b4: 5f8fec97  bl	#0xfffffff008333130
0xfffffff00880f3b8: 88849d52  mov	w8, #0xec24
0xfffffff00880f3bc: c801a072  movk	w8, #0xe, lsl #16
0xfffffff00880f3c0: 686a68b8  ldr	w8, [x19, x8]
0xfffffff00880f3c4: 88000034  cbz	w8, #0xfffffff00880f3d4
0xfffffff00880f3c8: e00313aa  mov	x0, x19
0xfffffff00880f3cc: e9fdff97  bl	#0xfffffff00880eb70
0xfffffff00880f3d0: 03000014  b	#0xfffffff00880f3dc
0xfffffff00880f3d4: e00313aa  mov	x0, x19
0xfffffff00880f3d8: fbfbff97  bl	#0xfffffff00880e3c4
0xfffffff00880f3dc: f40300aa  mov	x20, x0
