; Candidate 15546
; ADRP+ADD at VM 0xfffffff009c28270 (fileoff 0x2c24270): page=0x1fda16000 add_imm=0xd21

0xfffffff009c281f0: 11093fd7  blraa	x8, x17
0xfffffff009c281f4: e80300aa  mov	x8, x0
0xfffffff009c281f8: 00008052  mov	w0, #0
0xfffffff009c281fc: 680200b9  str	w8, [x19]
0xfffffff009c28200: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c28204: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c28208: ff2303d5  autibsp	
0xfffffff009c2820c: c0035fd6  ret	
0xfffffff009c28210: 40588052  mov	w0, #0x2c2
0xfffffff009c28214: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009c28218: c0035fd6  ret	
0xfffffff009c2821c: 5f2403d5  bti	c
0xfffffff009c28220: 35f19a17  b	#0xfffffff0082e46f4
0xfffffff009c28224: 7f2303d5  pacibsp	
0xfffffff009c28228: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c2822c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c28230: fd430091  add	x29, sp, #0x10
0xfffffff009c28234: 803c00d0  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c28238: 00402b91  add	x0, x0, #0xad0
0xfffffff009c2823c: c1d0fed0  adrp	x1, #0xfffffff007642000
0xfffffff009c28240: 21700c91  add	x1, x1, #0x31c
0xfffffff009c28244: 823c00d0  adrp	x2, #0xfffffff00a3ba000
0xfffffff009c28248: 42802f91  add	x2, x2, #0xbe0
0xfffffff009c2824c: 032a8052  mov	w3, #0x150
0xfffffff009c28250: 3aee9a97  bl	#0xfffffff0082e3b38
0xfffffff009c28254: f005fff0  adrp	x16, #0xfffffff007ce7000
0xfffffff009c28258: 10c20891  add	x16, x16, #0x230
0xfffffff009c2825c: 10420091  add	x16, x16, #0x10
0xfffffff009c28260: f10300aa  mov	x17, x0
0xfffffff009c28264: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c28268: 300ac1da  pacda	x16, x17
0xfffffff009c2826c: 100000f9  str	x16, [x0]
0xfffffff009c28270: a0d0fed0  adrp	x0, #0xfffffff00763e000
0xfffffff009c28274: 00843491  add	x0, x0, #0xd21
0xfffffff009c28278: 46049c97  bl	#0xfffffff008329390
0xfffffff009c2827c: 933c00d0  adrp	x19, #0xfffffff00a3ba000
0xfffffff009c28280: 73e22b91  add	x19, x19, #0xaf8
0xfffffff009c28284: 600200f9  str	x0, [x19]
0xfffffff009c28288: a0d0fed0  adrp	x0, #0xfffffff00763e000
0xfffffff009c2828c: 00043591  add	x0, x0, #0xd41
0xfffffff009c28290: 40049c97  bl	#0xfffffff008329390
0xfffffff009c28294: 600600f9  str	x0, [x19, #8]
0xfffffff009c28298: a0d0fed0  adrp	x0, #0xfffffff00763e000
0xfffffff009c2829c: 00583591  add	x0, x0, #0xd56
0xfffffff009c282a0: 3c049c97  bl	#0xfffffff008329390
0xfffffff009c282a4: 600a00f9  str	x0, [x19, #0x10]
0xfffffff009c282a8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c282ac: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c282b0: ff0f5fd6  retab	
0xfffffff009c282b4: 5f2403d5  bti	c
0xfffffff009c282b8: 803c00d0  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c282bc: 00402b91  add	x0, x0, #0xad0
0xfffffff009c282c0: 0df19a17  b	#0xfffffff0082e46f4
0xfffffff009c282c4: 7f2303d5  pacibsp	
0xfffffff009c282c8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c282cc: fd030091  mov	x29, sp
0xfffffff009c282d0: e1d0fe90  adrp	x1, #0xfffffff007644000
0xfffffff009c282d4: 21a81291  add	x1, x1, #0x4aa
0xfffffff009c282d8: c205ff90  adrp	x2, #0xfffffff007ce0000
0xfffffff009c282dc: 427846f9  ldr	x2, [x2, #0xcf0]
0xfffffff009c282e0: 030c8052  mov	w3, #0x60
0xfffffff009c282e4: 15ee9a97  bl	#0xfffffff0082e3b38
0xfffffff009c282e8: f005fff0  adrp	x16, #0xfffffff007ce7000
0xfffffff009c282ec: 10e21291  add	x16, x16, #0x4b8
