; Candidate 11205
; ADRP+ADD at VM 0xfffffff008eac218 (fileoff 0x1ea8218): page=0x1fec63000 add_imm=0xe00

0xfffffff008eac198: 01f942fd  ldr	d1, [x8, #0x5f0]
0xfffffff008eac19c: 0008611e  fmul	d0, d0, d1
0xfffffff008eac1a0: 010840fd  ldr	d1, [x0, #0x10]
0xfffffff008eac1a4: 0008611e  fmul	d0, d0, d1
0xfffffff008eac1a8: 013040fd  ldr	d1, [x0, #0x60]
0xfffffff008eac1ac: 0008611e  fmul	d0, d0, d1
0xfffffff008eac1b0: c0035fd6  ret	
0xfffffff008eac1b4: 0900669e  fmov	x9, d0
0xfffffff008eac1b8: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008eac1bc: 2801080b  add	w8, w9, w8
0xfffffff008eac1c0: 0001621e  scvtf	d0, w8
0xfffffff008eac1c4: a82affb0  adrp	x8, #0xfffffff007401000
0xfffffff008eac1c8: 013d45fd  ldr	d1, [x8, #0xa78]
0xfffffff008eac1cc: a82affb0  adrp	x8, #0xfffffff007401000
0xfffffff008eac1d0: 022d45fd  ldr	d2, [x8, #0xa58]
0xfffffff008eac1d4: 0004421f  fmadd	d0, d0, d2, d1
0xfffffff008eac1d8: 0800781e  fcvtzs	w8, d0
0xfffffff008eac1dc: 087d60d3  lsl	x8, x8, #0x20
0xfffffff008eac1e0: 0001679e  fmov	d0, x8
0xfffffff008eac1e4: c0035fd6  ret	
0xfffffff008eac1e8: 5f2403d5  bti	c
0xfffffff008eac1ec: 20088952  mov	w0, #0x4841
0xfffffff008eac1f0: 8049a872  movk	w0, #0x424c, lsl #16
0xfffffff008eac1f4: c0035fd6  ret	
0xfffffff008eac1f8: 5f2403d5  bti	c
0xfffffff008eac1fc: d3a32a14  b	#0xfffffff009955148
0xfffffff008eac200: 7f2303d5  pacibsp	
0xfffffff008eac204: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008eac208: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008eac20c: fd430091  add	x29, sp, #0x10
0xfffffff008eac210: f30300aa  mov	x19, x0
0xfffffff008eac214: cda32a94  bl	#0xfffffff009955148
0xfffffff008eac218: 0063fff0  adrp	x0, #0xfffffff007b0f000
0xfffffff008eac21c: 00003891  add	x0, x0, #0xe00
0xfffffff008eac220: e10313aa  mov	x1, x19
0xfffffff008eac224: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008eac228: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008eac22c: ff2303d5  autibsp	
0xfffffff008eac230: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008eac234: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008eac23c
0xfffffff008eac238: 208e38d4  brk	#0xc471
0xfffffff008eac23c: 34a9d217  b	#0xfffffff00835670c
0xfffffff008eac240: 7f2303d5  pacibsp	
0xfffffff008eac244: ff0301d1  sub	sp, sp, #0x40
0xfffffff008eac248: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008eac24c: fdc30091  add	x29, sp, #0x30
0xfffffff008eac250: e80300aa  mov	x8, x0
0xfffffff008eac254: 102040f9  ldr	x16, [x0, #0x40]
0xfffffff008eac258: 40588052  mov	w0, #0x2c2
0xfffffff008eac25c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008eac260: 300300b4  cbz	x16, #0xfffffff008eac2c4
0xfffffff008eac264: 093140b9  ldr	w9, [x8, #0x30]
0xfffffff008eac268: 3f01046b  cmp	w9, w4
0xfffffff008eac26c: 08030054  b.hi	#0xfffffff008eac2cc
0xfffffff008eac270: 093540b9  ldr	w9, [x8, #0x34]
0xfffffff008eac274: 3f01046b  cmp	w9, w4
0xfffffff008eac278: a3020054  b.lo	#0xfffffff008eac2cc
0xfffffff008eac27c: 093940b9  ldr	w9, [x8, #0x38]
0xfffffff008eac280: 3f0102eb  cmp	x9, x2
0xfffffff008eac284: 41020054  b.ne	#0xfffffff008eac2cc
0xfffffff008eac288: 09614039  ldrb	w9, [x8, #0x18]
0xfffffff008eac28c: 69020034  cbz	w9, #0xfffffff008eac2d8
0xfffffff008eac290: 002d40f9  ldr	x0, [x8, #0x58]
0xfffffff008eac294: e20303aa  mov	x2, x3
