; Candidate 15374
; ADRP+ADD at VM 0xfffffff009b5774c (fileoff 0x2b5374c): page=0x1fdad1000 add_imm=0xed0

0xfffffff009b576cc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b576d0: e00313aa  mov	x0, x19
0xfffffff009b576d4: 010080d2  mov	x1, #0
0xfffffff009b576d8: f10308aa  mov	x17, x8
0xfffffff009b576dc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b576e0: 31093fd7  blraa	x9, x17
0xfffffff009b576e4: f80300aa  mov	x24, x0
0xfffffff009b576e8: 700240f9  ldr	x16, [x19]
0xfffffff009b576ec: f10313aa  mov	x17, x19
0xfffffff009b576f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b576f4: 301ac1da  autda	x16, x17
0xfffffff009b576f8: f10310aa  mov	x17, x16
0xfffffff009b576fc: f147c1da  xpacd	x17
0xfffffff009b57700: 1f0211eb  cmp	x16, x17
0xfffffff009b57704: 40000054  b.eq	#0xfffffff009b5770c
0xfffffff009b57708: 408e38d4  brk	#0xc472
0xfffffff009b5770c: 08620891  add	x8, x16, #0x218
0xfffffff009b57710: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b57714: e00313aa  mov	x0, x19
0xfffffff009b57718: 010080d2  mov	x1, #0
0xfffffff009b5771c: f10308aa  mov	x17, x8
0xfffffff009b57720: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b57724: 31093fd7  blraa	x9, x17
0xfffffff009b57728: 492344a9  ldp	x9, x8, [x26, #0x40]
0xfffffff009b5772c: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff009b57730: a8d6fe90  adrp	x8, #0xfffffff00762b000
0xfffffff009b57734: 08010791  add	x8, x8, #0x1c0
0xfffffff009b57738: 89d6fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b5773c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b57740: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff009b57744: e0a700a9  stp	x0, x9, [sp, #8]
0xfffffff009b57748: f80300f9  str	x24, [sp]
0xfffffff009b5774c: 80d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b57750: 00403b91  add	x0, x0, #0xed0
0xfffffff009b57754: a3d6feb0  adrp	x3, #0xfffffff00762c000
0xfffffff009b57758: 639c3791  add	x3, x3, #0xde7
0xfffffff009b5775c: e10317aa  mov	x1, x23
0xfffffff009b57760: e20316aa  mov	x2, x22
0xfffffff009b57764: 736e9f97  bl	#0xfffffff008333130
0xfffffff009b57768: 480b44a9  ldp	x8, x2, [x26, #0x40]
0xfffffff009b5776c: 030102cb  sub	x3, x8, x2
0xfffffff009b57770: 410b40f9  ldr	x1, [x26, #0x10]
0xfffffff009b57774: e00315aa  mov	x0, x21
0xfffffff009b57778: 46a9ff97  bl	#0xfffffff009b41c90
0xfffffff009b5777c: a02600b9  str	w0, [x21, #0x24]
0xfffffff009b57780: 376b1b53  lsl	w23, w25, #5
0xfffffff009b57784: f8522c91  add	x24, x23, #0xb14
0xfffffff009b57788: b00240f9  ldr	x16, [x21]
0xfffffff009b5778c: f10315aa  mov	x17, x21
0xfffffff009b57790: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b57794: 301ac1da  autda	x16, x17
0xfffffff009b57798: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff009b5779c: e90310aa  mov	x9, x16
0xfffffff009b577a0: e00315aa  mov	x0, x21
0xfffffff009b577a4: f10309aa  mov	x17, x9
0xfffffff009b577a8: b1a4e2f2  movk	x17, #0x1525, lsl #48
0xfffffff009b577ac: 11093fd7  blraa	x8, x17
0xfffffff009b577b0: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b577b4: 006938b8  str	w0, [x8, x24]
0xfffffff009b577b8: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b577bc: 14102836  tbz	w20, #5, #0xfffffff009b579bc
0xfffffff009b577c0: 9405f036  tbz	w20, #0x1e, #0xfffffff009b57870
0xfffffff009b577c4: b6d98d97  bl	#0xfffffff007ecde9c
0xfffffff009b577c8: 1f040071  cmp	w0, #1
