; Candidate 13433
; ADRP+ADD at VM 0xfffffff0092d075c (fileoff 0x22cc75c): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d06dc: 400300b4  cbz	x0, #0xfffffff0092d0744
0xfffffff0092d06e0: 700240f9  ldr	x16, [x19]
0xfffffff0092d06e4: f10313aa  mov	x17, x19
0xfffffff0092d06e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d06ec: 301ac1da  autda	x16, x17
0xfffffff0092d06f0: 116e80d2  mov	x17, #0x370
0xfffffff0092d06f4: 1002118b  add	x16, x16, x17
0xfffffff0092d06f8: 080240f9  ldr	x8, [x16]
0xfffffff0092d06fc: e90310aa  mov	x9, x16
0xfffffff0092d0700: e00313aa  mov	x0, x19
0xfffffff0092d0704: f10309aa  mov	x17, x9
0xfffffff0092d0708: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d070c: 11093fd7  blraa	x8, x17
0xfffffff0092d0710: 100040f9  ldr	x16, [x0]
0xfffffff0092d0714: f10300aa  mov	x17, x0
0xfffffff0092d0718: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d071c: 301ac1da  autda	x16, x17
0xfffffff0092d0720: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0724: 1002118b  add	x16, x16, x17
0xfffffff0092d0728: 080240f9  ldr	x8, [x16]
0xfffffff0092d072c: e90310aa  mov	x9, x16
0xfffffff0092d0730: 010080d2  mov	x1, #0
0xfffffff0092d0734: f10309aa  mov	x17, x9
0xfffffff0092d0738: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d073c: 11093fd7  blraa	x8, x17
0xfffffff0092d0740: 03000014  b	#0xfffffff0092d074c
0xfffffff0092d0744: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d0748: 00102191  add	x0, x0, #0x844
0xfffffff0092d074c: a8024079  ldrh	w8, [x21]
0xfffffff0092d0750: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d0754: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d0758: f60300f9  str	x22, [sp]
0xfffffff0092d075c: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d0760: 00983891  add	x0, x0, #0xe26
0xfffffff0092d0764: 2f1ac297  bl	#0xfffffff008357020
0xfffffff0092d0768: 754a3a91  add	x21, x19, #0xe92
0xfffffff0092d076c: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d0770: 94ce3591  add	x20, x20, #0xd73
0xfffffff0092d0774: e00314aa  mov	x0, x20
0xfffffff0092d0778: e10315aa  mov	x1, x21
0xfffffff0092d077c: 42008052  mov	w2, #2
0xfffffff0092d0780: 0e72c697  bl	#0xfffffff00846cfb8
0xfffffff0092d0784: c0070034  cbz	w0, #0xfffffff0092d087c
0xfffffff0092d0788: 700240f9  ldr	x16, [x19]
0xfffffff0092d078c: f10313aa  mov	x17, x19
0xfffffff0092d0790: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0794: 301ac1da  autda	x16, x17
0xfffffff0092d0798: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d079c: 1002118b  add	x16, x16, x17
0xfffffff0092d07a0: 080240f9  ldr	x8, [x16]
0xfffffff0092d07a4: e90310aa  mov	x9, x16
0xfffffff0092d07a8: e00313aa  mov	x0, x19
0xfffffff0092d07ac: 010080d2  mov	x1, #0
0xfffffff0092d07b0: f10309aa  mov	x17, x9
0xfffffff0092d07b4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d07b8: 11093fd7  blraa	x8, x17
0xfffffff0092d07bc: f60300aa  mov	x22, x0
0xfffffff0092d07c0: 700240f9  ldr	x16, [x19]
0xfffffff0092d07c4: f10313aa  mov	x17, x19
0xfffffff0092d07c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d07cc: 301ac1da  autda	x16, x17
0xfffffff0092d07d0: 116e80d2  mov	x17, #0x370
0xfffffff0092d07d4: 1002118b  add	x16, x16, x17
0xfffffff0092d07d8: 080240f9  ldr	x8, [x16]
