; Candidate 5291
; ADRP+ADD at VM 0xfffffff0087e4f50 (fileoff 0x17e0f50): page=0x1fea05000 add_imm=0xe80

0xfffffff0087e4ed0: 0008411f  fmadd	d0, d0, d1, d2
0xfffffff0087e4ed4: 0800789e  fcvtzs	x8, d0
0xfffffff0087e4ed8: e90317aa  mov	x9, x23
0xfffffff0087e4edc: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff0087e4ee0: 29028052  mov	w9, #0x11
0xfffffff0087e4ee4: f6a703a9  stp	x22, x9, [sp, #0x38]
0xfffffff0087e4ee8: f31b00f9  str	x19, [sp, #0x30]
0xfffffff0087e4eec: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e4ef0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e4ef4: 89888052  mov	w9, #0x444
0xfffffff0087e4ef8: 75ffff17  b	#0xfffffff0087e4ccc
0xfffffff0087e4efc: ac3c0394  bl	#0xfffffff0088b41ac
0xfffffff0087e4f00: f80300aa  mov	x24, x0
0xfffffff0087e4f04: 80008052  mov	w0, #4
0xfffffff0087e4f08: 525a0294  bl	#0xfffffff00887b850
0xfffffff0087e4f0c: e80317aa  mov	x8, x23
0xfffffff0087e4f10: 69b240b9  ldr	w9, [x19, #0xb0]
0xfffffff0087e4f14: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e4f18: 08028052  mov	w8, #0x10
0xfffffff0087e4f1c: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e4f20: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e4f24: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e4f28: 89878052  mov	w9, #0x43c
0xfffffff0087e4f2c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e4f30: 6851fff0  adrp	x8, #0xfffffff007213000
0xfffffff0087e4f34: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e4f38: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e4f3c: 680e8052  mov	w8, #0x73
0xfffffff0087e4f40: c352ffd0  adrp	x3, #0xfffffff00723e000
0xfffffff0087e4f44: 63000391  add	x3, x3, #0xc0
0xfffffff0087e4f48: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e4f4c: f80300f9  str	x24, [sp]
0xfffffff0087e4f50: 2050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e4f54: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e4f58: 2191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087e4f5c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e4f60: 02008052  mov	w2, #0
0xfffffff0087e4f64: 7338ed97  bl	#0xfffffff008333130
0xfffffff0087e4f68: dafcff17  b	#0xfffffff0087e42d0
0xfffffff0087e4f6c: 607640fd  ldr	d0, [x19, #0xe8]
0xfffffff0087e4f70: 6051fff0  adrp	x0, #0xfffffff007213000
0xfffffff0087e4f74: 00c02591  add	x0, x0, #0x970
0xfffffff0087e4f78: e10316aa  mov	x1, x22
0xfffffff0087e4f7c: d3030094  bl	#0xfffffff0087e5ec8
0xfffffff0087e4f80: 40070034  cbz	w0, #0xfffffff0087e5068
0xfffffff0087e4f84: f70300aa  mov	x23, x0
0xfffffff0087e4f88: 600e8052  mov	w0, #0x73
0xfffffff0087e4f8c: 81008052  mov	w1, #4
0xfffffff0087e4f90: 105a0294  bl	#0xfffffff00887b7d0
0xfffffff0087e4f94: e099ff34  cbz	w0, #0xfffffff0087e42d0
0xfffffff0087e4f98: 600e8052  mov	w0, #0x73
0xfffffff0087e4f9c: 1f5a0294  bl	#0xfffffff00887b818
0xfffffff0087e4fa0: f90300aa  mov	x25, x0
0xfffffff0087e4fa4: 823c0394  bl	#0xfffffff0088b41ac
0xfffffff0087e4fa8: f80300aa  mov	x24, x0
0xfffffff0087e4fac: 80008052  mov	w0, #4
0xfffffff0087e4fb0: 285a0294  bl	#0xfffffff00887b850
0xfffffff0087e4fb4: 79090034  cbz	w25, #0xfffffff0087e50e0
0xfffffff0087e4fb8: 607640fd  ldr	d0, [x19, #0xe8]
0xfffffff0087e4fbc: 0800789e  fcvtzs	x8, d0
0xfffffff0087e4fc0: e90317aa  mov	x9, x23
0xfffffff0087e4fc4: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff0087e4fc8: 49028052  mov	w9, #0x12
0xfffffff0087e4fcc: f6a703a9  stp	x22, x9, [sp, #0x38]
