; Candidate 774
; ADRP+ADD at VM 0xfffffff008089040 (fileoff 0x1085040): page=0x1fefe8000 add_imm=0xed7

0xfffffff008088fc0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008088fc4: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008088fc8: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008088fcc: ff430191  add	sp, sp, #0x50
0xfffffff008088fd0: ff0f5fd6  retab	
0xfffffff008088fd4: f60308aa  mov	x22, x8
0xfffffff008088fd8: 3f050071  cmp	w9, #1
0xfffffff008088fdc: 29feff54  b.ls	#0xfffffff008088fa0
0xfffffff008088fe0: c9060051  sub	w9, w22, #1
0xfffffff008088fe4: 287d0153  lsr	w8, w9, #1
0xfffffff008088fe8: 6b0a40f9  ldr	x11, [x19, #0x10]
0xfffffff008088fec: 6a51288b  add	x10, x11, w8, uxtw #4
0xfffffff008088ff0: 4c0140f9  ldr	x12, [x10]
0xfffffff008088ff4: 6b51368b  add	x11, x11, w22, uxtw #4
0xfffffff008088ff8: 6d0140f9  ldr	x13, [x11]
0xfffffff008088ffc: 9f010deb  cmp	x12, x13
0xfffffff008089000: e4fcff54  b.mi	#0xfffffff008088f9c
0xfffffff008089004: 6001c03d  ldr	q0, [x11]
0xfffffff008089008: e003803d  str	q0, [sp]
0xfffffff00808900c: 4101c03d  ldr	q1, [x10]
0xfffffff008089010: 6101803d  str	q1, [x11]
0xfffffff008089014: 6a0a40f9  ldr	x10, [x19, #0x10]
0xfffffff008089018: 4079a83c  str	q0, [x10, x8, lsl #4]
0xfffffff00808901c: 6a0a40b9  ldr	w10, [x19, #8]
0xfffffff008089020: 5f050071  cmp	w10, #1
0xfffffff008089024: 8bfdff54  b.lt	#0xfffffff008088fd4
0xfffffff008089028: eb03162a  mov	w11, w22
0xfffffff00808902c: 6c0a40f9  ldr	x12, [x19, #0x10]
0xfffffff008089030: 8b110b8b  add	x11, x12, x11, lsl #4
0xfffffff008089034: 6b0540f9  ldr	x11, [x11, #8]
0xfffffff008089038: 76692ab8  str	w22, [x11, x10]
0xfffffff00808903c: e6ffff17  b	#0xfffffff008088fd4
0xfffffff008089040: 407fff90  adrp	x0, #0xfffffff007071000
0xfffffff008089044: 005c3b91  add	x0, x0, #0xed7
0xfffffff008089048: 417fff90  adrp	x1, #0xfffffff007071000
0xfffffff00808904c: 21983b91  add	x1, x1, #0xee6
0xfffffff008089050: a24a8052  mov	w2, #0x255
0xfffffff008089054: f0591094  bl	#0xfffffff00849f814
0xfffffff008089058: 7f2303d5  pacibsp	
0xfffffff00808905c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008089060: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008089064: fd830091  add	x29, sp, #0x20
0xfffffff008089068: 090440b9  ldr	w9, [x0, #4]
0xfffffff00808906c: 28050071  subs	w8, w9, #1
0xfffffff008089070: ab0d0054  b.lt	#0xfffffff008089224
0xfffffff008089074: 0a0840b9  ldr	w10, [x0, #8]
0xfffffff008089078: c10100b4  cbz	x1, #0xfffffff0080890b0
0xfffffff00808907c: 5f010071  cmp	w10, #0
0xfffffff008089080: 8d0e0054  b.le	#0xfffffff008089250
0xfffffff008089084: 2b686ab8  ldr	w11, [x1, x10]
0xfffffff008089088: 6b00f837  tbnz	w11, #0x1f, #0xfffffff008089094
0xfffffff00808908c: 7f01096b  cmp	w11, w9
0xfffffff008089090: 6b010054  b.lt	#0xfffffff0080890bc
0xfffffff008089094: 487fff90  adrp	x8, #0xfffffff007071000
0xfffffff008089098: 088d3d91  add	x8, x8, #0xf63
0xfffffff00808909c: 09518052  mov	w9, #0x288
0xfffffff0080890a0: e82700a9  stp	x8, x9, [sp]
0xfffffff0080890a4: 407fff90  adrp	x0, #0xfffffff007071000
0xfffffff0080890a8: 00e43e91  add	x0, x0, #0xfb9
0xfffffff0080890ac: 182d1094  bl	#0xfffffff00849450c
0xfffffff0080890b0: 5f050071  cmp	w10, #1
0xfffffff0080890b4: eb0b0054  b.lt	#0xfffffff008089230
0xfffffff0080890b8: 0b008052  mov	w11, #0
0xfffffff0080890bc: 0c0840f9  ldr	x12, [x0, #0x10]
