; Candidate 7160
; ADRP+ADD at VM 0xfffffff00885bf40 (fileoff 0x1857f40): page=0x1fe98e000 add_imm=0xe80

0xfffffff00885bec0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00885bec4: 684eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885bec8: 08811191  add	x8, x8, #0x460
0xfffffff00885becc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885bed0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885bed4: 880c8052  mov	w8, #0x64
0xfffffff00885bed8: 604eff90  adrp	x0, #0xfffffff007227000
0xfffffff00885bedc: 00d00f91  add	x0, x0, #0x3f4
0xfffffff00885bee0: f72300a9  stp	x23, x8, [sp]
0xfffffff00885bee4: 5f6dd597  bl	#0xfffffff007db7460
0xfffffff00885bee8: 45000014  b	#0xfffffff00885bffc
0xfffffff00885beec: b0600194  bl	#0xfffffff0088b41ac
0xfffffff00885bef0: f60300aa  mov	x22, x0
0xfffffff00885bef4: 80008052  mov	w0, #4
0xfffffff00885bef8: 567e0094  bl	#0xfffffff00887b850
0xfffffff00885befc: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885bf00: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00885bf04: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00885bf08: 484efff0  adrp	x8, #0xfffffff007226000
0xfffffff00885bf0c: 0af10c91  add	x10, x8, #0x33c
0xfffffff00885bf10: e88d8152  mov	w8, #0xc6f
0xfffffff00885bf14: 494eff90  adrp	x9, #0xfffffff007223000
0xfffffff00885bf18: 29892891  add	x9, x9, #0xa22
0xfffffff00885bf1c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885bf20: 684eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885bf24: 08811191  add	x8, x8, #0x460
0xfffffff00885bf28: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885bf2c: 880c8052  mov	w8, #0x64
0xfffffff00885bf30: c34fffb0  adrp	x3, #0xfffffff007254000
0xfffffff00885bf34: 63e43d91  add	x3, x3, #0xf79
0xfffffff00885bf38: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885bf3c: f60300f9  str	x22, [sp]
0xfffffff00885bf40: 604cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885bf44: 00003a91  add	x0, x0, #0xe80
0xfffffff00885bf48: 618dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885bf4c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885bf50: 02008052  mov	w2, #0
0xfffffff00885bf54: 775ceb97  bl	#0xfffffff008333130
0xfffffff00885bf58: 167d8012  mov	w22, #-0x3e9
0xfffffff00885bf5c: 46000014  b	#0xfffffff00885c074
0xfffffff00885bf60: 93600194  bl	#0xfffffff0088b41ac
0xfffffff00885bf64: f70300aa  mov	x23, x0
0xfffffff00885bf68: e0008052  mov	w0, #7
0xfffffff00885bf6c: 397e0094  bl	#0xfffffff00887b850
0xfffffff00885bf70: a8a641a9  ldp	x8, x9, [x21, #0x18]
0xfffffff00885bf74: aa4280b9  ldrsw	x10, [x21, #0x40]
0xfffffff00885bf78: 2b0b0a8b  add	x11, x25, x10, lsl #2
0xfffffff00885bf7c: 6b1540b9  ldr	w11, [x11, #0x14]
0xfffffff00885bf80: 6c4240b9  ldr	w12, [x19, #0x40]
0xfffffff00885bf84: 8d1a40b9  ldr	w13, [x20, #0x18]
0xfffffff00885bf88: ce5a40b9  ldr	w14, [x22, #0x58]
0xfffffff00885bf8c: af1240b9  ldr	w15, [x21, #0x10]
0xfffffff00885bf90: b02a40b9  ldr	w16, [x21, #0x28]
0xfffffff00885bf94: 31c740b9  ldr	w17, [x25, #0xc4]
0xfffffff00885bf98: eaaf09a9  stp	x10, x11, [sp, #0x98]
0xfffffff00885bf9c: f9c708a9  stp	x25, x17, [sp, #0x88]
0xfffffff00885bfa0: f0a707a9  stp	x16, x9, [sp, #0x78]
0xfffffff00885bfa4: efa306a9  stp	x15, x8, [sp, #0x68]
0xfffffff00885bfa8: eed705a9  stp	x14, x21, [sp, #0x58]
0xfffffff00885bfac: eddb04a9  stp	x13, x22, [sp, #0x48]
0xfffffff00885bfb0: ecd303a9  stp	x12, x20, [sp, #0x38]
0xfffffff00885bfb4: c8928152  mov	w8, #0xc96
0xfffffff00885bfb8: 494eff90  adrp	x9, #0xfffffff007223000
0xfffffff00885bfbc: 29892891  add	x9, x9, #0xa22
