; Candidate 4823
; ADRP+ADD at VM 0xfffffff0087c7fe8 (fileoff 0x17c3fe8): page=0x1fea22000 add_imm=0xe80

0xfffffff0087c7f68: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c7f6c: f50300f9  str	x21, [sp]
0xfffffff0087c7f70: 0051ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c7f74: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c7f78: 0192ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c7f7c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c7f80: 8353ffb0  adrp	x3, #0xfffffff007238000
0xfffffff0087c7f84: 63d02e91  add	x3, x3, #0xbb4
0xfffffff0087c7f88: 02008052  mov	w2, #0
0xfffffff0087c7f8c: 69aced97  bl	#0xfffffff008333130
0xfffffff0087c7f90: 680240f9  ldr	x8, [x19]
0xfffffff0087c7f94: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff0087c7f98: 886e0bb9  str	w8, [x20, #0xb6c]
0xfffffff0087c7f9c: 20008052  mov	w0, #1
0xfffffff0087c7fa0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087c7fa4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0087c7fa8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0087c7fac: ff830191  add	sp, sp, #0x60
0xfffffff0087c7fb0: ff0f5fd6  retab	
0xfffffff0087c7fb4: 7eb00394  bl	#0xfffffff0088b41ac
0xfffffff0087c7fb8: f30300aa  mov	x19, x0
0xfffffff0087c7fbc: 80008052  mov	w0, #4
0xfffffff0087c7fc0: 24ce0294  bl	#0xfffffff00887b850
0xfffffff0087c7fc4: 4852ff90  adrp	x8, #0xfffffff00720f000
0xfffffff0087c7fc8: 08a90f91  add	x8, x8, #0x3ea
0xfffffff0087c7fcc: c9758052  mov	w9, #0x3ae
0xfffffff0087c7fd0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c7fd4: 4852ff90  adrp	x8, #0xfffffff00720f000
0xfffffff0087c7fd8: 08ad0d91  add	x8, x8, #0x36b
0xfffffff0087c7fdc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c7fe0: 68008052  mov	w8, #3
0xfffffff0087c7fe4: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c7fe8: 0051ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c7fec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c7ff0: 0192ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c7ff4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c7ff8: 8353ffb0  adrp	x3, #0xfffffff007238000
0xfffffff0087c7ffc: 635c2c91  add	x3, x3, #0xb17
0xfffffff0087c8000: 02008052  mov	w2, #0
0xfffffff0087c8004: 4baced97  bl	#0xfffffff008333130
0xfffffff0087c8008: 00008052  mov	w0, #0
0xfffffff0087c800c: e5ffff17  b	#0xfffffff0087c7fa0
0xfffffff0087c8010: 7f2303d5  pacibsp	
0xfffffff0087c8014: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087c8018: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087c801c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087c8020: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087c8024: fd430191  add	x29, sp, #0x50
0xfffffff0087c8028: f30301aa  mov	x19, x1
0xfffffff0087c802c: 610100b4  cbz	x1, #0xfffffff0087c8058
0xfffffff0087c8030: 086c4bb9  ldr	w8, [x0, #0xb6c]
0xfffffff0087c8034: 081c088b  add	x8, x0, x8, lsl #7
0xfffffff0087c8038: 08a10b91  add	x8, x8, #0x2e8
0xfffffff0087c803c: e90308aa  mov	x9, x8
0xfffffff0087c8040: 080140f9  ldr	x8, [x8]
0xfffffff0087c8044: c8ffffb5  cbnz	x8, #0xfffffff0087c803c
0xfffffff0087c8048: 330100f9  str	x19, [x9]
0xfffffff0087c804c: 7f2600a9  stp	xzr, x9, [x19]
0xfffffff0087c8050: 7f2200b9  str	wzr, [x19, #0x20]
0xfffffff0087c8054: 2f000014  b	#0xfffffff0087c8110
0xfffffff0087c8058: 60008052  mov	w0, #3
0xfffffff0087c805c: 81008052  mov	w1, #4
0xfffffff0087c8060: dccd0294  bl	#0xfffffff00887b7d0
0xfffffff0087c8064: 60050034  cbz	w0, #0xfffffff0087c8110
