; Candidate 3749
; ADRP+ADD at VM 0xfffffff008759278 (fileoff 0x1755278): page=0x1fe9d8000 add_imm=0xd90

0xfffffff0087591f8: f60300aa  mov	x22, x0
0xfffffff0087591fc: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff008759200: 74020191  add	x20, x19, #0x40
0xfffffff008759204: 100040f9  ldr	x16, [x0]
0xfffffff008759208: f10300aa  mov	x17, x0
0xfffffff00875920c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008759210: 301ac1da  autda	x16, x17
0xfffffff008759214: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff008759218: e90310aa  mov	x9, x16
0xfffffff00875921c: 81008052  mov	w1, #4
0xfffffff008759220: e20316aa  mov	x2, x22
0xfffffff008759224: e30314aa  mov	x3, x20
0xfffffff008759228: f10309aa  mov	x17, x9
0xfffffff00875922c: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff008759230: 11093fd7  blraa	x8, x17
0xfffffff008759234: f70300aa  mov	x23, x0
0xfffffff008759238: d00240f9  ldr	x16, [x22]
0xfffffff00875923c: f10316aa  mov	x17, x22
0xfffffff008759240: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008759244: 301ac1da  autda	x16, x17
0xfffffff008759248: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00875924c: e90310aa  mov	x9, x16
0xfffffff008759250: e00316aa  mov	x0, x22
0xfffffff008759254: f10309aa  mov	x17, x9
0xfffffff008759258: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00875925c: 11093fd7  blraa	x8, x17
0xfffffff008759260: 97040034  cbz	w23, #0xfffffff0087592f0
0xfffffff008759264: 94578052  mov	w20, #0x2bc
0xfffffff008759268: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00875926c: a84ffff0  adrp	x8, #0xfffffff007150000
0xfffffff008759270: 08c12c91  add	x8, x8, #0xb30
0xfffffff008759274: e85700a9  stp	x8, x21, [sp]
0xfffffff008759278: c04eff90  adrp	x0, #0xfffffff007131000
0xfffffff00875927c: 00403691  add	x0, x0, #0xd90
0xfffffff008759280: 2195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008759284: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008759288: 434fff90  adrp	x3, #0xfffffff007141000
0xfffffff00875928c: 63301d91  add	x3, x3, #0x74c
0xfffffff008759290: 02008052  mov	w2, #0
0xfffffff008759294: a767ef97  bl	#0xfffffff008333130
0xfffffff008759298: 0f000014  b	#0xfffffff0087592d4
0xfffffff00875929c: 94578052  mov	w20, #0x2bc
0xfffffff0087592a0: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0087592a4: ffd700a9  stp	xzr, x21, [sp, #8]
0xfffffff0087592a8: a84ffff0  adrp	x8, #0xfffffff007150000
0xfffffff0087592ac: 08c12c91  add	x8, x8, #0xb30
0xfffffff0087592b0: e80300f9  str	x8, [sp]
0xfffffff0087592b4: c04eff90  adrp	x0, #0xfffffff007131000
0xfffffff0087592b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087592bc: 2195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087592c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087592c4: 434fff90  adrp	x3, #0xfffffff007141000
0xfffffff0087592c8: 63401c91  add	x3, x3, #0x710
0xfffffff0087592cc: 02008052  mov	w2, #0
0xfffffff0087592d0: 9867ef97  bl	#0xfffffff008333130
0xfffffff0087592d4: e00314aa  mov	x0, x20
0xfffffff0087592d8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087592dc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0087592e0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0087592e4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0087592e8: ff830191  add	sp, sp, #0x60
0xfffffff0087592ec: ff0f5fd6  retab	
0xfffffff0087592f0: 800240f9  ldr	x0, [x20]
0xfffffff0087592f4: 800400b4  cbz	x0, #0xfffffff008759384
