; Candidate 10475
; ADRP+ADD at VM 0xfffffff008d76054 (fileoff 0x1d72054): page=0x1587000 add_imm=0xd08

0xfffffff008d75fd4: 00e01e91  add	x0, x0, #0x7b8
0xfffffff008d75fd8: eeccd697  bl	#0xfffffff008329390
0xfffffff008d75fdc: 48ac00d0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d75fe0: 001d01f9  str	x0, [x8, #0x238]
0xfffffff008d75fe4: c031ffd0  adrp	x0, #0xfffffff0073af000
0xfffffff008d75fe8: 002c1f91  add	x0, x0, #0x7cb
0xfffffff008d75fec: e9ccd697  bl	#0xfffffff008329390
0xfffffff008d75ff0: 48ac00d0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d75ff4: 002101f9  str	x0, [x8, #0x240]
0xfffffff008d75ff8: c031ffd0  adrp	x0, #0xfffffff0073af000
0xfffffff008d75ffc: 00841f91  add	x0, x0, #0x7e1
0xfffffff008d76000: e4ccd697  bl	#0xfffffff008329390
0xfffffff008d76004: 48ac00b0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d76008: 002501f9  str	x0, [x8, #0x248]
0xfffffff008d7600c: 20ac00f0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d76010: 00203491  add	x0, x0, #0xd08
0xfffffff008d76014: e131ffd0  adrp	x1, #0xfffffff0073b4000
0xfffffff008d76018: 21382491  add	x1, x1, #0x90e
0xfffffff008d7601c: e26affb0  adrp	x2, #0xfffffff007ad3000
0xfffffff008d76020: 42a842f9  ldr	x2, [x2, #0x550]
0xfffffff008d76024: 03288052  mov	w3, #0x140
0xfffffff008d76028: c4b6d597  bl	#0xfffffff0082e3b38
0xfffffff008d7602c: 306bff90  adrp	x16, #0xfffffff007ada000
0xfffffff008d76030: 10821691  add	x16, x16, #0x5a0
0xfffffff008d76034: 10420091  add	x16, x16, #0x10
0xfffffff008d76038: f10300aa  mov	x17, x0
0xfffffff008d7603c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d76040: 300ac1da  pacda	x16, x17
0xfffffff008d76044: 100000f9  str	x16, [x0]
0xfffffff008d76048: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d7604c: ff0f5fd6  retab	
0xfffffff008d76050: 5f2403d5  bti	c
0xfffffff008d76054: 20ac00f0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d76058: 00203491  add	x0, x0, #0xd08
0xfffffff008d7605c: a6b9d517  b	#0xfffffff0082e46f4
0xfffffff008d76060: 7f2303d5  pacibsp	
0xfffffff008d76064: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008d76068: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008d7606c: fd430091  add	x29, sp, #0x10
0xfffffff008d76070: c0010034  cbz	w0, #0xfffffff008d760a8
0xfffffff008d76074: a1010034  cbz	w1, #0xfffffff008d760a8
0xfffffff008d76078: 82010034  cbz	w2, #0xfffffff008d760a8
0xfffffff008d7607c: 63010034  cbz	w3, #0xfffffff008d760a8
0xfffffff008d76080: 44010034  cbz	w4, #0xfffffff008d760a8
0xfffffff008d76084: 25010034  cbz	w5, #0xfffffff008d760a8
0xfffffff008d76088: 060100b4  cbz	x6, #0xfffffff008d760a8
0xfffffff008d7608c: e70000b4  cbz	x7, #0xfffffff008d760a8
0xfffffff008d76090: 13008052  mov	w19, #0
0xfffffff008d76094: e0040029  stp	w0, w1, [x7]
0xfffffff008d76098: e20c0129  stp	w2, w3, [x7, #8]
0xfffffff008d7609c: e4140229  stp	w4, w5, [x7, #0x10]
0xfffffff008d760a0: e60c00f9  str	x6, [x7, #0x18]
0xfffffff008d760a4: 07000014  b	#0xfffffff008d760c0
0xfffffff008d760a8: 53588052  mov	w19, #0x2c2
0xfffffff008d760ac: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d760b0: 20008052  mov	w0, #1
0xfffffff008d760b4: 01008052  mov	w1, #0
0xfffffff008d760b8: 8e73ff97  bl	#0xfffffff008d52ef0
0xfffffff008d760bc: a0000035  cbnz	w0, #0xfffffff008d760d0
0xfffffff008d760c0: e00313aa  mov	x0, x19
0xfffffff008d760c4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008d760c8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008d760cc: ff0f5fd6  retab	
0xfffffff008d760d0: e331ffd0  adrp	x3, #0xfffffff0073b4000
