; Candidate 2801
; ADRP+ADD at VM 0xfffffff0086e8668 (fileoff 0x16e4668): page=0x1fea49000 add_imm=0xd90

0xfffffff0086e85e8: 1f01146a  tst	w8, w20
0xfffffff0086e85ec: e0010054  b.eq	#0xfffffff0086e8628
0xfffffff0086e85f0: f52b00a9  stp	x21, x10, [sp]
0xfffffff0086e85f4: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e85f8: 00403691  add	x0, x0, #0xd90
0xfffffff0086e85fc: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e8600: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e8604: 4352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e8608: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e860c: 02008052  mov	w2, #0
0xfffffff0086e8610: c82af197  bl	#0xfffffff008333130
0xfffffff0086e8614: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e8618: 05000014  b	#0xfffffff0086e862c
0xfffffff0086e861c: 17008052  mov	w23, #0
0xfffffff0086e8620: 16028052  mov	w22, #0x10
0xfffffff0086e8624: 03000014  b	#0xfffffff0086e8630
0xfffffff0086e8628: e8030aaa  mov	x8, x10
0xfffffff0086e862c: e90315aa  mov	x9, x21
0xfffffff0086e8630: ea03164b  neg	w10, w22
0xfffffff0086e8634: 2a25ca1a  lsr	w10, w9, w10
0xfffffff0086e8638: 5501172a  orr	w21, w10, w23
0xfffffff0086e863c: 2921d61a  lsl	w9, w9, w22
0xfffffff0086e8640: 0801164b  sub	w8, w8, w22
0xfffffff0086e8644: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e8648: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e864c: 3f01146a  tst	w9, w20
0xfffffff0086e8650: c0010054  b.eq	#0xfffffff0086e8688
0xfffffff0086e8654: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e8658: 4853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e865c: 08c50f91  add	x8, x8, #0x3f1
0xfffffff0086e8660: 09028052  mov	w9, #0x10
0xfffffff0086e8664: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e8668: 4052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e866c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e8670: a198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e8674: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e8678: 4352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e867c: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e8680: 02008052  mov	w2, #0
0xfffffff0086e8684: ab2af197  bl	#0xfffffff008333130
0xfffffff0086e8688: a9060011  add	w9, w21, #1
0xfffffff0086e868c: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0086e8690: 096900b9  str	w9, [x8, #0x68]
0xfffffff0086e8694: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0086e8698: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0086e869c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0086e86a0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0086e86a4: ff830191  add	sp, sp, #0x60
0xfffffff0086e86a8: ff0f5fd6  retab	
0xfffffff0086e86ac: 7f2303d5  pacibsp	
0xfffffff0086e86b0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086e86b4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086e86b8: fd430091  add	x29, sp, #0x10
0xfffffff0086e86bc: 28ee8052  mov	w8, #0x771
0xfffffff0086e86c0: 3300a89b  umaddl	x19, w1, w8, x0
0xfffffff0086e86c4: 60a20191  add	x0, x19, #0x68
0xfffffff0086e86c8: e11f8052  mov	w1, #0xff
0xfffffff0086e86cc: e2008052  mov	w2, #7
0xfffffff0086e86d0: 3c91d997  bl	#0xfffffff007d4cbc0
0xfffffff0086e86d4: 60be0191  add	x0, x19, #0x6f
0xfffffff0086e86d8: e11f8052  mov	w1, #0xff
0xfffffff0086e86dc: 62008052  mov	w2, #3
0xfffffff0086e86e0: 3891d997  bl	#0xfffffff007d4cbc0
0xfffffff0086e86e4: 884c8852  mov	w8, #0x4264
