; Candidate 3746
; ADRP+ADD at VM 0xfffffff008758f94 (fileoff 0x1754f94): page=0x1fe9d9000 add_imm=0xd90

0xfffffff008758f14: f30301aa  mov	x19, x1
0xfffffff008758f18: f40300aa  mov	x20, x0
0xfffffff008758f1c: 100040f9  ldr	x16, [x0]
0xfffffff008758f20: f10300aa  mov	x17, x0
0xfffffff008758f24: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008758f28: 301ac1da  autda	x16, x17
0xfffffff008758f2c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff008758f30: e90310aa  mov	x9, x16
0xfffffff008758f34: 16088052  mov	w22, #0x40
0xfffffff008758f38: 3620a072  movk	w22, #0x101, lsl #16
0xfffffff008758f3c: 01088052  mov	w1, #0x40
0xfffffff008758f40: 2120a072  movk	w1, #0x101, lsl #16
0xfffffff008758f44: f10309aa  mov	x17, x9
0xfffffff008758f48: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff008758f4c: 11093fd7  blraa	x8, x17
0xfffffff008758f50: f50300aa  mov	x21, x0
0xfffffff008758f54: 900240f9  ldr	x16, [x20]
0xfffffff008758f58: f10314aa  mov	x17, x20
0xfffffff008758f5c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008758f60: 301ac1da  autda	x16, x17
0xfffffff008758f64: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff008758f68: e90310aa  mov	x9, x16
0xfffffff008758f6c: c1021c32  orr	w1, w22, #0x10
0xfffffff008758f70: e00314aa  mov	x0, x20
0xfffffff008758f74: f10309aa  mov	x17, x9
0xfffffff008758f78: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff008758f7c: 11093fd7  blraa	x8, x17
0xfffffff008758f80: e803132a  mov	w8, w19
0xfffffff008758f84: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008758f88: c84fff90  adrp	x8, #0xfffffff007150000
0xfffffff008758f8c: 08412c91  add	x8, x8, #0xb10
0xfffffff008758f90: e85700a9  stp	x8, x21, [sp]
0xfffffff008758f94: c04effb0  adrp	x0, #0xfffffff007131000
0xfffffff008758f98: 00403691  add	x0, x0, #0xd90
0xfffffff008758f9c: 2195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008758fa0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008758fa4: 434fffb0  adrp	x3, #0xfffffff007141000
0xfffffff008758fa8: 63cc1991  add	x3, x3, #0x673
0xfffffff008758fac: 02008052  mov	w2, #0
0xfffffff008758fb0: 6068ef97  bl	#0xfffffff008333130
0xfffffff008758fb4: 00008052  mov	w0, #0
0xfffffff008758fb8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008758fbc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008758fc0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008758fc4: ff430191  add	sp, sp, #0x50
0xfffffff008758fc8: ff0f5fd6  retab	
0xfffffff008758fcc: 7f2303d5  pacibsp	
0xfffffff008758fd0: ff0302d1  sub	sp, sp, #0x80
0xfffffff008758fd4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008758fd8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008758fdc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008758fe0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008758fe4: fdc30191  add	x29, sp, #0x70
0xfffffff008758fe8: f40300aa  mov	x20, x0
0xfffffff008758fec: 100040f9  ldr	x16, [x0]
0xfffffff008758ff0: f10300aa  mov	x17, x0
0xfffffff008758ff4: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008758ff8: 301ac1da  autda	x16, x17
0xfffffff008758ffc: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff008759000: e90310aa  mov	x9, x16
0xfffffff008759004: 151f8852  mov	w21, #0x40f8
0xfffffff008759008: 1522a072  movk	w21, #0x110, lsl #16
0xfffffff00875900c: 011f8852  mov	w1, #0x40f8
0xfffffff008759010: 0122a072  movk	w1, #0x110, lsl #16
