; Candidate 13015
; ADRP+ADD at VM 0xfffffff0091cdc3c (fileoff 0x21c9c3c): page=0x1fe2c8000 add_imm=0xde4

0xfffffff0091cdbbc: 1002118b  add	x16, x16, x17
0xfffffff0091cdbc0: 080240f9  ldr	x8, [x16]
0xfffffff0091cdbc4: e90310aa  mov	x9, x16
0xfffffff0091cdbc8: 010080d2  mov	x1, #0
0xfffffff0091cdbcc: f10309aa  mov	x17, x9
0xfffffff0091cdbd0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0091cdbd4: 11093fd7  blraa	x8, x17
0xfffffff0091cdbd8: a83a8052  mov	w8, #0x1d5
0xfffffff0091cdbdc: 4916ff90  adrp	x9, #0xfffffff007495000
0xfffffff0091cdbe0: 297d3191  add	x9, x9, #0xc5f
0xfffffff0091cdbe4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0091cdbe8: e04f00a9  stp	x0, x19, [sp]
0xfffffff0091cdbec: 4016ff90  adrp	x0, #0xfffffff007495000
0xfffffff0091cdbf0: 00903391  add	x0, x0, #0xce4
0xfffffff0091cdbf4: 461acb97  bl	#0xfffffff00849450c
0xfffffff0091cdbf8: 7f2303d5  pacibsp	
0xfffffff0091cdbfc: ffc300d1  sub	sp, sp, #0x30
0xfffffff0091cdc00: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0091cdc04: fd830091  add	x29, sp, #0x20
0xfffffff0091cdc08: 100040f9  ldr	x16, [x0]
0xfffffff0091cdc0c: 3018c1da  autda	x16, x1
0xfffffff0091cdc10: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0091cdc14: e90310aa  mov	x9, x16
0xfffffff0091cdc18: f10309aa  mov	x17, x9
0xfffffff0091cdc1c: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0091cdc20: 11093fd7  blraa	x8, x17
0xfffffff0091cdc24: 08078052  mov	w8, #0x38
0xfffffff0091cdc28: 4916ff90  adrp	x9, #0xfffffff007495000
0xfffffff0091cdc2c: 29b93891  add	x9, x9, #0xe2e
0xfffffff0091cdc30: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0091cdc34: 08018052  mov	w8, #8
0xfffffff0091cdc38: e80300a9  stp	x8, x0, [sp]
0xfffffff0091cdc3c: 4016ff90  adrp	x0, #0xfffffff007495000
0xfffffff0091cdc40: 00903791  add	x0, x0, #0xde4
0xfffffff0091cdc44: 321acb97  bl	#0xfffffff00849450c
0xfffffff0091cdc48: 7f2303d5  pacibsp	
0xfffffff0091cdc4c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0091cdc50: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0091cdc54: fd830091  add	x29, sp, #0x20
0xfffffff0091cdc58: 100040f9  ldr	x16, [x0]
0xfffffff0091cdc5c: 3018c1da  autda	x16, x1
0xfffffff0091cdc60: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0091cdc64: e90310aa  mov	x9, x16
0xfffffff0091cdc68: f10309aa  mov	x17, x9
0xfffffff0091cdc6c: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0091cdc70: 11093fd7  blraa	x8, x17
0xfffffff0091cdc74: 08078052  mov	w8, #0x38
0xfffffff0091cdc78: 4916ff90  adrp	x9, #0xfffffff007495000
0xfffffff0091cdc7c: 29b93891  add	x9, x9, #0xe2e
0xfffffff0091cdc80: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0091cdc84: 88008052  mov	w8, #4
0xfffffff0091cdc88: e80300a9  stp	x8, x0, [sp]
0xfffffff0091cdc8c: 4016ff90  adrp	x0, #0xfffffff007495000
0xfffffff0091cdc90: 00903791  add	x0, x0, #0xde4
0xfffffff0091cdc94: 1e1acb97  bl	#0xfffffff00849450c
0xfffffff0091cdc98: 7f2303d5  pacibsp	
0xfffffff0091cdc9c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0091cdca0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0091cdca4: fd830091  add	x29, sp, #0x20
0xfffffff0091cdca8: 100040f9  ldr	x16, [x0]
0xfffffff0091cdcac: 3018c1da  autda	x16, x1
0xfffffff0091cdcb0: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0091cdcb4: e90310aa  mov	x9, x16
0xfffffff0091cdcb8: f10309aa  mov	x17, x9
