; Candidate 3270
; ADRP+ADD at VM 0xfffffff0087277e0 (fileoff 0x17237e0): page=0x1fea0a000 add_imm=0xd90

0xfffffff008727760: c8560051  sub	w8, w22, #0x15
0xfffffff008727764: 1f0d0031  cmn	w8, #3
0xfffffff008727768: 884a0054  b.hi	#0xfffffff0087280b8
0xfffffff00872776c: 686e40b9  ldr	w8, [x19, #0x6c]
0xfffffff008727770: 69a640b9  ldr	w9, [x19, #0xa4]
0xfffffff008727774: ea075129  ldp	w10, w1, [sp, #0x88]
0xfffffff008727778: 2901010b  add	w9, w9, w1
0xfffffff00872777c: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff008727780: 89038052  mov	w9, #0x1c
0xfffffff008727784: 29010a4b  sub	w9, w9, w10
0xfffffff008727788: 1525c91a  lsr	w21, w8, w9
0xfffffff00872778c: e00313aa  mov	x0, x19
0xfffffff008727790: 02008052  mov	w2, #0
0xfffffff008727794: bbceff97  bl	#0xfffffff00871b280
0xfffffff008727798: 952200b9  str	w21, [x20, #0x20]
0xfffffff00872779c: 08518b52  mov	w8, #0x5a88
0xfffffff0087277a0: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0087277a4: aa0358f8  ldur	x10, [x29, #-0x80]
0xfffffff0087277a8: 4825089b  madd	x8, x10, x8, x9
0xfffffff0087277ac: 09308b52  mov	w9, #0x5980
0xfffffff0087277b0: 086969b8  ldr	w8, [x8, x9]
0xfffffff0087277b4: 08050051  sub	w8, w8, #1
0xfffffff0087277b8: bf02086b  cmp	w21, w8
0xfffffff0087277bc: e9080054  b.ls	#0xfffffff0087278d8
0xfffffff0087277c0: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff0087277c4: 291d0d91  add	x9, x9, #0x347
0xfffffff0087277c8: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff0087277cc: e95701a9  stp	x9, x21, [sp, #0x10]
0xfffffff0087277d0: 68ce8152  mov	w8, #0xe73
0xfffffff0087277d4: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff0087277d8: 29b90a91  add	x9, x9, #0x2ae
0xfffffff0087277dc: e92300a9  stp	x9, x8, [sp]
0xfffffff0087277e0: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087277e4: 00403691  add	x0, x0, #0xd90
0xfffffff0087277e8: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087277ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087277f0: 8350ffd0  adrp	x3, #0xfffffff007139000
0xfffffff0087277f4: 63fc3b91  add	x3, x3, #0xeff
0xfffffff0087277f8: 02008052  mov	w2, #0
0xfffffff0087277fc: 4d2ef097  bl	#0xfffffff008333130
0xfffffff008727800: 00008052  mov	w0, #0
0xfffffff008727804: 87000014  b	#0xfffffff008727a20
0xfffffff008727808: 952e41b9  ldr	w21, [x20, #0x12c]
0xfffffff00872780c: 95040034  cbz	w21, #0xfffffff00872789c
0xfffffff008727810: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff008727814: 69a640b9  ldr	w9, [x19, #0xa4]
0xfffffff008727818: 29190011  add	w9, w9, #6
0xfffffff00872781c: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff008727820: 15fd7ad3  lsr	x21, x8, #0x3a
0xfffffff008727824: e00313aa  mov	x0, x19
0xfffffff008727828: c1008052  mov	w1, #6
0xfffffff00872782c: 02008052  mov	w2, #0
0xfffffff008727830: 94ceff97  bl	#0xfffffff00871b280
0xfffffff008727834: 953201b9  str	w21, [x20, #0x130]
0xfffffff008727838: 882e41b9  ldr	w8, [x20, #0x12c]
0xfffffff00872783c: 1f0d0071  cmp	w8, #3
0xfffffff008727840: e1020054  b.ne	#0xfffffff00872789c
0xfffffff008727844: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff008727848: 69a640b9  ldr	w9, [x19, #0xa4]
0xfffffff00872784c: 29050011  add	w9, w9, #1
0xfffffff008727850: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff008727854: 15fd7fd3  lsr	x21, x8, #0x3f
0xfffffff008727858: e00313aa  mov	x0, x19
0xfffffff00872785c: 21008052  mov	w1, #1
