; Candidate 406
; ADRP+ADD at VM 0xfffffff007f01834 (fileoff 0xefd834): page=0x22ca000 add_imm=0xd48

0xfffffff007f017b4: 5f00086b  cmp	w2, w8
0xfffffff007f017b8: a1040054  b.ne	#0xfffffff007f0184c
0xfffffff007f017bc: 88060091  add	x8, x20, #1
0xfffffff007f017c0: 1f0900f1  cmp	x8, #2
0xfffffff007f017c4: a3020054  b.lo	#0xfffffff007f01818
0xfffffff007f017c8: 481501b0  adrp	x8, #0xfffffff00a1aa000
0xfffffff007f017cc: 08e141f9  ldr	x8, [x8, #0x3c0]
0xfffffff007f017d0: e81300f9  str	x8, [sp, #0x20]
0xfffffff007f017d4: ff2b00b9  str	wzr, [sp, #0x28]
0xfffffff007f017d8: 6888ffb0  adrp	x8, #0xfffffff00700e000
0xfffffff007f017dc: 00f942fd  ldr	d0, [x8, #0x5f0]
0xfffffff007f017e0: e00300fd  str	d0, [sp]
0xfffffff007f017e4: f4ff00a9  stp	x20, xzr, [sp, #8]
0xfffffff007f017e8: 6888ffb0  adrp	x8, #0xfffffff00700e000
0xfffffff007f017ec: 001d44fd  ldr	d0, [x8, #0x838]
0xfffffff007f017f0: e00f00fd  str	d0, [sp, #0x18]
0xfffffff007f017f4: e0030091  mov	x0, sp
0xfffffff007f017f8: 81058052  mov	w1, #0x2c
0xfffffff007f017fc: 22008052  mov	w2, #1
0xfffffff007f01800: a200a072  movk	w2, #5, lsl #16
0xfffffff007f01804: 03008052  mov	w3, #0
0xfffffff007f01808: 040080d2  mov	x4, #0
0xfffffff007f0180c: ab6bfa97  bl	#0xfffffff007d9c6b8
0xfffffff007f01810: e00314aa  mov	x0, x20
0xfffffff007f01814: f6e4f997  bl	#0xfffffff007d7abec
0xfffffff007f01818: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007f0181c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007f01820: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007f01824: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007f01828: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007f0182c: ff030291  add	sp, sp, #0x80
0xfffffff007f01830: ff0f5fd6  retab	
0xfffffff007f01834: 401601d0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007f01838: 00203591  add	x0, x0, #0xd48
0xfffffff007f0183c: e10313aa  mov	x1, x19
0xfffffff007f01840: 02008052  mov	w2, #0
0xfffffff007f01844: ada8fa97  bl	#0xfffffff007dabaf8
0xfffffff007f01848: c6ffff17  b	#0xfffffff007f01760
0xfffffff007f0184c: 401601d0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007f01850: 00203591  add	x0, x0, #0xd48
0xfffffff007f01854: e10313aa  mov	x1, x19
0xfffffff007f01858: c3abfa97  bl	#0xfffffff007dac764
0xfffffff007f0185c: d8ffff17  b	#0xfffffff007f017bc
0xfffffff007f01860: e0170190  adrp	x0, #0xfffffff00a1fd000
0xfffffff007f01864: 00a00c91  add	x0, x0, #0x328
0xfffffff007f01868: e10313aa  mov	x1, x19
0xfffffff007f0186c: beabfa97  bl	#0xfffffff007dac764
0xfffffff007f01870: a0ffff17  b	#0xfffffff007f016f0
0xfffffff007f01874: 7f2303d5  pacibsp	
0xfffffff007f01878: ffc304d1  sub	sp, sp, #0x130
0xfffffff007f0187c: fc6f0da9  stp	x28, x27, [sp, #0xd0]
0xfffffff007f01880: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff007f01884: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff007f01888: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff007f0188c: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff007f01890: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff007f01894: fd830491  add	x29, sp, #0x120
0xfffffff007f01898: f30300aa  mov	x19, x0
0xfffffff007f0189c: 281601d0  adrp	x8, #0xfffffff00a1c7000
0xfffffff007f018a0: 08010091  add	x8, x8, #0
0xfffffff007f018a4: 080140f9  ldr	x8, [x8]
0xfffffff007f018a8: a8031af8  stur	x8, [x29, #-0x60]
0xfffffff007f018ac: 1c1840f9  ldr	x28, [x0, #0x30]
0xfffffff007f018b0: 155441b9  ldr	w21, [x0, #0x154]
