; Candidate 1176
; ADRP+ADD at VM 0xfffffff00827a338 (fileoff 0x1276338): page=0x1fee15000 add_imm=0xd86

0xfffffff00827a2b8: c80100b4  cbz	x8, #0xfffffff00827a2f0
0xfffffff00827a2bc: e3330091  add	x3, sp, #0xc
0xfffffff00827a2c0: e4030091  mov	x4, sp
0xfffffff00827a2c4: e10313aa  mov	x1, x19
0xfffffff00827a2c8: e20315aa  mov	x2, x21
0xfffffff00827a2cc: e50314aa  mov	x5, x20
0xfffffff00827a2d0: 11c79ed2  mov	x17, #0xf638
0xfffffff00827a2d4: 11093fd7  blraa	x8, x17
0xfffffff00827a2d8: c0000034  cbz	w0, #0xfffffff00827a2f0
0xfffffff00827a2dc: e10340f9  ldr	x1, [sp]
0xfffffff00827a2e0: e00314aa  mov	x0, x20
0xfffffff00827a2e4: 5ee9ff97  bl	#0xfffffff00827485c
0xfffffff00827a2e8: 750e40b9  ldr	w21, [x19, #0xc]
0xfffffff00827a2ec: 09000014  b	#0xfffffff00827a310
0xfffffff00827a2f0: a802184b  sub	w8, w21, w24
0xfffffff00827a2f4: e97e880a  and	w9, w23, w8, asr #31
0xfffffff00827a2f8: 2101080b  add	w1, w9, w8
0xfffffff00827a2fc: e20f40b9  ldr	w2, [sp, #0xc]
0xfffffff00827a300: e00313aa  mov	x0, x19
0xfffffff00827a304: 19000094  bl	#0xfffffff00827a368
0xfffffff00827a308: 752e00b9  str	w21, [x19, #0x2c]
0xfffffff00827a30c: 762a00b9  str	w22, [x19, #0x28]
0xfffffff00827a310: e00315aa  mov	x0, x21
0xfffffff00827a314: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00827a318: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00827a31c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00827a320: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff00827a324: ff430191  add	sp, sp, #0x50
0xfffffff00827a328: ff0f5fd6  retab	
0xfffffff00827a32c: e1008052  mov	w1, #7
0xfffffff00827a330: e10300f9  str	x1, [sp]
0xfffffff00827a334: ebffff17  b	#0xfffffff00827a2e0
0xfffffff00827a338: a070ffb0  adrp	x0, #0xfffffff00708f000
0xfffffff00827a33c: 00183691  add	x0, x0, #0xd86
0xfffffff00827a340: a170ffb0  adrp	x1, #0xfffffff00708f000
0xfffffff00827a344: 21743691  add	x1, x1, #0xd9d
0xfffffff00827a348: 82538052  mov	w2, #0x29c
0xfffffff00827a34c: 32950894  bl	#0xfffffff00849f814
0xfffffff00827a350: c1008052  mov	w1, #6
0xfffffff00827a354: e10300f9  str	x1, [sp]
0xfffffff00827a358: e2ffff17  b	#0xfffffff00827a2e0
0xfffffff00827a35c: 21008052  mov	w1, #1
0xfffffff00827a360: e10300f9  str	x1, [sp]
0xfffffff00827a364: dfffff17  b	#0xfffffff00827a2e0
0xfffffff00827a368: 7f2303d5  pacibsp	
0xfffffff00827a36c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00827a370: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00827a374: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00827a378: fd830091  add	x29, sp, #0x20
0xfffffff00827a37c: f50302aa  mov	x21, x2
0xfffffff00827a380: f40301aa  mov	x20, x1
0xfffffff00827a384: f30300aa  mov	x19, x0
0xfffffff00827a388: 163440b9  ldr	w22, [x0, #0x34]
0xfffffff00827a38c: 027efe97  bl	#0xfffffff008219b94
0xfffffff00827a390: 606a00f9  str	x0, [x19, #0xd0]
0xfffffff00827a394: e8fc00b0  adrp	x8, #0xfffffff00a217000
0xfffffff00827a398: 086d4bb9  ldr	w8, [x8, #0xb6c]
0xfffffff00827a39c: 28080034  cbz	w8, #0xfffffff00827a4a0
0xfffffff00827a3a0: e803152a  mov	w8, w21
0xfffffff00827a3a4: 60b2c03d  ldr	q0, [x19, #0x2c0]
0xfffffff00827a3a8: 29008052  mov	w9, #1
0xfffffff00827a3ac: 210d084e  dup	v1.2d, x9
0xfffffff00827a3b0: 011d084e  mov	v1.d[0], x8
0xfffffff00827a3b4: 0084e14e  add	v0.2d, v0.2d, v1.2d
