; Candidate 2527
; ADRP+ADD at VM 0xfffffff0086ab040 (fileoff 0x16a7040): page=0x1ff34f000 add_imm=0xd90

0xfffffff0086aafc0: 40000054  b.eq	#0xfffffff0086aafc8
0xfffffff0086aafc4: 408e38d4  brk	#0xc472
0xfffffff0086aafc8: 02821591  add	x2, x16, #0x560
0xfffffff0086aafcc: 10b242f9  ldr	x16, [x16, #0x560]
0xfffffff0086aafd0: e00313aa  mov	x0, x19
0xfffffff0086aafd4: e10314aa  mov	x1, x20
0xfffffff0086aafd8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086aafdc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086aafe0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0086aafe4: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0086aafe8: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff0086aafec: ff2303d5  autibsp	
0xfffffff0086aaff0: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0086aaff4: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0086aaffc
0xfffffff0086aaff8: 208e38d4  brk	#0xc471
0xfffffff0086aaffc: f10302aa  mov	x17, x2
0xfffffff0086ab000: 3127f5f2  movk	x17, #0xa939, lsl #48
0xfffffff0086ab004: 110a1fd7  braa	x16, x17
0xfffffff0086ab008: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086ab00c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086ab010: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0086ab014: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0086ab018: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff0086ab01c: ff0f5fd6  retab	
0xfffffff0086ab020: 5f2403d5  bti	c
0xfffffff0086ab024: 01000014  b	#0xfffffff0086ab028
0xfffffff0086ab028: 7f2303d5  pacibsp	
0xfffffff0086ab02c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0086ab030: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086ab034: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086ab038: fd830091  add	x29, sp, #0x20
0xfffffff0086ab03c: f40300aa  mov	x20, x0
0xfffffff0086ab040: 609afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086ab044: 00403691  add	x0, x0, #0xd90
0xfffffff0086ab048: 01188052  mov	w1, #0xc0
0xfffffff0086ab04c: 7bf1f097  bl	#0xfffffff0082e7638
0xfffffff0086ab050: f30300aa  mov	x19, x0
0xfffffff0086ab054: 75e100d0  adrp	x21, #0xfffffff00a2d9000
0xfffffff0086ab058: b5823c91  add	x21, x21, #0xf20
0xfffffff0086ab05c: e10315aa  mov	x1, x21
0xfffffff0086ab060: ac35f497  bl	#0xfffffff0083b8710
0xfffffff0086ab064: 309affb0  adrp	x16, #0xfffffff0079f0000
0xfffffff0086ab068: 10823891  add	x16, x16, #0xe20
0xfffffff0086ab06c: 10420091  add	x16, x16, #0x10
0xfffffff0086ab070: f10300aa  mov	x17, x0
0xfffffff0086ab074: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ab078: 300ac1da  pacda	x16, x17
0xfffffff0086ab07c: 100000f9  str	x16, [x0]
0xfffffff0086ab080: e00315aa  mov	x0, x21
0xfffffff0086ab084: 2ce8f097  bl	#0xfffffff0082e5134
0xfffffff0086ab088: 700240f9  ldr	x16, [x19]
0xfffffff0086ab08c: f10313aa  mov	x17, x19
0xfffffff0086ab090: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ab094: 301ac1da  autda	x16, x17
0xfffffff0086ab098: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff0086ab09c: e90310aa  mov	x9, x16
0xfffffff0086ab0a0: e00313aa  mov	x0, x19
0xfffffff0086ab0a4: e10314aa  mov	x1, x20
0xfffffff0086ab0a8: f10309aa  mov	x17, x9
0xfffffff0086ab0ac: f198f2f2  movk	x17, #0x94c7, lsl #48
0xfffffff0086ab0b0: 11093fd7  blraa	x8, x17
0xfffffff0086ab0b4: 80010037  tbnz	w0, #0, #0xfffffff0086ab0e4
0xfffffff0086ab0b8: 700240f9  ldr	x16, [x19]
0xfffffff0086ab0bc: f10313aa  mov	x17, x19
