; Candidate 15566
; ADRP+ADD at VM 0xfffffff009c38014 (fileoff 0x2c34014): page=0x1fe0b6000 add_imm=0xeb8

0xfffffff009c37f94: e20301aa  mov	x2, x1
0xfffffff009c37f98: e10300aa  mov	x1, x0
0xfffffff009c37f9c: a005fff0  adrp	x0, #0xfffffff007cee000
0xfffffff009c37fa0: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009c37fa4: bebd9a17  b	#0xfffffff0082e769c
0xfffffff009c37fa8: 5f2403d5  bti	c
0xfffffff009c37fac: 003c00f0  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c37fb0: 00802f91  add	x0, x0, #0xbe0
0xfffffff009c37fb4: c0035fd6  ret	
0xfffffff009c37fb8: 7f2303d5  pacibsp	
0xfffffff009c37fbc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c37fc0: fd030091  mov	x29, sp
0xfffffff009c37fc4: 61d0fed0  adrp	x1, #0xfffffff007645000
0xfffffff009c37fc8: 21dc1991  add	x1, x1, #0x677
0xfffffff009c37fcc: 4205ffb0  adrp	x2, #0xfffffff007ce0000
0xfffffff009c37fd0: 428446f9  ldr	x2, [x2, #0xd08]
0xfffffff009c37fd4: 03118052  mov	w3, #0x88
0xfffffff009c37fd8: d8ae9a97  bl	#0xfffffff0082e3b38
0xfffffff009c37fdc: 9005ffb0  adrp	x16, #0xfffffff007ce8000
0xfffffff009c37fe0: 10023d91  add	x16, x16, #0xf40
0xfffffff009c37fe4: 10420091  add	x16, x16, #0x10
0xfffffff009c37fe8: f10300aa  mov	x17, x0
0xfffffff009c37fec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c37ff0: 300ac1da  pacda	x16, x17
0xfffffff009c37ff4: 100000f9  str	x16, [x0]
0xfffffff009c37ff8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c37ffc: ff0f5fd6  retab	
0xfffffff009c38000: 5f2403d5  bti	c
0xfffffff009c38004: 000080d2  mov	x0, #0
0xfffffff009c38008: c0035fd6  ret	
0xfffffff009c3800c: 5f2403d5  bti	c
0xfffffff009c38010: e10300aa  mov	x1, x0
0xfffffff009c38014: a005ffd0  adrp	x0, #0xfffffff007cee000
0xfffffff009c38018: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009c3801c: 87bd9a17  b	#0xfffffff0082e7638
0xfffffff009c38020: 7f2303d5  pacibsp	
0xfffffff009c38024: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff009c38028: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009c3802c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009c38030: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009c38034: fdc30091  add	x29, sp, #0x30
0xfffffff009c38038: f30300aa  mov	x19, x0
0xfffffff009c3803c: 4805ff90  adrp	x8, #0xfffffff007ce0000
0xfffffff009c38040: 08b946f9  ldr	x8, [x8, #0xd70]
0xfffffff009c38044: 09010b91  add	x9, x8, #0x2c0
0xfffffff009c38048: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff009c3804c: f10309aa  mov	x17, x9
0xfffffff009c38050: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff009c38054: 11093fd7  blraa	x8, x17
0xfffffff009c38058: f40300aa  mov	x20, x0
0xfffffff009c3805c: 40080034  cbz	w0, #0xfffffff009c38164
0xfffffff009c38060: 5805ff90  adrp	x24, #0xfffffff007ce0000
0xfffffff009c38064: 18d746f9  ldr	x24, [x24, #0xda8]
0xfffffff009c38068: 010340f9  ldr	x1, [x24]
0xfffffff009c3806c: 700240f9  ldr	x16, [x19]
0xfffffff009c38070: f10313aa  mov	x17, x19
0xfffffff009c38074: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c38078: 301ac1da  autda	x16, x17
0xfffffff009c3807c: 112f80d2  mov	x17, #0x178
0xfffffff009c38080: 1002118b  add	x16, x16, x17
0xfffffff009c38084: 080240f9  ldr	x8, [x16]
0xfffffff009c38088: e90310aa  mov	x9, x16
0xfffffff009c3808c: e00313aa  mov	x0, x19
0xfffffff009c38090: f10309aa  mov	x17, x9
