; Candidate 3328
; ADRP+ADD at VM 0xfffffff008731ea8 (fileoff 0x172dea8): page=0x1fea00000 add_imm=0xd90

0xfffffff008731e28: 4a050011  add	w10, w10, #1
0xfffffff008731e2c: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff008731e30: 4b1d0011  add	w11, w10, #7
0xfffffff008731e34: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff008731e38: 3f050071  cmp	w9, #1
0xfffffff008731e3c: 49018b1a  csel	w9, w10, w11, eq
0xfffffff008731e40: 3f210071  cmp	w9, #8
0xfffffff008731e44: 88020054  b.hi	#0xfffffff008731e94
0xfffffff008731e48: e80300aa  mov	x8, x0
0xfffffff008731e4c: f00309aa  mov	x16, x9
0xfffffff008731e50: 1f2200f1  cmp	x16, #8
0xfffffff008731e54: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008731e58: 11000090  adrp	x17, #0xfffffff008731000
0xfffffff008731e5c: 31a23e91  add	x17, x17, #0xfa8
0xfffffff008731e60: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008731e64: 11000010  adr	x17, #0xfffffff008731e64
0xfffffff008731e68: 3002108b  add	x16, x17, x16
0xfffffff008731e6c: 00021fd6  br	x16
0xfffffff008731e70: 9f2403d5  bti	j
0xfffffff008731e74: 00008052  mov	w0, #0
0xfffffff008731e78: 29fc0011  add	w9, w1, #0x3f
0xfffffff008731e7c: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008731e80: 098921b9  str	w9, [x8, #0x2188]
0xfffffff008731e84: 29781f53  lsl	w9, w1, #1
0xfffffff008731e88: 41000014  b	#0xfffffff008731f8c
0xfffffff008731e8c: 00008052  mov	w0, #0
0xfffffff008731e90: 43000014  b	#0xfffffff008731f9c
0xfffffff008731e94: 9f2403d5  bti	j
0xfffffff008731e98: 28210011  add	w8, w9, #8
0xfffffff008731e9c: e950ffd0  adrp	x9, #0xfffffff00714f000
0xfffffff008731ea0: 29351b91  add	x9, x9, #0x6cd
0xfffffff008731ea4: e92300a9  stp	x9, x8, [sp]
0xfffffff008731ea8: 0050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008731eac: 00403691  add	x0, x0, #0xd90
0xfffffff008731eb0: 6196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008731eb4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008731eb8: 4350ffb0  adrp	x3, #0xfffffff00713a000
0xfffffff008731ebc: 637c3a91  add	x3, x3, #0xe9f
0xfffffff008731ec0: 02008052  mov	w2, #0
0xfffffff008731ec4: 9b04f097  bl	#0xfffffff008333130
0xfffffff008731ec8: 00008012  mov	w0, #-1
0xfffffff008731ecc: 34000014  b	#0xfffffff008731f9c
0xfffffff008731ed0: 9f2403d5  bti	j
0xfffffff008731ed4: 00008052  mov	w0, #0
0xfffffff008731ed8: 29080011  add	w9, w1, #2
0xfffffff008731edc: 6a559552  mov	w10, #0xaaab
0xfffffff008731ee0: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff008731ee4: 297daa9b  umull	x9, w9, w10
0xfffffff008731ee8: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008731eec: 29791f53  lsl	w9, w9, #1
0xfffffff008731ef0: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff008731ef4: 29fd0011  add	w9, w9, #0x3f
0xfffffff008731ef8: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008731efc: 098921b9  str	w9, [x8, #0x2188]
0xfffffff008731f00: 29781f53  lsl	w9, w1, #1
0xfffffff008731f04: 2909c41a  udiv	w9, w9, w4
0xfffffff008731f08: 29150011  add	w9, w9, #5
0xfffffff008731f0c: 297daa9b  umull	x9, w9, w10
0xfffffff008731f10: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008731f14: 29791f53  lsl	w9, w9, #1
0xfffffff008731f18: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff008731f1c: 1d000014  b	#0xfffffff008731f90
0xfffffff008731f20: 9f2403d5  bti	j
0xfffffff008731f24: 00008052  mov	w0, #0
