; Candidate 13386
; ADRP+ADD at VM 0xfffffff0092c9158 (fileoff 0x22c5158): page=0x10b5000 add_imm=0xdd0

0xfffffff0092c90d8: 00881f91  add	x0, x0, #0x7e2
0xfffffff0092c90dc: ad80c197  bl	#0xfffffff008329390
0xfffffff0092c90e0: 600600f9  str	x0, [x19, #8]
0xfffffff0092c90e4: a010ffb0  adrp	x0, #0xfffffff0074de000
0xfffffff0092c90e8: 00f01f91  add	x0, x0, #0x7fc
0xfffffff0092c90ec: a980c197  bl	#0xfffffff008329390
0xfffffff0092c90f0: 600a00f9  str	x0, [x19, #0x10]
0xfffffff0092c90f4: a010ffb0  adrp	x0, #0xfffffff0074de000
0xfffffff0092c90f8: 00342091  add	x0, x0, #0x80d
0xfffffff0092c90fc: a580c197  bl	#0xfffffff008329390
0xfffffff0092c9100: 600e00f9  str	x0, [x19, #0x18]
0xfffffff0092c9104: a08500b0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092c9108: 00403791  add	x0, x0, #0xdd0
0xfffffff0092c910c: a110ffb0  adrp	x1, #0xfffffff0074de000
0xfffffff0092c9110: 218c2d91  add	x1, x1, #0xb63
0xfffffff0092c9114: 0247ffb0  adrp	x2, #0xfffffff007baa000
0xfffffff0092c9118: 42b843f9  ldr	x2, [x2, #0x770]
0xfffffff0092c911c: 03208052  mov	w3, #0x100
0xfffffff0092c9120: 866ac097  bl	#0xfffffff0082e3b38
0xfffffff0092c9124: 1047ffd0  adrp	x16, #0xfffffff007bab000
0xfffffff0092c9128: 10422691  add	x16, x16, #0x990
0xfffffff0092c912c: 10420091  add	x16, x16, #0x10
0xfffffff0092c9130: f10300aa  mov	x17, x0
0xfffffff0092c9134: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092c9138: 300ac1da  pacda	x16, x17
0xfffffff0092c913c: 100000f9  str	x16, [x0]
0xfffffff0092c9140: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0092c9144: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0092c9148: ff0f5fd6  retab	
0xfffffff0092c914c: 7f2303d5  pacibsp	
0xfffffff0092c9150: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092c9154: fd030091  mov	x29, sp
0xfffffff0092c9158: a08500b0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092c915c: 00403791  add	x0, x0, #0xdd0
0xfffffff0092c9160: 656dc097  bl	#0xfffffff0082e46f4
0xfffffff0092c9164: a08500b0  adrp	x0, #0xfffffff00a37e000
0xfffffff0092c9168: 00203691  add	x0, x0, #0xd88
0xfffffff0092c916c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092c9170: ff2303d5  autibsp	
0xfffffff0092c9174: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0092c9178: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0092c9180
0xfffffff0092c917c: 208e38d4  brk	#0xc471
0xfffffff0092c9180: 5d6dc017  b	#0xfffffff0082e46f4
0xfffffff0092c9184: 7f2303d5  pacibsp	
0xfffffff0092c9188: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092c918c: fd030091  mov	x29, sp
0xfffffff0092c9190: a110ffb0  adrp	x1, #0xfffffff0074de000
0xfffffff0092c9194: 21403091  add	x1, x1, #0xc10
0xfffffff0092c9198: a28500b0  adrp	x2, #0xfffffff00a37e000
0xfffffff0092c919c: 42c03991  add	x2, x2, #0xe70
0xfffffff0092c91a0: 032f8252  mov	w3, #0x1178
0xfffffff0092c91a4: 656ac097  bl	#0xfffffff0082e3b38
0xfffffff0092c91a8: 1047fff0  adrp	x16, #0xfffffff007bac000
0xfffffff0092c91ac: 10420d91  add	x16, x16, #0x350
0xfffffff0092c91b0: 10420091  add	x16, x16, #0x10
0xfffffff0092c91b4: f10300aa  mov	x17, x0
0xfffffff0092c91b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092c91bc: 300ac1da  pacda	x16, x17
0xfffffff0092c91c0: 100000f9  str	x16, [x0]
0xfffffff0092c91c4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092c91c8: ff0f5fd6  retab	
0xfffffff0092c91cc: 5f2403d5  bti	c
0xfffffff0092c91d0: 496dc017  b	#0xfffffff0082e46f4
0xfffffff0092c91d4: 7f2303d5  pacibsp	
