; Candidate 8482
; ADRP+ADD at VM 0xfffffff0088ad67c (fileoff 0x18a967c): page=0x1fe986000 add_imm=0xd86

0xfffffff0088ad5fc: fa031caa  mov	x26, x28
0xfffffff0088ad600: b40319f8  stur	x20, [x29, #-0x70]
0xfffffff0088ad604: f40316aa  mov	x20, x22
0xfffffff0088ad608: c00f8052  mov	w0, #0x7e
0xfffffff0088ad60c: 8338ff97  bl	#0xfffffff00887b818
0xfffffff0088ad610: f60300aa  mov	x22, x0
0xfffffff0088ad614: e61a0094  bl	#0xfffffff0088b41ac
0xfffffff0088ad618: fc0300aa  mov	x28, x0
0xfffffff0088ad61c: c0008052  mov	w0, #6
0xfffffff0088ad620: 8c38ff97  bl	#0xfffffff00887b850
0xfffffff0088ad624: 96030034  cbz	w22, #0xfffffff0088ad694
0xfffffff0088ad628: e9031aaa  mov	x9, x26
0xfffffff0088ad62c: e80309aa  mov	x8, x9
0xfffffff0088ad630: e83b00f9  str	x8, [sp, #0x70]
0xfffffff0088ad634: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0088ad638: e83700f9  str	x8, [sp, #0x68]
0xfffffff0088ad63c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088ad640: fa0318aa  mov	x26, x24
0xfffffff0088ad644: faa305a9  stp	x26, x8, [sp, #0x58]
0xfffffff0088ad648: f80317aa  mov	x24, x23
0xfffffff0088ad64c: f70315aa  mov	x23, x21
0xfffffff0088ad650: f8e704a9  stp	x24, x25, [sp, #0x48]
0xfffffff0088ad654: e80314aa  mov	x8, x20
0xfffffff0088ad658: f5031baa  mov	x21, x27
0xfffffff0088ad65c: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff0088ad660: f51b00f9  str	x21, [sp, #0x30]
0xfffffff0088ad664: b40359f8  ldur	x20, [x29, #-0x70]
0xfffffff0088ad668: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088ad66c: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088ad670: 085d2f91  add	x8, x8, #0xbd7
0xfffffff0088ad674: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ad678: c80f8052  mov	w8, #0x7e
0xfffffff0088ad67c: 204cffd0  adrp	x0, #0xfffffff007233000
0xfffffff0088ad680: 00183691  add	x0, x0, #0xd86
0xfffffff0088ad684: fc2300a9  stp	x28, x8, [sp]
0xfffffff0088ad688: fc0309aa  mov	x28, x9
0xfffffff0088ad68c: 7527d497  bl	#0xfffffff007db7460
0xfffffff0088ad690: 23000014  b	#0xfffffff0088ad71c
0xfffffff0088ad694: c61a0094  bl	#0xfffffff0088b41ac
0xfffffff0088ad698: f60300aa  mov	x22, x0
0xfffffff0088ad69c: c0008052  mov	w0, #6
0xfffffff0088ad6a0: 6c38ff97  bl	#0xfffffff00887b850
0xfffffff0088ad6a4: fc031aaa  mov	x28, x26
0xfffffff0088ad6a8: e8031caa  mov	x8, x28
0xfffffff0088ad6ac: e83b00f9  str	x8, [sp, #0x70]
0xfffffff0088ad6b0: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0088ad6b4: e83700f9  str	x8, [sp, #0x68]
0xfffffff0088ad6b8: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088ad6bc: fa0318aa  mov	x26, x24
0xfffffff0088ad6c0: faa305a9  stp	x26, x8, [sp, #0x58]
0xfffffff0088ad6c4: f80317aa  mov	x24, x23
0xfffffff0088ad6c8: f70315aa  mov	x23, x21
0xfffffff0088ad6cc: f8e704a9  stp	x24, x25, [sp, #0x48]
0xfffffff0088ad6d0: e80314aa  mov	x8, x20
0xfffffff0088ad6d4: f5031baa  mov	x21, x27
0xfffffff0088ad6d8: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff0088ad6dc: f51b00f9  str	x21, [sp, #0x30]
0xfffffff0088ad6e0: b40359f8  ldur	x20, [x29, #-0x70]
0xfffffff0088ad6e4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088ad6e8: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088ad6ec: 085d2f91  add	x8, x8, #0xbd7
0xfffffff0088ad6f0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ad6f4: c80f8052  mov	w8, #0x7e
0xfffffff0088ad6f8: a34dffd0  adrp	x3, #0xfffffff007263000
