; Candidate 15330
; ADRP+ADD at VM 0xfffffff009b507c0 (fileoff 0x2b4c7c0): page=0x1fdad8000 add_imm=0xed0

0xfffffff009b50740: 40000054  b.eq	#0xfffffff009b50748
0xfffffff009b50744: 408e38d4  brk	#0xc472
0xfffffff009b50748: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b5074c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b50750: e00314aa  mov	x0, x20
0xfffffff009b50754: 010080d2  mov	x1, #0
0xfffffff009b50758: f10308aa  mov	x17, x8
0xfffffff009b5075c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b50760: 31093fd7  blraa	x9, x17
0xfffffff009b50764: f60300aa  mov	x22, x0
0xfffffff009b50768: 900240f9  ldr	x16, [x20]
0xfffffff009b5076c: f10314aa  mov	x17, x20
0xfffffff009b50770: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b50774: 301ac1da  autda	x16, x17
0xfffffff009b50778: f10310aa  mov	x17, x16
0xfffffff009b5077c: f147c1da  xpacd	x17
0xfffffff009b50780: 1f0211eb  cmp	x16, x17
0xfffffff009b50784: 40000054  b.eq	#0xfffffff009b5078c
0xfffffff009b50788: 408e38d4  brk	#0xc472
0xfffffff009b5078c: 08620891  add	x8, x16, #0x218
0xfffffff009b50790: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b50794: e00314aa  mov	x0, x20
0xfffffff009b50798: 010080d2  mov	x1, #0
0xfffffff009b5079c: f10308aa  mov	x17, x8
0xfffffff009b507a0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b507a4: 31093fd7  blraa	x9, x17
0xfffffff009b507a8: c8d6fed0  adrp	x8, #0xfffffff00762a000
0xfffffff009b507ac: 083d1b91  add	x8, x8, #0x6cf
0xfffffff009b507b0: c9d6feb0  adrp	x9, #0xfffffff007629000
0xfffffff009b507b4: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b507b8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b507bc: f60300a9  stp	x22, x0, [sp]
0xfffffff009b507c0: c0d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b507c4: 00403b91  add	x0, x0, #0xed0
0xfffffff009b507c8: e3d6fe90  adrp	x3, #0xfffffff00762c000
0xfffffff009b507cc: 639c1291  add	x3, x3, #0x4a7
0xfffffff009b507d0: e10315aa  mov	x1, x21
0xfffffff009b507d4: 02028052  mov	w2, #0x10
0xfffffff009b507d8: 568a9f97  bl	#0xfffffff008333130
0xfffffff009b507dc: 88578052  mov	w8, #0x2bc
0xfffffff009b507e0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009b507e4: 15190011  add	w21, w8, #6
0xfffffff009b507e8: 18020014  b	#0xfffffff009b51048
0xfffffff009b507ec: 900240f9  ldr	x16, [x20]
0xfffffff009b507f0: f10314aa  mov	x17, x20
0xfffffff009b507f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b507f8: 301ac1da  autda	x16, x17
0xfffffff009b507fc: 113d80d2  mov	x17, #0x1e8
0xfffffff009b50800: 1002118b  add	x16, x16, x17
0xfffffff009b50804: 080240f9  ldr	x8, [x16]
0xfffffff009b50808: e90310aa  mov	x9, x16
0xfffffff009b5080c: e00314aa  mov	x0, x20
0xfffffff009b50810: 010080d2  mov	x1, #0
0xfffffff009b50814: f10309aa  mov	x17, x9
0xfffffff009b50818: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b5081c: 11093fd7  blraa	x8, x17
0xfffffff009b50820: 900240f9  ldr	x16, [x20]
0xfffffff009b50824: f10314aa  mov	x17, x20
0xfffffff009b50828: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b5082c: 301ac1da  autda	x16, x17
0xfffffff009b50830: 114380d2  mov	x17, #0x218
0xfffffff009b50834: 1002118b  add	x16, x16, x17
0xfffffff009b50838: 080240f9  ldr	x8, [x16]
0xfffffff009b5083c: e90310aa  mov	x9, x16
