; Candidate 15089
; ADRP+ADD at VM 0xfffffff009a93534 (fileoff 0x2a8f534): page=0x1fdb7e000 add_imm=0xce0

0xfffffff009a934b4: d3620291  add	x19, x22, #0x98
0xfffffff009a934b8: e00313aa  mov	x0, x19
0xfffffff009a934bc: 7cfcff97  bl	#0xfffffff009a926ac
0xfffffff009a934c0: f40300aa  mov	x20, x0
0xfffffff009a934c4: ecfbff97  bl	#0xfffffff009a92474
0xfffffff009a934c8: 080080d2  mov	x8, #0
0xfffffff009a934cc: 9f720039  strb	wzr, [x20, #0x1c]
0xfffffff009a934d0: 9f1200f9  str	xzr, [x20, #0x20]
0xfffffff009a934d4: c95e40f9  ldr	x9, [x22, #0xb8]
0xfffffff009a934d8: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff009a934dc: 290d0a8b  add	x9, x9, x10, lsl #3
0xfffffff009a934e0: 34fde8c8  casal	x8, x20, [x9]
0xfffffff009a934e4: 1f0100f1  cmp	x8, #0
0xfffffff009a934e8: c1020054  b.ne	#0xfffffff009a93540
0xfffffff009a934ec: 811a40b9  ldr	w1, [x20, #0x18]
0xfffffff009a934f0: e00316aa  mov	x0, x22
0xfffffff009a934f4: e20317aa  mov	x2, x23
0xfffffff009a934f8: e30315aa  mov	x3, x21
0xfffffff009a934fc: 040080d2  mov	x4, #0
0xfffffff009a93500: 1a6b0094  bl	#0xfffffff009aae168
0xfffffff009a93504: 40030034  cbz	w0, #0xfffffff009a9356c
0xfffffff009a93508: f50300aa  mov	x21, x0
0xfffffff009a9350c: c85e40f9  ldr	x8, [x22, #0xb8]
0xfffffff009a93510: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff009a93514: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff009a93518: e90314aa  mov	x9, x20
0xfffffff009a9351c: 1ffde9c8  casal	x9, xzr, [x8]
0xfffffff009a93520: e8dbfed0  adrp	x8, #0xfffffff007611000
0xfffffff009a93524: 08e93191  add	x8, x8, #0xc7a
0xfffffff009a93528: e9dbfed0  adrp	x9, #0xfffffff007611000
0xfffffff009a9352c: 297d2191  add	x9, x9, #0x85f
0xfffffff009a93530: e92300a9  stp	x9, x8, [sp]
0xfffffff009a93534: e0dbfed0  adrp	x0, #0xfffffff007611000
0xfffffff009a93538: 00803391  add	x0, x0, #0xce0
0xfffffff009a9353c: 0a000014  b	#0xfffffff009a93564
0xfffffff009a93540: 15588052  mov	w21, #0x2c0
0xfffffff009a93544: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff009a93548: e8dbfed0  adrp	x8, #0xfffffff007611000
0xfffffff009a9354c: 08e93191  add	x8, x8, #0xc7a
0xfffffff009a93550: e9dbfed0  adrp	x9, #0xfffffff007611000
0xfffffff009a93554: 29212091  add	x9, x9, #0x808
0xfffffff009a93558: e92300a9  stp	x9, x8, [sp]
0xfffffff009a9355c: e0dbfed0  adrp	x0, #0xfffffff007611000
0xfffffff009a93560: 00302e91  add	x0, x0, #0xb8c
0xfffffff009a93564: af0ea397  bl	#0xfffffff008357020
0xfffffff009a93568: 04000014  b	#0xfffffff009a93578
0xfffffff009a9356c: e00314aa  mov	x0, x20
0xfffffff009a93570: 04fbff97  bl	#0xfffffff009a92180
0xfffffff009a93574: 954e40b9  ldr	w21, [x20, #0x4c]
0xfffffff009a93578: e00313aa  mov	x0, x19
0xfffffff009a9357c: e10314aa  mov	x1, x20
0xfffffff009a93580: 73fcff97  bl	#0xfffffff009a9274c
0xfffffff009a93584: e00315aa  mov	x0, x21
0xfffffff009a93588: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009a9358c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009a93590: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009a93594: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff009a93598: ff430191  add	sp, sp, #0x50
0xfffffff009a9359c: ff0f5fd6  retab	
0xfffffff009a935a0: 5f2403d5  bti	c
0xfffffff009a935a4: 085c40f9  ldr	x8, [x0, #0xb8]
0xfffffff009a935a8: 291840b9  ldr	w9, [x1, #0x18]
0xfffffff009a935ac: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff009a935b0: e90301aa  mov	x9, x1
