; Candidate 10566
; ADRP+ADD at VM 0xfffffff008dde444 (fileoff 0x1dda444): page=0x1fe5e6000 add_imm=0xe15

0xfffffff008dde3c4: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff008dde3c8: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008dde3cc: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff008dde3d0: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008dde3d4: fd830291  add	x29, sp, #0xa0
0xfffffff008dde3d8: f30306aa  mov	x19, x6
0xfffffff008dde3dc: f60305aa  mov	x22, x5
0xfffffff008dde3e0: f40304aa  mov	x20, x4
0xfffffff008dde3e4: f70303aa  mov	x23, x3
0xfffffff008dde3e8: f80301aa  mov	x24, x1
0xfffffff008dde3ec: f50300aa  mov	x21, x0
0xfffffff008dde3f0: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff008dde3f4: 1c2ffff0  adrp	x28, #0xfffffff0073c1000
0xfffffff008dde3f8: 9c1b0691  add	x28, x28, #0x186
0xfffffff008dde3fc: e60200b4  cbz	x6, #0xfffffff008dde458
0xfffffff008dde400: 680240f9  ldr	x8, [x19]
0xfffffff008dde404: 1f0100f1  cmp	x8, #0
0xfffffff008dde408: e8079f1a  cset	w8, ne
0xfffffff008dde40c: df0200f1  cmp	x22, #0
0xfffffff008dde410: e9079f1a  cset	w9, ne
0xfffffff008dde414: 2801084a  eor	w8, w9, w8
0xfffffff008dde418: 28020036  tbz	w8, #0, #0xfffffff008dde45c
0xfffffff008dde41c: 680c8052  mov	w8, #0x63
0xfffffff008dde420: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008dde424: 297d0891  add	x9, x9, #0x21f
0xfffffff008dde428: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008dde42c: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dde430: 08493991  add	x8, x8, #0xe52
0xfffffff008dde434: 0a2ffff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008dde438: 4a650691  add	x10, x10, #0x199
0xfffffff008dde43c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008dde440: ea0300f9  str	x10, [sp]
0xfffffff008dde444: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dde448: 00543891  add	x0, x0, #0xe15
0xfffffff008dde44c: f5e2d597  bl	#0xfffffff008357020
0xfffffff008dde450: 59008012  mov	w25, #-3
0xfffffff008dde454: b0000014  b	#0xfffffff008dde714
0xfffffff008dde458: 36feffb5  cbnz	x22, #0xfffffff008dde41c
0xfffffff008dde45c: b51700b4  cbz	x21, #0xfffffff008dde750
0xfffffff008dde460: 1ca900b0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008dde464: 880f46f9  ldr	x8, [x28, #0xc18]
0xfffffff008dde468: c80400b5  cbnz	x8, #0xfffffff008dde500
0xfffffff008dde46c: 002ffff0  adrp	x0, #0xfffffff0073c1000
0xfffffff008dde470: 00480b91  add	x0, x0, #0x2d2
0xfffffff008dde474: 010080d2  mov	x1, #0
0xfffffff008dde478: 06afd697  bl	#0xfffffff00838a090
0xfffffff008dde47c: c01d00b4  cbz	x0, #0xfffffff008dde834
0xfffffff008dde480: fa0300aa  mov	x26, x0
0xfffffff008dde484: 01008092  mov	x1, #-1
0xfffffff008dde488: 41aed697  bl	#0xfffffff008389d8c
0xfffffff008dde48c: fb0300aa  mov	x27, x0
0xfffffff008dde490: 001f00b4  cbz	x0, #0xfffffff008dde870
0xfffffff008dde494: 19008052  mov	w25, #0
0xfffffff008dde498: 9b0f06f9  str	x27, [x28, #0xc18]
0xfffffff008dde49c: 500340f9  ldr	x16, [x26]
0xfffffff008dde4a0: f1031aaa  mov	x17, x26
0xfffffff008dde4a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008dde4a8: 301ac1da  autda	x16, x17
0xfffffff008dde4ac: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008dde4b0: e90310aa  mov	x9, x16
0xfffffff008dde4b4: e0031aaa  mov	x0, x26
0xfffffff008dde4b8: f10309aa  mov	x17, x9
0xfffffff008dde4bc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008dde4c0: 11093fd7  blraa	x8, x17
