; Candidate 9108
; ADRP+ADD at VM 0xfffffff0089f57f8 (fileoff 0x19f17f8): page=0x1fe89f000 add_imm=0xdf4

0xfffffff0089f5778: c90f8052  mov	w9, #0x7e
0xfffffff0089f577c: ea44fff0  adrp	x10, #0xfffffff007294000
0xfffffff0089f5780: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f5784: 0b45ff90  adrp	x11, #0xfffffff007295000
0xfffffff0089f5788: 6b3d1791  add	x11, x11, #0x5cf
0xfffffff0089f578c: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f5790: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f5794: eb0300f9  str	x11, [sp]
0xfffffff0089f5798: e044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089f579c: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f57a0: 3007cf97  bl	#0xfffffff007db7460
0xfffffff0089f57a4: 00008052  mov	w0, #0
0xfffffff0089f57a8: eeffff17  b	#0xfffffff0089f5760
0xfffffff0089f57ac: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f57b0: 0845ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f57b4: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f57b8: 29108052  mov	w9, #0x81
0xfffffff0089f57bc: ea44fff0  adrp	x10, #0xfffffff007294000
0xfffffff0089f57c0: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f57c4: 0b45ff90  adrp	x11, #0xfffffff007295000
0xfffffff0089f57c8: 6b151991  add	x11, x11, #0x645
0xfffffff0089f57cc: 09000014  b	#0xfffffff0089f57f0
0xfffffff0089f57d0: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f57d4: 0845ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f57d8: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f57dc: 89108052  mov	w9, #0x84
0xfffffff0089f57e0: ea44fff0  adrp	x10, #0xfffffff007294000
0xfffffff0089f57e4: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f57e8: 0b45ff90  adrp	x11, #0xfffffff007295000
0xfffffff0089f57ec: 6b6d1491  add	x11, x11, #0x51b
0xfffffff0089f57f0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0089f57f4: eb2b00a9  stp	x11, x10, [sp]
0xfffffff0089f57f8: e044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089f57fc: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f5800: 1807cf97  bl	#0xfffffff007db7460
0xfffffff0089f5804: 140080d2  mov	x20, #0
0xfffffff0089f5808: 17000014  b	#0xfffffff0089f5864
0xfffffff0089f580c: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f5810: 0845ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f5814: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f5818: e9108052  mov	w9, #0x87
0xfffffff0089f581c: ea44fff0  adrp	x10, #0xfffffff007294000
0xfffffff0089f5820: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f5824: 0b45ff90  adrp	x11, #0xfffffff007295000
0xfffffff0089f5828: 6bd51991  add	x11, x11, #0x675
0xfffffff0089f582c: 09000014  b	#0xfffffff0089f5850
0xfffffff0089f5830: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089f5834: 0845ff90  adrp	x8, #0xfffffff007295000
0xfffffff0089f5838: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f583c: 29118052  mov	w9, #0x89
0xfffffff0089f5840: ea44fff0  adrp	x10, #0xfffffff007294000
0xfffffff0089f5844: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f5848: 0b45ff90  adrp	x11, #0xfffffff007295000
0xfffffff0089f584c: 6b6d1491  add	x11, x11, #0x51b
0xfffffff0089f5850: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0089f5854: eb2b00a9  stp	x11, x10, [sp]
0xfffffff0089f5858: e044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089f585c: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f5860: 0007cf97  bl	#0xfffffff007db7460
0xfffffff0089f5864: 60ae40f9  ldr	x0, [x19, #0x158]
0xfffffff0089f5868: 600000b4  cbz	x0, #0xfffffff0089f5874
0xfffffff0089f586c: 9087e597  bl	#0xfffffff0083576ac
0xfffffff0089f5870: 7fae00f9  str	xzr, [x19, #0x158]
0xfffffff0089f5874: 608240f9  ldr	x0, [x19, #0x100]
