; Candidate 9556
; ADRP+ADD at VM 0xfffffff008a72eb4 (fileoff 0x1a6eeb4): page=0x186d000 add_imm=0xd78

0xfffffff008a72e34: 810f8052  mov	w1, #0x7c
0xfffffff008a72e38: 22008052  mov	w2, #1
0xfffffff008a72e3c: 040080d2  mov	x4, #0
0xfffffff008a72e40: 05008052  mov	w5, #0
0xfffffff008a72e44: e70313aa  mov	x7, x19
0xfffffff008a72e48: f10309aa  mov	x17, x9
0xfffffff008a72e4c: d19ef0f2  movk	x17, #0x84f6, lsl #48
0xfffffff008a72e50: 11093fd7  blraa	x8, x17
0xfffffff008a72e54: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008a72e58: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008a72e5c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008a72e60: ff830191  add	sp, sp, #0x60
0xfffffff008a72e64: ff0f5fd6  retab	
0xfffffff008a72e68: 7f2303d5  pacibsp	
0xfffffff008a72e6c: ff8301d1  sub	sp, sp, #0x60
0xfffffff008a72e70: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008a72e74: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008a72e78: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008a72e7c: fd430191  add	x29, sp, #0x50
0xfffffff008a72e80: f30300aa  mov	x19, x0
0xfffffff008a72e84: 005840f9  ldr	x0, [x0, #0xb0]
0xfffffff008a72e88: a00600b4  cbz	x0, #0xfffffff008a72f5c
0xfffffff008a72e8c: f40302aa  mov	x20, x2
0xfffffff008a72e90: f50301aa  mov	x21, x1
0xfffffff008a72e94: 28008052  mov	w8, #1
0xfffffff008a72e98: 0821c11a  lsl	w8, w8, w1
0xfffffff008a72e9c: a8e31d38  sturb	w8, [x29, #-0x22]
0xfffffff008a72ea0: 5f000071  cmp	w2, #0
0xfffffff008a72ea4: 08119f1a  csel	w8, w8, wzr, ne
0xfffffff008a72ea8: a8f31d38  sturb	w8, [x29, #-0x21]
0xfffffff008a72eac: 68224239  ldrb	w8, [x19, #0x88]
0xfffffff008a72eb0: 48072036  tbz	w8, #4, #0xfffffff008a72f98
0xfffffff008a72eb4: 60c300b0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a72eb8: 00e03591  add	x0, x0, #0xd78
0xfffffff008a72ebc: a7c6e197  bl	#0xfffffff0082e4958
0xfffffff008a72ec0: f60300aa  mov	x22, x0
0xfffffff008a72ec4: 700240f9  ldr	x16, [x19]
0xfffffff008a72ec8: f10313aa  mov	x17, x19
0xfffffff008a72ecc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a72ed0: 301ac1da  autda	x16, x17
0xfffffff008a72ed4: 116e80d2  mov	x17, #0x370
0xfffffff008a72ed8: 1002118b  add	x16, x16, x17
0xfffffff008a72edc: 080240f9  ldr	x8, [x16]
0xfffffff008a72ee0: e90310aa  mov	x9, x16
0xfffffff008a72ee4: e00313aa  mov	x0, x19
0xfffffff008a72ee8: f10309aa  mov	x17, x9
0xfffffff008a72eec: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a72ef0: 11093fd7  blraa	x8, x17
0xfffffff008a72ef4: a00300b4  cbz	x0, #0xfffffff008a72f68
0xfffffff008a72ef8: 700240f9  ldr	x16, [x19]
0xfffffff008a72efc: f10313aa  mov	x17, x19
0xfffffff008a72f00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a72f04: 301ac1da  autda	x16, x17
0xfffffff008a72f08: 116e80d2  mov	x17, #0x370
0xfffffff008a72f0c: 1002118b  add	x16, x16, x17
0xfffffff008a72f10: 080240f9  ldr	x8, [x16]
0xfffffff008a72f14: e90310aa  mov	x9, x16
0xfffffff008a72f18: e00313aa  mov	x0, x19
0xfffffff008a72f1c: f10309aa  mov	x17, x9
0xfffffff008a72f20: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a72f24: 11093fd7  blraa	x8, x17
0xfffffff008a72f28: 100040f9  ldr	x16, [x0]
0xfffffff008a72f2c: f10300aa  mov	x17, x0
0xfffffff008a72f30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
