; Candidate 10762
; ADRP+ADD at VM 0xfffffff008de5d34 (fileoff 0x1de1d34): page=0x1fe5df000 add_imm=0xe15

0xfffffff008de5cb4: 4abd1991  add	x10, x10, #0x66f
0xfffffff008de5cb8: 1d000014  b	#0xfffffff008de5d2c
0xfffffff008de5cbc: 687e4093  sxtw	x8, w19
0xfffffff008de5cc0: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de5cc4: 69ff8052  mov	w9, #0x7fb
0xfffffff008de5cc8: ea2eff90  adrp	x10, #0xfffffff0073c1000
0xfffffff008de5ccc: 4a490d91  add	x10, x10, #0x352
0xfffffff008de5cd0: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de5cd4: e92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de5cd8: 29493991  add	x9, x9, #0xe52
0xfffffff008de5cdc: eb2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de5ce0: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de5ce4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de5ce8: eb0300f9  str	x11, [sp]
0xfffffff008de5cec: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5cf0: 00543891  add	x0, x0, #0xe15
0xfffffff008de5cf4: cbc4d597  bl	#0xfffffff008357020
0xfffffff008de5cf8: ffc30091  add	sp, sp, #0x30
0xfffffff008de5cfc: c8088052  mov	w8, #0x46
0xfffffff008de5d00: 9f030091  mov	sp, x28
0xfffffff008de5d04: bbffff17  b	#0xfffffff008de5bf0
0xfffffff008de5d08: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de5d0c: 48fb8052  mov	w8, #0x7da
0xfffffff008de5d10: e92eff90  adrp	x9, #0xfffffff0073c1000
0xfffffff008de5d14: 29490d91  add	x9, x9, #0x352
0xfffffff008de5d18: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de5d1c: e82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de5d20: 08493991  add	x8, x8, #0xe52
0xfffffff008de5d24: ea2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de5d28: 4add1691  add	x10, x10, #0x5b7
0xfffffff008de5d2c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de5d30: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de5d34: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5d38: 00543891  add	x0, x0, #0xe15
0xfffffff008de5d3c: b9c4d597  bl	#0xfffffff008357020
0xfffffff008de5d40: ffc30091  add	sp, sp, #0x30
0xfffffff008de5d44: c8088052  mov	w8, #0x46
0xfffffff008de5d48: 53008012  mov	w19, #-3
0xfffffff008de5d4c: aeffff17  b	#0xfffffff008de5c04
0xfffffff008de5d50: 3fe0bd97  bl	#0xfffffff007d5de4c
0xfffffff008de5d54: 7f2303d5  pacibsp	
0xfffffff008de5d58: ffc301d1  sub	sp, sp, #0x70
0xfffffff008de5d5c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008de5d60: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008de5d64: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008de5d68: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008de5d6c: fd830191  add	x29, sp, #0x60
0xfffffff008de5d70: f30301aa  mov	x19, x1
0xfffffff008de5d74: f40300aa  mov	x20, x0
0xfffffff008de5d78: e2bf0039  strb	w2, [sp, #0x2f]
0xfffffff008de5d7c: d7a800d0  adrp	x23, #0xfffffff00a2ff000
0xfffffff008de5d80: f7422c91  add	x23, x23, #0xb10
0xfffffff008de5d84: e8024039  ldrb	w8, [x23]
0xfffffff008de5d88: f52effb0  adrp	x21, #0xfffffff0073c2000
0xfffffff008de5d8c: b5921a91  add	x21, x21, #0x6a4
0xfffffff008de5d90: f62eff90  adrp	x22, #0xfffffff0073c1000
0xfffffff008de5d94: d69e0c91  add	x22, x22, #0x327
0xfffffff008de5d98: 1f290071  cmp	w8, #0xa
0xfffffff008de5d9c: a8000054  b.hi	#0xfffffff008de5db0
0xfffffff008de5da0: f65700a9  stp	x22, x21, [sp]
0xfffffff008de5da4: e02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de5da8: 00843491  add	x0, x0, #0xd21
0xfffffff008de5dac: 9dc4d597  bl	#0xfffffff008357020
0xfffffff008de5db0: e6bf0091  add	x6, sp, #0x2f
