; Candidate 14402
; ADRP+ADD at VM 0xfffffff009770874 (fileoff 0x276c874): page=0xc1b000 add_imm=0xea8

0xfffffff0097707f4: c00100b5  cbnz	x0, #0xfffffff00977082c
0xfffffff0097707f8: 700240f9  ldr	x16, [x19]
0xfffffff0097707fc: f10313aa  mov	x17, x19
0xfffffff009770800: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009770804: 301ac1da  autda	x16, x17
0xfffffff009770808: 113d80d2  mov	x17, #0x1e8
0xfffffff00977080c: 1002118b  add	x16, x16, x17
0xfffffff009770810: 080240f9  ldr	x8, [x16]
0xfffffff009770814: e90310aa  mov	x9, x16
0xfffffff009770818: e00313aa  mov	x0, x19
0xfffffff00977081c: 010080d2  mov	x1, #0
0xfffffff009770820: f10309aa  mov	x17, x9
0xfffffff009770824: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009770828: 11093fd7  blraa	x8, x17
0xfffffff00977082c: e00313aa  mov	x0, x19
0xfffffff009770830: 8be0fc97  bl	#0xfffffff0096a8a5c
0xfffffff009770834: e00313aa  mov	x0, x19
0xfffffff009770838: 89e0fc97  bl	#0xfffffff0096a8a5c
0xfffffff00977083c: c00100b5  cbnz	x0, #0xfffffff009770874
0xfffffff009770840: 700240f9  ldr	x16, [x19]
0xfffffff009770844: f10313aa  mov	x17, x19
0xfffffff009770848: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00977084c: 301ac1da  autda	x16, x17
0xfffffff009770850: 114380d2  mov	x17, #0x218
0xfffffff009770854: 1002118b  add	x16, x16, x17
0xfffffff009770858: 080240f9  ldr	x8, [x16]
0xfffffff00977085c: e90310aa  mov	x9, x16
0xfffffff009770860: e00313aa  mov	x0, x19
0xfffffff009770864: 010080d2  mov	x1, #0
0xfffffff009770868: f10309aa  mov	x17, x9
0xfffffff00977086c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009770870: 11093fd7  blraa	x8, x17
0xfffffff009770874: c06000f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009770878: 00a03a91  add	x0, x0, #0xea8
0xfffffff00977087c: 37d0ad97  bl	#0xfffffff0082e4958
0xfffffff009770880: f40300aa  mov	x20, x0
0xfffffff009770884: e00313aa  mov	x0, x19
0xfffffff009770888: 75e0fc97  bl	#0xfffffff0096a8a5c
0xfffffff00977088c: f50300aa  mov	x21, x0
0xfffffff009770890: e00100b5  cbnz	x0, #0xfffffff0097708cc
0xfffffff009770894: 700240f9  ldr	x16, [x19]
0xfffffff009770898: f10313aa  mov	x17, x19
0xfffffff00977089c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097708a0: 301ac1da  autda	x16, x17
0xfffffff0097708a4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097708a8: 1002118b  add	x16, x16, x17
0xfffffff0097708ac: 080240f9  ldr	x8, [x16]
0xfffffff0097708b0: e90310aa  mov	x9, x16
0xfffffff0097708b4: e00313aa  mov	x0, x19
0xfffffff0097708b8: 010080d2  mov	x1, #0
0xfffffff0097708bc: f10309aa  mov	x17, x9
0xfffffff0097708c0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097708c4: 11093fd7  blraa	x8, x17
0xfffffff0097708c8: f50300aa  mov	x21, x0
0xfffffff0097708cc: e00313aa  mov	x0, x19
0xfffffff0097708d0: 63e0fc97  bl	#0xfffffff0096a8a5c
0xfffffff0097708d4: f6f0feb0  adrp	x22, #0xfffffff00758d000
0xfffffff0097708d8: d6c63491  add	x22, x22, #0xd31
0xfffffff0097708dc: e8f0feb0  adrp	x8, #0xfffffff00758d000
0xfffffff0097708e0: 08c93491  add	x8, x8, #0xd32
0xfffffff0097708e4: 1f0000f1  cmp	x0, #0
0xfffffff0097708e8: 1701969a  csel	x23, x8, x22, eq
0xfffffff0097708ec: e00313aa  mov	x0, x19
0xfffffff0097708f0: 5be0fc97  bl	#0xfffffff0096a8a5c
