; Candidate 14612
; ADRP+ADD at VM 0xfffffff009864a2c (fileoff 0x2860a2c): page=0x1fdd55000 add_imm=0xd27

0xfffffff0098649ac: 495d8052  mov	w9, #0x2ea
0xfffffff0098649b0: e82700a9  stp	x8, x9, [sp]
0xfffffff0098649b4: a0eafeb0  adrp	x0, #0xfffffff0075b9000
0xfffffff0098649b8: 00c02e91  add	x0, x0, #0xbb0
0xfffffff0098649bc: d4beb097  bl	#0xfffffff00849450c
0xfffffff0098649c0: 7f2303d5  pacibsp	
0xfffffff0098649c4: ff4301d1  sub	sp, sp, #0x50
0xfffffff0098649c8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0098649cc: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0098649d0: fd030191  add	x29, sp, #0x40
0xfffffff0098649d4: f30300aa  mov	x19, x0
0xfffffff0098649d8: 100040f9  ldr	x16, [x0]
0xfffffff0098649dc: 3018c1da  autda	x16, x1
0xfffffff0098649e0: 113d80d2  mov	x17, #0x1e8
0xfffffff0098649e4: 1002118b  add	x16, x16, x17
0xfffffff0098649e8: 080240f9  ldr	x8, [x16]
0xfffffff0098649ec: e90310aa  mov	x9, x16
0xfffffff0098649f0: 010080d2  mov	x1, #0
0xfffffff0098649f4: f10309aa  mov	x17, x9
0xfffffff0098649f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0098649fc: 11093fd7  blraa	x8, x17
0xfffffff009864a00: f40300aa  mov	x20, x0
0xfffffff009864a04: e00313aa  mov	x0, x19
0xfffffff009864a08: 1010ac97  bl	#0xfffffff008368a48
0xfffffff009864a0c: 0a738052  mov	w10, #0x398
0xfffffff009864a10: a8eafeb0  adrp	x8, #0xfffffff0075b9000
0xfffffff009864a14: 08193091  add	x8, x8, #0xc06
0xfffffff009864a18: a9eafeb0  adrp	x9, #0xfffffff0075b9000
0xfffffff009864a1c: 29ed3b91  add	x9, x9, #0xefb
0xfffffff009864a20: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009864a24: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff009864a28: f40300f9  str	x20, [sp]
0xfffffff009864a2c: a0eafeb0  adrp	x0, #0xfffffff0075b9000
0xfffffff009864a30: 009c3491  add	x0, x0, #0xd27
0xfffffff009864a34: b6beb097  bl	#0xfffffff00849450c
0xfffffff009864a38: 7f2303d5  pacibsp	
0xfffffff009864a3c: ff8301d1  sub	sp, sp, #0x60
0xfffffff009864a40: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009864a44: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009864a48: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009864a4c: fd430191  add	x29, sp, #0x50
0xfffffff009864a50: f30302aa  mov	x19, x2
0xfffffff009864a54: f40300aa  mov	x20, x0
0xfffffff009864a58: 100040f9  ldr	x16, [x0]
0xfffffff009864a5c: 3018c1da  autda	x16, x1
0xfffffff009864a60: 113d80d2  mov	x17, #0x1e8
0xfffffff009864a64: 1002118b  add	x16, x16, x17
0xfffffff009864a68: 080240f9  ldr	x8, [x16]
0xfffffff009864a6c: e90310aa  mov	x9, x16
0xfffffff009864a70: 010080d2  mov	x1, #0
0xfffffff009864a74: f10309aa  mov	x17, x9
0xfffffff009864a78: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009864a7c: 11093fd7  blraa	x8, x17
0xfffffff009864a80: f50300aa  mov	x21, x0
0xfffffff009864a84: e00314aa  mov	x0, x20
0xfffffff009864a88: f00fac97  bl	#0xfffffff008368a48
0xfffffff009864a8c: a8eafeb0  adrp	x8, #0xfffffff0075b9000
0xfffffff009864a90: 08193091  add	x8, x8, #0xc06
0xfffffff009864a94: 69778052  mov	w9, #0x3bb
0xfffffff009864a98: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff009864a9c: a8eafeb0  adrp	x8, #0xfffffff0075b9000
0xfffffff009864aa0: 08393c91  add	x8, x8, #0xf0e
0xfffffff009864aa4: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff009864aa8: f52300a9  stp	x21, x8, [sp]
