; Candidate 10109
; ADRP+ADD at VM 0xfffffff008ca8270 (fileoff 0x1ca4270): page=0x1fe6ad000 add_imm=0xda6

0xfffffff008ca81f0: 280040f9  ldr	x8, [x1]
0xfffffff008ca81f4: 480100b4  cbz	x8, #0xfffffff008ca821c
0xfffffff008ca81f8: 14008052  mov	w20, #0
0xfffffff008ca81fc: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008ca8200: e8022036  tbz	w8, #4, #0xfffffff008ca825c
0xfffffff008ca8204: 6035ffb0  adrp	x0, #0xfffffff007355000
0xfffffff008ca8208: 00d43791  add	x0, x0, #0xdf5
0xfffffff008ca820c: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008ca8210: e80300f9  str	x8, [sp]
0xfffffff008ca8214: 83bbda97  bl	#0xfffffff008357020
0xfffffff008ca8218: 11000014  b	#0xfffffff008ca825c
0xfffffff008ca821c: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008ca8220: c8002036  tbz	w8, #4, #0xfffffff008ca8238
0xfffffff008ca8224: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008ca8228: e80300f9  str	x8, [sp]
0xfffffff008ca822c: 6035ffb0  adrp	x0, #0xfffffff007355000
0xfffffff008ca8230: 00983591  add	x0, x0, #0xd66
0xfffffff008ca8234: 7bbbda97  bl	#0xfffffff008357020
0xfffffff008ca8238: d3572994  bl	#0xfffffff0096fe184
0xfffffff008ca823c: 800200f9  str	x0, [x20]
0xfffffff008ca8240: 600000b4  cbz	x0, #0xfffffff008ca824c
0xfffffff008ca8244: 14008052  mov	w20, #0
0xfffffff008ca8248: 05000014  b	#0xfffffff008ca825c
0xfffffff008ca824c: 94578052  mov	w20, #0x2bc
0xfffffff008ca8250: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008ca8254: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008ca8258: c8002037  tbnz	w8, #4, #0xfffffff008ca8270
0xfffffff008ca825c: e00314aa  mov	x0, x20
0xfffffff008ca8260: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008ca8264: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008ca8268: ffc30091  add	sp, sp, #0x30
0xfffffff008ca826c: ff0f5fd6  retab	
0xfffffff008ca8270: 6035ffb0  adrp	x0, #0xfffffff007355000
0xfffffff008ca8274: 00983691  add	x0, x0, #0xda6
0xfffffff008ca8278: e5ffff17  b	#0xfffffff008ca820c
0xfffffff008ca827c: 7f2303d5  pacibsp	
0xfffffff008ca8280: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008ca8284: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ca8288: fd430091  add	x29, sp, #0x10
0xfffffff008ca828c: 94578052  mov	w20, #0x2bc
0xfffffff008ca8290: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008ca8294: 210300b4  cbz	x1, #0xfffffff008ca82f8
0xfffffff008ca8298: f30301aa  mov	x19, x1
0xfffffff008ca829c: 210040f9  ldr	x1, [x1]
0xfffffff008ca82a0: c10200b4  cbz	x1, #0xfffffff008ca82f8
0xfffffff008ca82a4: e2000034  cbz	w2, #0xfffffff008ca82c0
0xfffffff008ca82a8: 08e047f9  ldr	x8, [x0, #0xfc0]
0xfffffff008ca82ac: a80000b4  cbz	x8, #0xfffffff008ca82c0
0xfffffff008ca82b0: e00308aa  mov	x0, x8
0xfffffff008ca82b4: bb7a2894  bl	#0xfffffff0096c6da0
0xfffffff008ca82b8: 14008052  mov	w20, #0
0xfffffff008ca82bc: 03000014  b	#0xfffffff008ca82c8
0xfffffff008ca82c0: bcf12a94  bl	#0xfffffff0097649b0
0xfffffff008ca82c4: f40300aa  mov	x20, x0
0xfffffff008ca82c8: 600240f9  ldr	x0, [x19]
0xfffffff008ca82cc: 400100b4  cbz	x0, #0xfffffff008ca82f4
0xfffffff008ca82d0: 100040f9  ldr	x16, [x0]
0xfffffff008ca82d4: f10300aa  mov	x17, x0
0xfffffff008ca82d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca82dc: 301ac1da  autda	x16, x17
0xfffffff008ca82e0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ca82e4: e90310aa  mov	x9, x16
0xfffffff008ca82e8: f10309aa  mov	x17, x9
0xfffffff008ca82ec: f150e7f2  movk	x17, #0x3a87, lsl #48
