; Candidate 2633
; ADRP+ADD at VM 0xfffffff0086d5f64 (fileoff 0x16d1f64): page=0x1fea5c000 add_imm=0xd90

0xfffffff0086d5ee4: a002098b  add	x0, x21, x9
0xfffffff0086d5ee8: c102098b  add	x1, x22, x9
0xfffffff0086d5eec: e2030b2a  mov	w2, w11
0xfffffff0086d5ef0: a8dad997  bl	#0xfffffff007d4c990
0xfffffff0086d5ef4: 17008052  mov	w23, #0
0xfffffff0086d5ef8: 18070091  add	x24, x24, #1
0xfffffff0086d5efc: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0086d5f00: 1f0308eb  cmp	x24, x8
0xfffffff0086d5f04: c3fdff54  b.lo	#0xfffffff0086d5ebc
0xfffffff0086d5f08: c4ffff17  b	#0xfffffff0086d5e18
0xfffffff0086d5f0c: 97578052  mov	w23, #0x2bc
0xfffffff0086d5f10: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff0086d5f14: f82b01a9  stp	x24, x10, [sp, #0x10]
0xfffffff0086d5f18: c953ffd0  adrp	x9, #0xfffffff00714f000
0xfffffff0086d5f1c: 29a50191  add	x9, x9, #0x69
0xfffffff0086d5f20: e92300a9  stp	x9, x8, [sp]
0xfffffff0086d5f24: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d5f28: 00403691  add	x0, x0, #0xd90
0xfffffff0086d5f2c: 4199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d5f30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d5f34: e352ffb0  adrp	x3, #0xfffffff007132000
0xfffffff0086d5f38: 63842791  add	x3, x3, #0x9e1
0xfffffff0086d5f3c: 02008052  mov	w2, #0
0xfffffff0086d5f40: 7c74f197  bl	#0xfffffff008333130
0xfffffff0086d5f44: b5ffff17  b	#0xfffffff0086d5e18
0xfffffff0086d5f48: 97578052  mov	w23, #0x2bc
0xfffffff0086d5f4c: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff0086d5f50: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0086d5f54: f8a300a9  stp	x24, x8, [sp, #8]
0xfffffff0086d5f58: c853ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d5f5c: 08a50191  add	x8, x8, #0x69
0xfffffff0086d5f60: e80300f9  str	x8, [sp]
0xfffffff0086d5f64: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d5f68: 00403691  add	x0, x0, #0xd90
0xfffffff0086d5f6c: 4199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d5f70: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d5f74: e352ffb0  adrp	x3, #0xfffffff007132000
0xfffffff0086d5f78: 633c2991  add	x3, x3, #0xa4f
0xfffffff0086d5f7c: 02008052  mov	w2, #0
0xfffffff0086d5f80: 6c74f197  bl	#0xfffffff008333130
0xfffffff0086d5f84: a5ffff17  b	#0xfffffff0086d5e18
0xfffffff0086d5f88: 17008052  mov	w23, #0
0xfffffff0086d5f8c: a3ffff17  b	#0xfffffff0086d5e18
0xfffffff0086d5f90: 7f2303d5  pacibsp	
0xfffffff0086d5f94: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0086d5f98: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff0086d5f9c: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff0086d5fa0: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0086d5fa4: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0086d5fa8: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0086d5fac: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0086d5fb0: fd430291  add	x29, sp, #0x90
0xfffffff0086d5fb4: e5130629  stp	w5, w4, [sp, #0x30]
0xfffffff0086d5fb8: e30302a9  stp	x3, x0, [sp, #0x20]
0xfffffff0086d5fbc: 88578052  mov	w8, #0x2bc
0xfffffff0086d5fc0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0086d5fc4: e81f00b9  str	w8, [sp, #0x1c]
0xfffffff0086d5fc8: 620b0034  cbz	w2, #0xfffffff0086d6134
0xfffffff0086d5fcc: fb03022a  mov	w27, w2
0xfffffff0086d5fd0: 3c500091  add	x28, x1, #0x14
0xfffffff0086d5fd4: 930340b9  ldr	w19, [x28]
0xfffffff0086d5fd8: 94434039  ldrb	w20, [x28, #0x10]
0xfffffff0086d5fdc: 6802142b  adds	w8, w19, w20
0xfffffff0086d5fe0: 22060054  b.hs	#0xfffffff0086d60a4
