; Candidate 3427
; ADRP+ADD at VM 0xfffffff00873dffc (fileoff 0x1739ffc): page=0x1fe9f4000 add_imm=0xd90

0xfffffff00873df7c: 78b20639  strb	w24, [x19, #0x1ac]
0xfffffff00873df80: 48008052  mov	w8, #2
0xfffffff00873df84: 68aa01b9  str	w8, [x19, #0x1a8]
0xfffffff00873df88: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00873df8c: 69b241b9  ldr	w9, [x19, #0x1b0]
0xfffffff00873df90: 680100b4  cbz	x8, #0xfffffff00873dfbc
0xfffffff00873df94: 3fed0471  cmp	w9, #0x13b
0xfffffff00873df98: f80317aa  mov	x24, x23
0xfffffff00873df9c: 2c020054  b.gt	#0xfffffff00873dfe0
0xfffffff00873dfa0: 3fb10471  cmp	w9, #0x12c
0xfffffff00873dfa4: 1796ff90  adrp	x23, #0xfffffff0079fd000
0xfffffff00873dfa8: f7e641f9  ldr	x23, [x23, #0x3c8]
0xfffffff00873dfac: 00050054  b.eq	#0xfffffff00873e04c
0xfffffff00873dfb0: 3fd10471  cmp	w9, #0x134
0xfffffff00873dfb4: 60030054  b.eq	#0xfffffff00873e020
0xfffffff00873dfb8: 10000014  b	#0xfffffff00873dff8
0xfffffff00873dfbc: 28390051  sub	w8, w9, #0xe
0xfffffff00873dfc0: 1f690671  cmp	w8, #0x19a
0xfffffff00873dfc4: e8030054  b.hi	#0xfffffff00873e040
0xfffffff00873dfc8: 3f410071  cmp	w9, #0x10
0xfffffff00873dfcc: 61060054  b.ne	#0xfffffff00873e098
0xfffffff00873dfd0: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff00873dfd4: 81228852  mov	w1, #0x4114
0xfffffff00873dfd8: 0102a072  movk	w1, #0x10, lsl #16
0xfffffff00873dfdc: 3b000014  b	#0xfffffff00873e0c8
0xfffffff00873dfe0: 3ff10471  cmp	w9, #0x13c
0xfffffff00873dfe4: 1796ff90  adrp	x23, #0xfffffff0079fd000
0xfffffff00873dfe8: f7e641f9  ldr	x23, [x23, #0x3c8]
0xfffffff00873dfec: a0010054  b.eq	#0xfffffff00873e020
0xfffffff00873dff0: 3f490671  cmp	w9, #0x192
0xfffffff00873dff4: c01f0054  b.eq	#0xfffffff00873e3ec
0xfffffff00873dff8: fb2700a9  stp	x27, x9, [sp]
0xfffffff00873dffc: a04fff90  adrp	x0, #0xfffffff007131000
0xfffffff00873e000: 00403691  add	x0, x0, #0xd90
0xfffffff00873e004: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e008: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e00c: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e010: 63941b91  add	x3, x3, #0x6e5
0xfffffff00873e014: 02008052  mov	w2, #0
0xfffffff00873e018: 46d4ef97  bl	#0xfffffff008333130
0xfffffff00873e01c: f4000014  b	#0xfffffff00873e3ec
0xfffffff00873e020: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff00873e024: 0122a052  mov	w1, #0x1100000
0xfffffff00873e028: d3370094  bl	#0xfffffff00874bf74
0xfffffff00873e02c: 083c0012  and	w8, w0, #0xffff
0xfffffff00873e030: 1f410071  cmp	w8, #0x10
0xfffffff00873e034: 81010054  b.ne	#0xfffffff00873e064
0xfffffff00873e038: 88278052  mov	w8, #0x13c
0xfffffff00873e03c: 08000014  b	#0xfffffff00873e05c
0xfffffff00873e040: e81f8052  mov	w8, #0xff
0xfffffff00873e044: f80317aa  mov	x24, x23
0xfffffff00873e048: 24000014  b	#0xfffffff00873e0d8
0xfffffff00873e04c: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff00873e050: 0122a052  mov	w1, #0x1100000
0xfffffff00873e054: c8370094  bl	#0xfffffff00874bf74
0xfffffff00873e058: a8258052  mov	w8, #0x12d
0xfffffff00873e05c: 68b201b9  str	w8, [x19, #0x1b0]
0xfffffff00873e060: e3000014  b	#0xfffffff00873e3ec
0xfffffff00873e064: 68b241b9  ldr	w8, [x19, #0x1b0]
0xfffffff00873e068: 89278052  mov	w9, #0x13c
0xfffffff00873e06c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00873e070: fb0300a9  stp	x27, x0, [sp]
0xfffffff00873e074: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e078: 00403691  add	x0, x0, #0xd90
