; Candidate 987
; ADRP+ADD at VM 0xfffffff00814cd04 (fileoff 0x1148d04): page=0x1fef32000 add_imm=0xce8

0xfffffff00814cc84: 610601d0  adrp	x1, #0xfffffff00a21a000
0xfffffff00814cc88: 21502f91  add	x1, x1, #0xbd4
0xfffffff00814cc8c: 42008052  mov	w2, #2
0xfffffff00814cc90: c37bff90  adrp	x3, #0xfffffff0070c4000
0xfffffff00814cc94: 63bc2491  add	x3, x3, #0x92f
0xfffffff00814cc98: 26990794  bl	#0xfffffff008333130
0xfffffff00814cc9c: e1830191  add	x1, sp, #0x60
0xfffffff00814cca0: e00314aa  mov	x0, x20
0xfffffff00814cca4: e20315aa  mov	x2, x21
0xfffffff00814cca8: e34f40b9  ldr	w3, [sp, #0x4c]
0xfffffff00814ccac: 24008052  mov	w4, #1
0xfffffff00814ccb0: 050080d2  mov	x5, #0
0xfffffff00814ccb4: e3deff97  bl	#0xfffffff008144840
0xfffffff00814ccb8: 9cedffb5  cbnz	x28, #0xfffffff00814ca68
0xfffffff00814ccbc: 6dffff17  b	#0xfffffff00814ca70
0xfffffff00814ccc0: e0031caa  mov	x0, x28
0xfffffff00814ccc4: e10313aa  mov	x1, x19
0xfffffff00814ccc8: 02008052  mov	w2, #0
0xfffffff00814cccc: 8b7bf197  bl	#0xfffffff007dabaf8
0xfffffff00814ccd0: 88034339  ldrb	w8, [x28, #0xc0]
0xfffffff00814ccd4: e8eb0736  tbz	w8, #0, #0xfffffff00814ca50
0xfffffff00814ccd8: 96ffff17  b	#0xfffffff00814cb30
0xfffffff00814ccdc: e0031caa  mov	x0, x28
0xfffffff00814cce0: e10313aa  mov	x1, x19
0xfffffff00814cce4: a07ef197  bl	#0xfffffff007dac764
0xfffffff00814cce8: 60ffff17  b	#0xfffffff00814ca68
0xfffffff00814ccec: e0031caa  mov	x0, x28
0xfffffff00814ccf0: e10313aa  mov	x1, x19
0xfffffff00814ccf4: 9c7ef197  bl	#0xfffffff007dac764
0xfffffff00814ccf8: 97ebff35  cbnz	w23, #0xfffffff00814ca68
0xfffffff00814ccfc: 99ffff17  b	#0xfffffff00814cb60
0xfffffff00814cd00: 9be3ffb4  cbz	x27, #0xfffffff00814c970
0xfffffff00814cd04: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814cd08: 00a03391  add	x0, x0, #0xce8
0xfffffff00814cd0c: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814cd10: 21942d91  add	x1, x1, #0xb65
0xfffffff00814cd14: c29e8052  mov	w2, #0x4f6
0xfffffff00814cd18: bf4a0d94  bl	#0xfffffff00849f814
0xfffffff00814cd1c: 00060190  adrp	x0, #0xfffffff00a20c000
0xfffffff00814cd20: 00a02691  add	x0, x0, #0x9a8
0xfffffff00814cd24: e10313aa  mov	x1, x19
0xfffffff00814cd28: 02008052  mov	w2, #0
0xfffffff00814cd2c: 737bf197  bl	#0xfffffff007dabaf8
0xfffffff00814cd30: 58feff17  b	#0xfffffff00814c690
0xfffffff00814cd34: 00060190  adrp	x0, #0xfffffff00a20c000
0xfffffff00814cd38: 00a02691  add	x0, x0, #0x9a8
0xfffffff00814cd3c: e10313aa  mov	x1, x19
0xfffffff00814cd40: 897ef197  bl	#0xfffffff007dac764
0xfffffff00814cd44: 0bffff17  b	#0xfffffff00814c970
0xfffffff00814cd48: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814cd4c: 00603591  add	x0, x0, #0xd58
0xfffffff00814cd50: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814cd54: 21942d91  add	x1, x1, #0xb65
0xfffffff00814cd58: c2998052  mov	w2, #0x4ce
0xfffffff00814cd5c: ae4a0d94  bl	#0xfffffff00849f814
0xfffffff00814cd60: 8079fff0  adrp	x0, #0xfffffff00707f000
0xfffffff00814cd64: 00ac0e91  add	x0, x0, #0x3ab
0xfffffff00814cd68: 8179ffd0  adrp	x1, #0xfffffff00707e000
0xfffffff00814cd6c: 21942d91  add	x1, x1, #0xb65
0xfffffff00814cd70: 629a8052  mov	w2, #0x4d3
0xfffffff00814cd74: a84a0d94  bl	#0xfffffff00849f814
0xfffffff00814cd78: 8079ffd0  adrp	x0, #0xfffffff00707e000
0xfffffff00814cd7c: 008c3591  add	x0, x0, #0xd63
0xfffffff00814cd80: 8179ffd0  adrp	x1, #0xfffffff00707e000
