; Candidate 14029
; ADRP+ADD at VM 0xfffffff0096a225c (fileoff 0x269e25c): page=0xce8000 add_imm=0xe70

0xfffffff0096a21dc: 001507f9  str	x0, [x8, #0xe28]
0xfffffff0096a21e0: c8ff9792  mov	x8, #-0xbfff
0xfffffff0096a21e4: 4800bcf2  movk	x8, #0xe002, lsl #16
0xfffffff0096a21e8: 00017eb2  orr	x0, x8, #4
0xfffffff0096a21ec: 01088052  mov	w1, #0x40
0xfffffff0096a21f0: 3ff4b197  bl	#0xfffffff00831f2ec
0xfffffff0096a21f4: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a21f8: 001907f9  str	x0, [x8, #0xe30]
0xfffffff0096a21fc: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2200: 00e03891  add	x0, x0, #0xe38
0xfffffff0096a2204: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a2208: 21400191  add	x1, x1, #0x50
0xfffffff0096a220c: e20314aa  mov	x2, x20
0xfffffff0096a2210: 03068052  mov	w3, #0x30
0xfffffff0096a2214: 4906b197  bl	#0xfffffff0082e3b38
0xfffffff0096a2218: b02bffd0  adrp	x16, #0xfffffff007c18000
0xfffffff0096a221c: 10820d91  add	x16, x16, #0x360
0xfffffff0096a2220: 10420091  add	x16, x16, #0x10
0xfffffff0096a2224: f10300aa  mov	x17, x0
0xfffffff0096a2228: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a222c: 300ac1da  pacda	x16, x17
0xfffffff0096a2230: 100000f9  str	x16, [x0]
0xfffffff0096a2234: 40f7fef0  adrp	x0, #0xfffffff00758d000
0xfffffff0096a2238: 00740291  add	x0, x0, #0x9d
0xfffffff0096a223c: ff1bb297  bl	#0xfffffff008329238
0xfffffff0096a2240: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a2244: 003107f9  str	x0, [x8, #0xe60]
0xfffffff0096a2248: a00600d1  sub	x0, x21, #1
0xfffffff0096a224c: 01088052  mov	w1, #0x40
0xfffffff0096a2250: 27f4b197  bl	#0xfffffff00831f2ec
0xfffffff0096a2254: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a2258: 003507f9  str	x0, [x8, #0xe68]
0xfffffff0096a225c: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a2260: 00c03991  add	x0, x0, #0xe70
0xfffffff0096a2264: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a2268: 21a00291  add	x1, x1, #0xa8
0xfffffff0096a226c: e20314aa  mov	x2, x20
0xfffffff0096a2270: 03068052  mov	w3, #0x30
0xfffffff0096a2274: 3106b197  bl	#0xfffffff0082e3b38
0xfffffff0096a2278: b02bffd0  adrp	x16, #0xfffffff007c18000
0xfffffff0096a227c: 10221391  add	x16, x16, #0x4c8
0xfffffff0096a2280: 10420091  add	x16, x16, #0x10
0xfffffff0096a2284: f10300aa  mov	x17, x0
0xfffffff0096a2288: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096a228c: 300ac1da  pacda	x16, x17
0xfffffff0096a2290: 100000f9  str	x16, [x0]
0xfffffff0096a2294: 40f7fef0  adrp	x0, #0xfffffff00758d000
0xfffffff0096a2298: 00cc0391  add	x0, x0, #0xf3
0xfffffff0096a229c: e71bb297  bl	#0xfffffff008329238
0xfffffff0096a22a0: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a22a4: 004d07f9  str	x0, [x8, #0xe98]
0xfffffff0096a22a8: c0ff9792  mov	x0, #-0xbfff
0xfffffff0096a22ac: 4000bcf2  movk	x0, #0xe002, lsl #16
0xfffffff0096a22b0: 01088052  mov	w1, #0x40
0xfffffff0096a22b4: 0ef4b197  bl	#0xfffffff00831f2ec
0xfffffff0096a22b8: 48670090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096a22bc: 005107f9  str	x0, [x8, #0xea0]
0xfffffff0096a22c0: 40670090  adrp	x0, #0xfffffff00a38a000
0xfffffff0096a22c4: 00a03a91  add	x0, x0, #0xea8
0xfffffff0096a22c8: 41f7fef0  adrp	x1, #0xfffffff00758d000
0xfffffff0096a22cc: 21f00391  add	x1, x1, #0xfc
0xfffffff0096a22d0: e20314aa  mov	x2, x20
0xfffffff0096a22d4: 03088052  mov	w3, #0x40
0xfffffff0096a22d8: 1806b197  bl	#0xfffffff0082e3b38
